"month","num_a1","mom_a1","ncl_a1","pom_a1","soa_a1","so4_a1","dst_a1","bc_a1","wat_a1","num_a2","mom_a2","ncl_a2","soa_a2","so4_a2","wat_a2","num_a3","mom_a3","ncl_a3","pom_a3","soa_a3","so4_a3","dst_a3","bc_a3","wat_a3","num_a4","mom_a4","pom_a4","bc_a4","wat_a4","num_c1","mom_c1","ncl_c1","pom_c1","soa_c1","so4_c1","dst_c1","bc_c1","num_c2","mom_c2","ncl_c2","soa_c2","so4_c2","num_c3","mom_c3","ncl_c3","pom_c3","soa_c3","so4_c3","dst_c3","bc_c3","num_c4","mom_c4","pom_c4","bc_c4","site","site.long.name","lat","lon","moist.density","MOA","SOA","POA","SO4","BC","NCL","DST","total.aerosol","total.aerosol.no.moa"
"JAN",128254776,3.1456737215052e-10,1.89818161189237e-09,1.93096330591835e-10,1.81485104722157e-11,3.42229494743052e-10,1.61420765643072e-09,2.21253675103394e-11,3.95789223617271e-09,244194208,4.52576371561333e-13,2.81233022980665e-12,7.11044586899481e-17,1.18639863558312e-11,1.30313529064785e-11,2919560.75,1.49397456211675e-11,3.24850688571132e-08,4.99899253936231e-11,4.69207919046033e-12,7.23846607653122e-11,6.47719211599451e-09,5.39929776235959e-12,6.02201382093881e-08,3704083,8.24462166187933e-17,4.08575300328562e-12,1.31040751166767e-12,1.60317231095107e-17,9.43442821502686,3.56876851333633e-17,2.07409741715939e-16,9.75344459410975e-18,1.00743815727936e-18,6.01677744157924e-17,2.79556580326602e-16,1.15683731566409e-18,0.0671776160597801,1.13058634149029e-20,6.68801891631148e-20,8.6362164763926e-24,2.37702730876907e-19,0.306623727083206,1.53617396937721e-18,3.10344401544503e-15,1.03188010360938e-17,5.72320010272057e-19,1.12958899366986e-17,1.13469952394373e-15,1.06617232346884e-18,3.21694220731312e-22,0,2.19572729808268e-37,6.100933457101e-38,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.1731411384011,0.387089431616843,0.0267953206274792,0.289967675553519,0.500319136965571,0.0338276127200346,40.339708741604,9.49235559940336,51.0432681978633,50.6561787662465
"FEB",135647264,2.6305399525306e-10,1.54711454758427e-09,2.13820225414274e-10,3.83034749751321e-11,4.48503623129426e-10,2.23762808282402e-09,2.52298910929927e-11,3.35788596927955e-09,250409120,3.73872834818004e-13,2.27205819262888e-12,3.63943248842392e-15,1.31135631867285e-11,1.29334425114092e-11,2696958.75,1.62697355587937e-11,2.69087792048595e-08,4.61619076297382e-11,8.65542533479147e-12,9.17535630806654e-11,9.74774216899732e-09,5.19494386744257e-12,4.83284878782797e-08,3320849,3.09854743709096e-17,3.55035206962839e-12,1.22872447893413e-12,4.69705908159866e-18,3847.603515625,1.22262692252794e-14,7.03389169826041e-14,8.12030157741964e-15,2.84636316320625e-15,1.68065905701946e-14,7.08462355079008e-14,9.69247837202716e-16,9.81911277770996,1.68596324681834e-18,9.75093989121494e-18,4.16335414999196e-20,3.06131603771995e-17,106.717552185059,9.05557629953652e-16,9.44187328148771e-13,8.44532505994006e-15,2.77958160333706e-15,8.23002791947285e-15,4.32229339125678e-13,9.29514898075556e-16,4.49913560596616e-17,1.15776370831326e-32,1.14046314979984e-33,5.738500697727e-32,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.17488195112496,0.328627133028818,0.0551820501922273,0.30963902295087,0.650174756784849,0.0371914264962434,33.4361773330687,14.0819862408276,48.8437959131571,48.5151687801283
"MAR",157518688,2.74525957522087e-10,1.61488356020811e-09,1.7074716640586e-10,5.20333984233012e-11,5.83890047423097e-10,4.1010723705881e-09,2.2534580104705e-11,4.28369206773027e-09,131703592,3.54870592546991e-13,2.18168473738178e-12,2.46373911093193e-15,1.05832859836896e-11,1.22791360412933e-11,3432626.25,2.11294488849934e-11,2.7312701433857e-08,4.19666280893072e-11,1.44710025212769e-11,1.22877555353007e-10,2.41594353411756e-08,5.09424143493864e-12,5.71009408645295e-08,3302431,3.30748134842104e-17,3.52557523106145e-12,1.22382388511449e-12,4.77809093517528e-18,30536.65234375,6.47173016132124e-14,3.5143434928657e-13,5.74400553163268e-14,5.08141502508254e-14,2.69247081227664e-13,1.06910346461125e-12,7.80251429736761e-15,63.1737670898438,7.31183903642472e-18,4.20318229419551e-17,1.12845861000378e-18,2.79576485600862e-16,763.533447265625,5.69401296945937e-15,4.61878625623857e-12,1.07829911517279e-14,8.78705965547686e-15,3.5098639760648e-14,7.43172884343224e-12,1.28485548972322e-15,2.00868242927754e-07,3.16350243399509e-29,3.07272406079302e-24,9.783737922553e-25,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.17356423782308,0.347469754711931,0.0781200251353122,0.25385085524764,0.842214846374151,0.0338710974492851,33.9567725052923,33.1754974660378,68.6096765251131,68.2622067704012
"APR",146268432,2.8439967048044e-10,1.68748870432722e-09,1.08201989035273e-10,2.9528910566734e-11,8.07116207202085e-10,3.56510576615676e-09,1.64272380420716e-11,5.04787101007764e-09,132376920,3.31614076476416e-13,2.07343061990606e-12,2.6081042300884e-15,1.290375879065e-11,1.55791091832613e-11,3378896,1.73440203171671e-11,2.77215601585112e-08,2.01707973240817e-11,5.28364418189708e-12,1.52901052929977e-10,2.87660508746512e-08,2.92120060779721e-12,6.5382543823489e-08,2879855,1.92559043923974e-17,3.07896937112861e-12,1.05472163121345e-12,3.27092236416997e-18,1235.9228515625,3.17968841564271e-15,1.78536893114586e-14,1.4241627633934e-15,6.92554148828495e-16,1.19565908755326e-14,4.32153905759528e-14,2.25504893333243e-16,3.49793910980225,3.46248653729171e-19,2.142318997559e-18,4.42680891326811e-20,1.42450576541492e-17,34.6870536804199,2.557467224073e-16,2.73255376659343e-13,2.26013854255424e-16,1.3721376556659e-16,1.95264006583339e-15,2.3642326703148e-13,3.24030799610907e-17,1.02467778706483e-09,8.28401020454565e-32,3.38075924359868e-26,1.16660178819384e-26,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.17029621776258,0.353521630190692,0.0407450245335504,0.153839423745089,1.13862208321827,0.02387804313608,34.4200658665331,37.8373575926905,73.9272846395137,73.5737630093231
"MAY",137003808,3.54611118247306e-10,2.04667083281151e-09,6.03824351630422e-11,2.00379244447157e-11,8.24610379979163e-10,2.54994692028276e-09,1.16204936298492e-11,6.43258157850823e-09,118987288,3.72147137325113e-13,2.33472009086855e-12,1.29472162361372e-14,1.28313852598705e-11,1.77954786323431e-11,3498021.75,1.78708783882264e-11,3.15629193892164e-08,1.44256872072757e-11,6.39500345039901e-12,1.61107072127464e-10,3.35088081726553e-08,2.50899843436125e-12,8.2745728491318e-08,2634104.75,1.57615262167815e-17,2.82061461860661e-12,9.60851840800525e-13,3.0301640022609e-18,7670.9228515625,2.4618550131957e-14,1.38317552940762e-13,5.33031862124853e-15,4.86284918447188e-15,7.8931117555598e-14,1.74409979188973e-13,1.00941816296801e-15,20.7173366546631,1.98053859976557e-18,1.26343955536237e-17,6.32238750797503e-19,8.04378684136289e-17,215.608062744141,2.72200072709919e-15,1.96194492943502e-12,1.43957325731927e-15,1.16259083658915e-15,1.8275354171063e-14,1.85194307805725e-12,2.36649094062031e-16,3.1157776358981e-09,7.1116914517121e-32,4.03800209642027e-26,1.39754829080548e-26,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.16714659020769,0.435207373687598,0.030873246270962,0.0906120171349749,1.16556641877297,0.0176140977769452,39.2324949154518,42.0882181049182,83.0297129277424,82.5945055540548
"JUN",140094528,3.64427266141831e-10,2.17510232047857e-09,4.98228333589701e-11,1.86553428954683e-11,1.00391850388348e-09,2.95410829131981e-09,1.20590759600248e-11,7.44518446893494e-09,96573808,3.61847352211772e-13,2.36702476195949e-12,1.15437182179206e-14,1.04763602307156e-11,1.65111119221351e-11,3820209.75,1.55514628952247e-11,3.20875095383144e-08,1.05434723451925e-11,4.54502364563569e-12,2.05764502658745e-10,4.77202881654648e-08,2.38040923777882e-12,9.00211958310138e-08,2614877,1.4702443865138e-17,2.80083963834221e-12,9.52044107611905e-13,2.95968407816832e-18,23216.865234375,7.39489985088562e-14,4.40372727433108e-13,1.23067178735108e-14,1.05640051827754e-14,2.91242046755388e-13,1.06368646529686e-12,3.44144764260741e-15,54.5772590637207,5.93698751697432e-18,3.89747586125836e-17,9.00397780690123e-19,2.66456712871502e-16,869.433532714844,3.55771710241993e-15,5.51310559704365e-12,2.53774099140175e-15,2.48717926543953e-15,5.27752957979986e-14,1.3749054846024e-11,5.91912023376344e-16,9.67475571087562e-05,1.40362592867168e-27,1.04751812191855e-21,3.45103876353024e-22,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.16614847663665,0.44362399216643,0.027083754457595,0.0736795811589611,1.42328847284425,0.0179535119492513,39.9649956121737,59.111144088276,101.034685258569,100.591061266402
"JUL",133393544,2.47734888159101e-10,1.50420231825876e-09,5.43572617472954e-11,4.13732763326902e-11,1.25571963938143e-09,2.73414357820911e-09,1.46734274036886e-11,6.37695585226083e-09,85923032,1.71399407253997e-13,1.18202637348214e-12,4.10844183109868e-14,6.60166886434777e-12,1.05669422864607e-11,2851187,1.31816207254998e-11,1.97700078530261e-08,1.21387977794485e-11,1.0425587476659e-11,3.14470033346836e-10,4.71983128136344e-08,3.294633663109e-12,6.24522513703596e-08,2371479.75,5.15828423781027e-18,2.53820098619628e-12,8.43751392538838e-13,1.02189696419406e-18,8652.5908203125,2.09593661057526e-14,1.21830388659372e-13,4.40153047744172e-15,7.00704278671152e-15,1.36923756837923e-13,2.86918411121842e-13,1.38884212476761e-15,15.5818862915039,1.15776634288957e-18,7.53080449791547e-18,1.40930669389054e-18,6.31589190677883e-17,234.319580078125,1.46781365341808e-15,1.41212063743679e-12,1.10262513908829e-15,2.12136669958585e-15,3.23409850874583e-14,5.08811265689801e-12,3.05641330514212e-16,3.49537622241769e-05,3.86964512958716e-28,3.14227986740419e-22,1.01305864547281e-22,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.16569363679959,0.304374663924447,0.0604401403526758,0.0804792143606441,1.83825301791174,0.0219307853292153,24.8023774309549,58.2122123252587,85.2596274377396,84.9552527738151
"AUG",120899080,1.68059635652362e-10,1.04873953965523e-09,8.85743006717732e-11,9.22913689915816e-11,1.18255294445646e-09,1.87960158548606e-09,1.7079884381821e-11,4.95012830725727e-09,163782144,1.05696701391267e-13,7.38416652042856e-13,7.40907037328001e-14,5.81715188172072e-12,8.59143658993311e-12,1898871,1.11350772352692e-11,1.2613551980678e-08,2.05638735206737e-11,2.0919306217837e-11,3.45130451995246e-10,2.80139715869154e-08,4.33026834875672e-12,4.08744860180832e-08,2306928.5,3.59084770096465e-18,2.46519428134806e-12,8.19113548690409e-13,7.87251622108116e-19,11233.80078125,2.341608352531e-14,1.51338400903971e-13,1.03054161883741e-14,1.19338268650751e-14,1.7667933630873e-13,2.90679264512705e-13,2.35164171190111e-15,16.4682769775391,1.05332941388076e-18,7.5774996706747e-18,1.26232300629203e-18,6.74768018653151e-17,259.743927001953,1.45165290005918e-15,1.77473368032782e-12,2.44974951477508e-15,3.08800048723422e-15,4.80699125795202e-14,4.00765271663106e-12,5.6522736210384e-16,6.16535589870182e-06,9.72671117445533e-29,5.86400763637998e-23,2.0543512538322e-23,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.16338564297207,0.208624458465381,0.131811347877654,0.129852595766456,1.78431406997188,0.0258646026867307,15.8976136416085,34.7827544636226,52.8290238321216,52.6203993736562
"SEP",122352536,1.75079853392823e-10,1.11215858744629e-09,1.39171049684528e-10,5.74525357843747e-11,1.12216502756723e-09,2.18284790243217e-09,2.15941691611432e-11,5.15056131078495e-09,115263416,1.36264277313981e-13,9.45393503065661e-13,4.4238172695367e-14,5.74665271965702e-12,9.11452857632611e-12,2006454.125,9.65456273954723e-12,1.3729490433434e-08,2.12060768250977e-11,1.09102449297183e-11,2.36762026650794e-10,2.08772856780115e-08,3.48646675765729e-12,4.36780354107213e-08,2618819.25,5.68903475168757e-18,2.80493618783073e-12,9.25519535142916e-13,1.22371321382778e-18,38321.015625,8.02127597199567e-14,5.3065841651434e-13,3.66236819245979e-14,9.43119483876563e-14,5.71163667577312e-13,9.80951973296451e-13,7.92249820841208e-15,87.8549575805664,6.3792731322906e-18,4.58846416380474e-17,6.53542580678653e-18,3.11576808012979e-16,869.543151855469,4.4697132415639e-15,6.16411002102302e-12,7.87928174041021e-15,2.01335767448154e-14,1.15283881074214e-13,9.43996009833414e-12,1.4541666820884e-15,5.57481143914629e-05,6.11146586271155e-28,5.64222147546988e-22,1.82987558210627e-22,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.1610248829233,0.214737792548466,0.0795551327843753,0.18951010428733,1.58521747525906,0.0302046801326689,17.240394288252,26.7854878286482,46.0455521691277,45.8308143765792
"OCT",103330552,1.61669330700498e-10,1.04118058619207e-09,7.21931819880339e-11,2.62103672099556e-11,7.86841536370986e-10,2.68997712993269e-09,1.30238181350606e-11,4.4265360266138e-09,282652192,1.31110359656746e-13,9.23083116020906e-13,2.53166899336771e-14,5.77022934641902e-12,8.36089270733753e-12,2022048.125,8.79248323454318e-12,1.36880293766239e-08,1.40605487322643e-11,6.65175770367399e-12,1.54876070301846e-10,1.53863997098824e-08,2.2657643990176e-12,4.12584526543469e-08,2636378.75,7.26640448691902e-18,2.81841672396255e-12,9.47321106108123e-13,1.51740937718144e-18,23279.513671875,5.04896383762051e-14,3.24758015618487e-13,1.49237515249291e-14,1.36964770173229e-14,2.60184560528509e-13,8.88974332514947e-13,3.39551876335021e-15,41.4600486755371,3.4762989025577e-18,2.51062269558236e-17,2.42050666180063e-18,1.17828106314586e-16,577.713562011719,2.05564075452718e-15,3.94594036265405e-12,2.15799833345575e-15,2.41482168767857e-15,3.57402028436891e-14,4.01588788265239e-12,4.09449850411657e-16,0.000120072538265958,1.1390644951816e-27,9.33488972266451e-22,3.24053634279068e-22,"Bar_84-01_M_ng","Barbados Tower, Whatman 41, Hi-Vol",13,300.57,1.16196383866294,0.198283877359079,0.03823274144851,0.103518462739006,1.10129059381337,0.0188711161180641,17.1208443643209,21.0097954944371,39.5526039087875,39.3543200314285
