month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
JAN,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.42588058482e-10,0
FEB,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.32094537759e-10,0
MAR,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.02183550521e-10,0
APR,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.16098330839e-10,0
MAY,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.62633379989e-10,0
JUN,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.39900521074e-10,0
JUL,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.04285741726e-10,0
AUG,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.8370217651e-10,0
SEP,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,6.83311094396e-10,0
OCT,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.43140561258e-10,0
NOV,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,4.64454136431e-10,0
DEC,RAR1983-1994F,VX0079,-51.75,183.5,0,0,0,0,0,0,5.47442891847e-10,0
JAN,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,4.86725568945e-11,0
FEB,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,7.28048490835e-11,0
MAR,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,4.74908722654e-11,0
APR,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,2.50058690549e-11,0
MAY,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,3.08494734161e-11,0
JUN,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,3.65843058971e-11,0
JUL,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,3.4226518582e-11,0
AUG,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,3.16134231589e-11,0
SEP,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,4.06246295542e-11,0
OCT,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,3.89305051e-11,0
NOV,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,2.79029792464e-11,0
DEC,WACS-I - Sargasso Sea,VX0078,25.75,37.75,0,0,0,0,0,0,5.5923796975e-11,0
