model,OA,OAtype,OC,OCtype,aerosol,aerosoltype,month,station,lat,lon
GLOMAP,393.02739501,TOA,206.856523689,TOC,0.39302739501,TOA,1,west of Portugal,41.0,348.75
GLOMAP,110.203959048,MOA,58.0020837094,MOC,0.110203959048,MOA,1,west of Portugal,41.0,348.75
GLOMAP,290.420174599,TOA,152.852723473,TOC,0.290420174599,TOA,2,west of Portugal,41.0,348.75
GLOMAP,160.261079669,MOA,84.3479366679,MOC,0.160261079669,MOA,2,west of Portugal,41.0,348.75
GLOMAP,476.942241192,TOA,251.022232206,TOC,0.476942241192,TOA,3,west of Portugal,41.0,348.75
GLOMAP,153.021916747,MOA,80.5378509195,MOC,0.153021916747,MOA,3,west of Portugal,41.0,348.75
GLOMAP,473.732233047,TOA,249.332754236,TOC,0.473732233047,TOA,4,west of Portugal,41.0,348.75
GLOMAP,170.599773526,MOA,89.7893544875,MOC,0.170599773526,MOA,4,west of Portugal,41.0,348.75
GLOMAP,330.393195152,TOA,173.891155343,TOC,0.330393195152,TOA,5,west of Portugal,41.0,348.75
GLOMAP,196.307525039,MOA,103.31975002,MOC,0.196307525039,MOA,5,west of Portugal,41.0,348.75
GLOMAP,480.49902916,TOA,252.894225873,TOC,0.48049902916,TOA,6,west of Portugal,41.0,348.75
GLOMAP,175.592467189,MOA,92.4170879941,MOC,0.175592467189,MOA,6,west of Portugal,41.0,348.75
GLOMAP,520.856320858,TOA,274.134905715,TOC,0.520856320858,TOA,7,west of Portugal,41.0,348.75
GLOMAP,168.686464429,MOA,88.7823496994,MOC,0.168686464429,MOA,7,west of Portugal,41.0,348.75
GLOMAP,493.614315987,TOA,259.797008414,TOC,0.493614315987,TOA,8,west of Portugal,41.0,348.75
GLOMAP,133.825793862,MOA,70.4346283486,MOC,0.133825793862,MOA,8,west of Portugal,41.0,348.75
GLOMAP,339.007616043,TOA,178.425061075,TOC,0.339007616043,TOA,9,west of Portugal,41.0,348.75
GLOMAP,60.1497627795,MOA,31.6577698839,MOC,0.0601497627795,MOA,9,west of Portugal,41.0,348.75
GLOMAP,249.892577529,TOA,131.522409226,TOC,0.249892577529,TOA,10,west of Portugal,41.0,348.75
GLOMAP,107.483163476,MOA,56.57008604,MOC,0.107483163476,MOA,10,west of Portugal,41.0,348.75
GLOMAP,220.121443272,TOA,115.853391196,TOC,0.220121443272,TOA,11,west of Portugal,41.0,348.75
GLOMAP,151.103898883,MOA,79.5283678331,MOC,0.151103898883,MOA,11,west of Portugal,41.0,348.75
GLOMAP,343.375831842,TOA,180.724122022,TOC,0.343375831842,TOA,12,west of Portugal,41.0,348.75
