Notes: PM2.5,,,,,,,,,,,,,,,
"At Azores (AZO) (38°41′N, 27°21′W) sampling was done at top of a 50 m high cliff over the sea, west of the Terceira Island (397 km2, 60,000 inhabitants). The site area is used for cattle grazing and horticulture. The Azores are in the mid-north Atlantic Ocean, representative of background marine atmosphere, with levels frequently influenced by transport from North America and, to a lesser degree, from Europe and Africa. Aerosol was sampled by sucking air at a flow rate of 1.1 m3 min−1 through quartz fiber filters (Whatman QM-A, 10 × 8 inches). The sampler stands 2.5 m above the ground and was run with an Anderson PM10 inlet to remove particles larger than 10 μm. The filter holder had a Tisch 2.5 μm impactor stage which separates particles larger and smaller than 2.5 μm. Only PM2.5 particles were analyzed.",,,,,,,,,,,,,,,
"In this paper summer refers to months from April to September, and winter to the 6 remaining months of the year.",,,,,,,,,,,,,,,
Nearly weekly samples from July 2003 for ca. 2 years,,,,,,,,,,,,,,,
Reference,Link,As reported in:,Link,,,,,,,,,,,,
"Pio, C.A., Legrand, M., Oliveira, T., Afonso, J., Santos, C., Caseiro, A., Fialho, P., Barata, F., Puxbaum, H., Sanchez‐Ochoa, A. and Kasper‐Giebl, A., 2007. Climatology of aerosol composition (organic versus inorganic) at nonurban sites on a west‐east transect across Europe. Journal of Geophysical Research: Atmospheres, 112(D23).",http://onlinelibrary.wiley.com/doi/10.1029/2006JD008038/full,"Myriokefalitakis, S., Vignati, E., Tsigaridis, K., Papadimas, C., Sciare, J., Mihalopoulos, N., Facchini, M.C., Rinaldi, M., Dentener, F.J., Ceburnis, D. and Hatzianastasiou, N., 2010. Global modeling of the oceanic source of organic aerosols. Advances in Meteorology, 2010.",https://www.hindawi.com/journals/amete/2010/939171/,,,,,,,,,,,,
station,month,OC (ng C m^-3),lbnd,ubnd,,,,,,,,,,,
Azores,1,282.57,199.96,367.36,,,,,,,,,,,
Azores,2,264.99,186.73,338.90,,,,,,,,,,,
Azores,3,171.33,121.33,221.33,,,,,,,,,,,
Azores,4,273.31,195.05,349.40,,,,,,,,,,,
Azores,5,318.77,225.29,414.42,,,,,,,,,,,
Azores,6,459.88,322.92,596.84,,,,,,,,,,,
Azores,7,798.82,557.51,1031.43,,,,,,,,,,,
Azores,8,396.45,279.06,513.84,,,,,,,,,,,
Azores,9,296.26,207.12,383.21,,,,,,,,,,,
Azores,10,465.63,328.68,602.59,,,,,,,,,,,
Azores,11,291.53,204.57,376.31,,,,,,,,,,,
Azores,12,243.51,243.51,310.90,,,,,,,,,,,
