Notes: Koulouri et al. (2008) fine mode is PM1.3,,,,,,,,
,,,,,,,,
station,lat,lon,month,OC (ug C m^-3),Lower limit,Upper limit,Reference,Link to original data source
Finokalia,35.33,25.67,1,1.40,0.70,2.11,"Koulouri, E., Saarikoski, S., Theodosi, C., Markaki, Z., Gerasopoulos, E., Kouvarakis, G., Mäkelä, T., Hillamo, R. and Mihalopoulos, N., 2008. Chemical composition and sources of fine and coarse aerosol particles in the Eastern Mediterranean. Atmospheric Environment, 42(26), pp.6542-6550.",http://www.sciencedirect.com/science/article/pii/S1352231008004469
Finokalia,35.33,25.67,2,1.43,0.89,1.97,,
Finokalia,35.33,25.67,3,1.49,0.78,2.20,,
Finokalia,35.33,25.67,4,1.90,1.00,2.80,,
Finokalia,35.33,25.67,5,1.66,0.95,2.38,,
Finokalia,35.33,25.67,6,1.34,0.67,2.03,,
Finokalia,35.33,25.67,7,2.12,1.28,2.99,,
Finokalia,35.33,25.67,8,2.10,1.53,2.69,,
Finokalia,35.33,25.67,9,1.80,1.06,2.56,,
Finokalia,35.33,25.67,10,1.62,0.92,2.34,,
Finokalia,35.33,25.67,11,1.88,1.18,2.61,,
Finokalia,35.33,25.67,12,1.65,0.96,2.29,,
,,,,,,,,
