Month,WIOC mean,WIOC min,WIOC max,OMF mean,OMF min,OMF max
1,55.54651781,55.54651781,55.54651781,0.07,0.07,0.07
2,72.73193864,27.80174026,105.0380163,0.09,0.03,0.12
3,69.93044709,66.35731801,73.50357617,0.16,0.10,0.22
4,128.5848449,41.34348457,231.5704209,0.32,0.17,0.51
5,280.2043965,95.81720968,757.2137018,0.45,0.32,0.66
6,219.7137797,38.06011254,805.5438774,0.50,0.32,0.71
7,130.6790818,58.75392601,225.2059159,0.51,0.24,0.78
8,110.7429259,77.79023279,147.7035622,0.48,0.40,0.60
9,87.4851298,9.410239594,165.56002,0.18,0.08,0.28
10,134.2626719,17.26386492,288.2426523,0.36,0.05,0.60
11,55.65396691,19.07181433,78.19926672,0.11,0.06,0.21
12,,,,,,
