
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	GM_CL	SGD_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	GM_NO3	SGD_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	GM_SO4	SGD_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	GM_NA	SGD_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	GM_NSSSO4	SGD_NSSSO4								N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	GM_MSA	SGD_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	GM_DUST	SGD_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4	GM_NH4	SGD_NH4																			
	01.01.1984	#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A													0		#N/A						0																																		
	01.02.1984	#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A													0		#N/A						0																																		
	01.03.1984	#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A													0		#N/A						0																																		
	01.04.1984	#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A						#N/A		#N/A													0		#N/A						0																																		
	01.05.1984	27	10.435	3.658						27	0.581	0.222						27	2.420	0.711						27	5.668	1.867						27	0.993	0.563													0		#N/A						27	15.066	17.135																																
	01.06.1984	29	11.635	3.264						29	0.833	0.298						29	2.963	0.987						29	6.374	1.735						29	1.359	0.785													0		#N/A						29	43.782	27.115																																
	01.07.1984	27	11.888	3.293						27	0.751	0.304						27	4.129	2.221						27	6.714	1.831						27	2.440	2.097													0		#N/A						27	44.350	38.619																																
	01.08.1984	29	8.210	2.158						29	0.597	0.253						29	2.743	1.109						29	4.490	1.181						29	1.613	0.911													0		#N/A						29	26.078	20.025																																
	01.09.1984	27	6.556	1.748						27	0.495	0.192						27	2.002	0.642						27	3.483	0.914						27	1.125	0.507													0		#N/A						27	21.026	15.682																																
	01.10.1984	29	7.846	2.730						29	0.540	0.303						29	2.075	0.782						29	4.146	1.424						29	1.032	0.634													0		#N/A						29	26.968	28.693																																
	01.11.1984	21	10.587	6.226						21	0.542	0.619						21	1.981	0.859						21	5.489	3.226						21	0.599	0.395													0		#N/A						21	8.220	15.294																																
	01.12.1984	27	7.639	3.615						27	0.477	0.470						27	1.573	0.611						27	3.982	1.863						27	0.571	0.276													0		#N/A						27	7.135	13.291																																
	01.01.1985	28	5.959	1.395						28	0.285	0.239						28	1.176	0.283						28	3.093	0.764						28	0.398	0.162													14	0.0141	0.0027						28	1.351	1.560																																
	01.02.1985	27	9.257	2.662						27	0.389	0.316						27	1.814	0.416						27	4.891	1.435						27	0.583	0.303													19	0.0187	0.0072						27	4.304	7.267																																
	02.03.1985	29	8.188	3.264						29	0.374	0.337						29	1.694	0.806						29	4.264	1.709						29	0.621	0.425													12	0.0176	0.0058						29	15.179	32.597																																
	02.04.1985	21	9.930	4.217						21	0.611	0.296						21	2.200	0.871						21	5.108	1.787						21	0.914	0.654													0		#N/A						21	16.354	20.258																																
	02.05.1985	25	7.718	1.722						25	0.696	0.414						25	2.002	0.622						25	4.256	0.952						25	0.930	0.454													7	0.0282	0.0096						25	16.328	13.311																																
	02.06.1985	28	8.050	3.446						28	0.807	0.210						28	2.416	0.952						28	4.495	1.692						28	1.285	0.883													14	0.0325	0.0098						28	34.859	20.196																																
	02.07.1985	30	6.737	1.414						30	0.446	0.124						30	1.784	0.479						30	3.514	0.744						30	0.899	0.366													4	0.0208	0.0087						30	26.179	11.195																																
	02.08.1985	22	6.242	2.676						22	0.463	0.239						22	1.612	0.688						22	3.206	1.378						22	0.805	0.555													3	0.0164	0.0075						22	21.201	19.419																																
