
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	2-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	3-1-1989	3	4.973 	0.815 	4.735 	4.442 	5.514 	3	0.846 	0.342 	0.974 	0.623 	1.064 	3	2.752 	0.954 	3.083 	2.126 	3.364 	3	3.217 	0.280 	3.181 	3.028 	3.407 	3	1.942 	1.023 	2.282 	1.269 	2.602 	3	0.0478 	0.0032 	0.0467 	0.0457 	0.0499 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	3	0.3546 	0.1834 	0.3440 	0.2302 	0.4794 
	4-1-1989	24	6.802 	3.100 	6.245 	4.530 	8.456 	24	1.526 	1.000 	1.501 	0.495 	2.594 	24	4.516 	2.177 	4.377 	1.947 	6.563 	24	4.411 	1.786 	4.028 	2.977 	5.768 	24	3.406 	2.173 	3.009 	0.999 	5.534 	21	0.0452 	0.0176 	0.0418 	0.0279 	0.0550 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	24	0.5373 	0.3727 	0.4117 	0.1980 	0.9316 
	5-1-1989	27	4.199 	2.731 	3.935 	1.614 	6.638 	27	1.438 	0.600 	1.434 	1.012 	1.784 	27	3.847 	1.774 	3.452 	2.219 	5.936 	27	2.906 	1.520 	2.800 	1.419 	4.148 	27	3.116 	1.628 	2.791 	1.484 	4.699 	25	0.0698 	0.0321 	0.0601 	0.0407 	0.1035 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.4187 	0.2133 	0.3888 	0.2314 	0.6130 
	6-1-1989	28	3.644 	1.961 	3.160 	1.771 	5.544 	28	1.724 	1.135 	1.421 	0.691 	3.121 	28	6.009 	4.753 	3.722 	2.436 	11.712 	28	2.829 	1.269 	2.695 	1.559 	3.830 	28	5.297 	4.728 	3.210 	1.497 	10.859 	23	0.0869 	0.0440 	0.0806 	0.0395 	0.1372 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	24	0.8848 	0.7803 	0.5684 	0.1802 	1.4973 
	7-1-1989	22	4.349 	2.366 	4.116 	1.919 	6.980 	22	1.059 	0.960 	0.727 	0.503 	1.459 	22	4.362 	4.945 	2.354 	1.643 	8.588 	22	2.821 	1.151 	2.726 	1.762 	3.796 	22	3.652 	4.943 	1.543 	1.047 	8.065 	17	0.0572 	0.0342 	0.0564 	0.0308 	0.0800 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	20	0.5404 	0.6026 	0.2744 	0.1332 	1.1870 
	8-1-1989	19	5.020 	2.400 	4.887 	2.547 	7.750 	19	0.825 	0.504 	0.648 	0.495 	1.108 	16	2.351 	1.203 	2.093 	1.542 	3.412 	19	3.070 	1.250 	3.206 	1.760 	4.235 	16	1.578 	1.060 	1.370 	0.956 	2.326 	17	0.0530 	0.0235 	0.0590 	0.0295 	0.0693 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	13	0.2223 	0.1220 	0.2123 	0.0940 	0.3697 
	9-1-1989	26	7.139 	3.620 	6.494 	3.662 	10.380 	26	0.718 	0.540 	0.580 	0.354 	0.921 	26	2.509 	1.187 	2.237 	1.810 	3.046 	26	4.268 	2.072 	3.874 	2.183 	6.104 	26	1.434 	1.199 	0.986 	0.638 	1.897 	21	0.0555 	0.0350 	0.0519 	0.0290 	0.0731 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	26	0.1938 	0.1361 	0.1769 	0.0785 	0.3101 
	10-1-1989	28	7.091 	4.135 	6.089 	3.426 	11.243 	28	0.759 	0.591 	0.619 	0.292 	1.386 	28	2.940 	1.566 	2.373 	1.585 	4.380 	28	4.379 	2.147 	3.791 	2.474 	6.526 	28	1.838 	1.700 	1.415 	0.404 	3.084 	26	0.0363 	0.0257 	0.0295 	0.0157 	0.0516 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.2508 	0.1903 	0.2357 	0.0700 	0.4061 
	11-1-1989	29	7.959 	2.797 	8.167 	4.646 	10.390 	29	1.155 	0.744 	0.868 	0.465 	1.714 	29	2.959 	1.025 	3.169 	1.945 	3.706 	29	4.898 	1.562 	4.888 	3.033 	6.278 	29	1.726 	0.881 	1.929 	0.677 	2.499 	29	0.0238 	0.0127 	0.0184 	0.0147 	0.0326 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	29	0.2161 	0.1381 	0.1772 	0.0783 	0.3170 
	12-1-1989	28	8.416 	3.228 	8.456 	4.749 	12.048 	28	1.766 	1.486 	1.300 	0.476 	2.700 	28	3.844 	1.875 	3.805 	2.060 	5.410 	28	5.411 	1.837 	5.261 	3.575 	7.416 	28	2.482 	1.794 	1.939 	0.619 	4.397 	27	0.0109 	0.0044 	0.0102 	0.0074 	0.0132 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.2532 	0.1472 	0.2146 	0.1225 	0.4113 
	1-1-1990	28	8.480 	4.195 	7.387 	3.578 	13.650 	28	0.974 	0.460 	0.938 	0.498 	1.432 	28	3.038 	1.025 	2.964 	1.957 	4.081 	28	5.145 	2.231 	4.452 	2.674 	8.367 	28	1.743 	0.910 	1.514 	0.913 	3.018 	26	0.0239 	0.0114 	0.0234 	0.0105 	0.0358 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.2182 	0.1271 	0.1893 	0.0973 	0.3433 
	2-1-1990	30	9.560 	5.439 	9.761 	3.446 	12.973 	30	0.884 	0.795 	0.556 	0.294 	1.584 	30	3.132 	1.824 	2.567 	1.778 	4.804 	30	5.712 	3.047 	5.762 	2.619 	7.853 	30	1.694 	1.323 	1.246 	0.696 	2.597 	30	0.0182 	0.0135 	0.0153 	0.0093 	0.0218 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.1585 	0.1545 	0.1142 	0.0519 	0.2294 
	3-1-1990	28	6.096 	3.574 	6.398 	2.084 	10.359 	28	1.602 	1.474 	1.161 	0.476 	2.776 	28	5.759 	4.584 	3.662 	1.797 	10.950 	28	4.213 	1.925 	3.860 	2.234 	6.697 	28	4.698 	4.670 	2.561 	1.067 	10.156 	23	0.0376 	0.0226 	0.0387 	0.0118 	0.0595 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.6784 	0.8715 	0.2339 	0.1074 	1.4823 
	4-1-1990	28	7.809 	4.681 	6.973 	3.479 	12.009 	28	1.009 	0.723 	0.828 	0.401 	1.492 	28	3.562 	1.690 	3.334 	1.498 	5.305 	28	4.823 	2.576 	4.282 	2.660 	7.542 	28	2.348 	1.632 	1.989 	0.686 	4.160 	27	0.0273 	0.0141 	0.0245 	0.0168 	0.0332 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.3424 	0.2976 	0.2496 	0.1197 	0.5247 
	5-1-1990	28	5.967 	3.371 	5.369 	3.008 	8.786 	28	1.778 	1.137 	1.616 	0.636 	3.186 	28	4.632 	2.453 	3.905 	2.467 	6.672 	28	4.129 	1.630 	3.786 	2.857 	5.695 	28	3.593 	2.412 	3.220 	1.347 	5.809 	25	0.0575 	0.0296 	0.0505 	0.0295 	0.0917 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.5598 	0.4323 	0.4268 	0.2008 	0.9651 
