
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	2-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	3-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	5-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	6-1-1988	10	5.340 	0.132 	5.422 	5.149 	5.422 	10	0.862 	0.226 	1.002 	0.535 	1.002 	10	2.955 	0.386 	2.715 	2.715 	3.515 	10	3.417 	0.171 	3.311 	3.311 	3.665 	10	2.095 	0.343 	1.882 	1.882 	2.592 	10	0.0678 	0.0257 	0.0838 	0.0306 	0.0838 	10	25.350 	16.268 	35.453 	1.775 	35.453 	0	#N/A	#N/A	#N/A	#N/A	#N/A
	7-1-1988	21	3.278 	1.360 	3.961 	2.266 	4.911 	21	0.481 	0.085 	0.470 	0.403 	0.535 	21	2.112 	1.233 	1.641 	1.397 	3.515 	21	2.302 	0.868 	2.636 	1.630 	3.459 	21	1.532 	1.207 	0.986 	0.977 	2.592 	20	0.0409 	0.0092 	0.0364 	0.0306 	0.0527 	21	2.366 	1.662 	1.775 	1.001 	4.799 	1	0.7045 	#N/A	0.7045 	0.7045 	0.7045 
	8-1-1988	14	3.337 	2.361 	3.074 	1.075 	4.593 	14	1.166 	0.449 	1.300 	0.673 	1.459 	14	4.250 	1.704 	4.037 	2.363 	6.301 	14	2.370 	1.353 	2.173 	1.210 	3.564 	14	3.653 	1.567 	3.631 	2.066 	5.350 	11	0.0618 	0.0226 	0.0591 	0.0454 	0.0789 	15	42.030 	45.045 	30.915 	3.184 	97.216 	14	0.4101 	0.1799 	0.3893 	0.2586 	0.6032 
	9-1-1988	18	1.887 	1.326 	1.984 	0.145 	2.949 	18	0.860 	0.522 	0.780 	0.388 	1.509 	18	4.162 	3.682 	2.213 	1.337 	7.813 	18	1.452 	0.620 	1.550 	0.914 	1.847 	18	3.797 	3.712 	1.805 	0.967 	7.398 	14	0.0565 	0.0120 	0.0551 	0.0441 	0.0705 	18	4.651 	5.600 	1.569 	0.755 	10.366 	18	0.4749 	0.4190 	0.2752 	0.1093 	1.0002 
	10-1-1988	7	5.184 	3.787 	4.356 	1.794 	10.034 	7	0.433 	0.209 	0.434 	0.248 	0.630 	7	1.191 	0.520 	1.311 	0.740 	1.738 	7	3.011 	2.101 	2.433 	1.109 	5.735 	7	0.433 	0.382 	0.332 	0.138 	0.592 	4	0.0258 	0.0116 	0.0248 	0.0184 	0.0333 	7	1.796 	1.022 	1.656 	0.883 	2.792 	6	0.0939 	0.0691 	0.1102 	0.0165 	0.1428 
