
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA
	8-23-1983	9-2-1983	14.146 	0.108 	2.144 	7.092 	0.359 	11.9 
	9-2-1983	9-9-1983	13.848 	0.175 	2.245 	7.552 	0.344 	13.4 
	9-9-1983	9-16-1983	11.794 	0.344 	4.386 	6.396 	2.776 	#N/A
	9-16-1983	9-23-1983	16.967 	0.163 	3.126 	9.427 	0.753 	23.2 
	9-23-1983	9-30-1983	17.697 	0.161 	2.924 	9.553 	0.519 	24.8 
	9-30-1983	10-7-1983	18.310 	0.313 	3.018 	10.253 	0.438 	22.3 
	10-7-1983	10-14-1983	10.993 	0.279 	2.018 	6.102 	0.482 	20.4 
	10-14-1983	10-21-1983	19.935 	0.182 	3.366 	11.591 	0.449 	18.0 
	10-21-1983	10-28-1983	23.036 	0.210 	3.782 	12.915 	0.531 	24.8 
	10-28-1983	11-4-1983	11.032 	0.501 	2.224 	6.362 	0.623 	33.1 
	11-4-1983	11-11-1983	11.061 	0.407 	2.151 	6.301 	0.565 	27.0 
	11-11-1983	11-18-1983	12.644 	0.275 	2.406 	7.287 	0.572 	46.4 
	11-18-1983	11-25-1983	18.502 	0.111 	3.045 	10.314 	0.449 	40.6 
	11-25-1983	12-4-1983	18.437 	0.105 	3.045 	10.668 	0.360 	19.0 
	12-4-1983	12-9-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-9-1983	12-16-1983	14.773 	0.133 	2.473 	8.253 	0.395 	31.3 
	12-16-1983	12-23-1983	14.935 	0.126 	2.721 	8.643 	0.545 	31.0 
	12-23-1983	1-4-1984	21.305 	0.334 	3.639 	12.264 	0.552 	37.6 
	1-4-1984	1-8-1984	11.465 	0.088 	1.854 	6.369 	0.251 	25.8 
	1-8-1984	1-13-1984	9.498 	0.148 	1.729 	5.333 	0.386 	37.1 
	1-13-1984	1-23-1984	10.310 	0.143 	1.876 	5.717 	0.437 	39.7 
	1-23-1984	1-27-1984	13.981 	0.104 	2.395 	7.600 	0.482 	17.7 
	1-27-1984	2-4-1984	17.649 	0.101 	2.782 	9.832 	0.307 	20.5 
	2-4-1984	2-10-1984	20.237 	0.068 	3.156 	10.601 	0.488 	19.1 
	2-10-1984	2-17-1984	14.953 	0.086 	2.524 	7.988 	0.513 	35.0 
	2-17-1984	2-24-1984	29.741 	0.149 	4.473 	16.756 	0.255 	18.6 
	2-24-1984	3-2-1984	26.897 	0.063 	4.025 	15.755 	#N/A	23.8 
	3-2-1984	3-9-1984	22.408 	0.086 	3.465 	13.531 	#N/A	21.0 
	3-9-1984	3-16-1984	11.497 	0.171 	1.922 	6.137 	0.378 	17.0 
	3-16-1984	3-26-1984	20.026 	0.190 	3.236 	11.413 	0.364 	17.1 
	3-26-1984	3-31-1984	14.674 	0.247 	2.416 	8.093 	0.379 	16.4 
	3-31-1984	4-7-1984	25.273 	0.177 	3.735 	13.931 	0.228 	14.1 
	4-7-1984	4-13-1984	16.838 	0.174 	2.920 	8.924 	0.674 	12.7 
	4-13-1984	4-20-1984	15.699 	0.089 	2.427 	8.404 	0.311 	12.1 
	4-20-1984	4-27-1984	24.038 	0.170 	3.676 	13.319 	0.324 	14.7 
	4-27-1984	5-4-1984	12.797 	0.108 	1.965 	6.831 	0.245 	12.0 
	5-4-1984	5-11-1984	30.121 	0.120 	4.521 	17.054 	0.228 	#N/A
	5-11-1984	5-24-1984	19.393 	0.098 	3.013 	10.455 	0.381 	8.6 
	5-24-1984	6-7-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-7-1984	6-26-1984	25.856 	0.126 	3.817 	13.948 	0.307 	#N/A
	6-26-1984	7-5-1984	30.925 	0.113 	4.396 	16.555 	0.229 	8.3 
	7-5-1984	7-13-1984	18.138 	0.150 	2.753 	9.658 	0.322 	11.8 
	7-13-1984	7-20-1984	18.601 	0.111 	2.778 	9.829 	0.304 	10.7 
	7-20-1984	7-27-1984	14.471 	0.295 	2.481 	7.972 	0.475 	13.6 
	7-27-1984	8-3-1984	14.487 	0.186 	2.237 	7.988 	0.227 	13.8 
	8-3-1984	8-13-1984	19.968 	0.134 	3.034 	10.567 	0.374 	11.8 
	8-13-1984	8-17-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-17-1984	8-24-1984	26.648 	0.474 	4.228 	13.687 	0.783 	15.7 
	8-24-1984	8-31-1984	10.187 	0.533 	1.928 	5.466 	0.552 	16.9 
	8-31-1984	9-7-1984	11.306 	0.170 	1.864 	6.083 	0.332 	#N/A
	9-7-1984	9-14-1984	8.956 	0.568 	1.754 	4.994 	0.497 	#N/A
	9-14-1984	9-21-1984	11.919 	0.488 	2.060 	6.442 	0.439 	#N/A
	9-21-1984	10-1-1984	6.169 	0.856 	1.640 	3.524 	0.753 	#N/A
	10-1-1984	10-5-1984	11.249 	0.110 	1.719 	5.912 	0.231 	#N/A
	10-5-1984	10-12-1984	19.295 	0.205 	3.017 	9.666 	0.584 	#N/A
	10-12-1984	10-19-1984	15.760 	0.161 	2.563 	9.622 	0.141 	#N/A
	10-19-1984	10-26-1984	21.260 	0.224 	3.358 	11.619 	0.434 	#N/A
	10-26-1984	11-9-1984	23.196 	0.133 	3.687 	12.666 	0.499 	#N/A
	11-9-1984	11-16-1984	25.401 	0.191 	4.065 	13.574 	0.648 	#N/A
	11-16-1984	11-25-1984	19.968 	0.254 	3.182 	10.909 	0.436 	#N/A
	11-25-1984	12-10-1984	9.407 	0.284 	2.284 	5.308 	0.948 	#N/A
	12-10-1984	12-16-1984	12.537 	0.682 	2.565 	6.991 	0.806 	#N/A
	12-16-1984	12-21-1984	10.261 	0.464 	1.790 	5.456 	0.417 	#N/A
	12-21-1984	12-28-1984	20.521 	0.166 	3.224 	10.739 	0.521 	#N/A
	12-28-1984	1-4-1985	17.137 	0.404 	2.918 	9.233 	0.594 	#N/A
	1-4-1985	1-11-1985	11.338 	0.421 	2.126 	6.226 	0.559 	#N/A
	1-11-1985	1-18-1985	23.827 	0.139 	3.729 	13.368 	0.364 	#N/A
	1-18-1985	1-25-1985	17.895 	0.249 	3.024 	9.906 	0.531 	#N/A
	1-25-1985	2-1-1985	16.872 	0.139 	2.827 	9.097 	0.538 	#N/A
	2-1-1985	2-9-1985	17.741 	0.153 	2.844 	9.657 	0.413 	#N/A
	2-9-1985	2-19-1985	13.999 	0.163 	2.867 	8.568 	0.711 	#N/A
	2-19-1985	2-25-1985	21.972 	0.140 	3.507 	11.782 	0.542 	#N/A
	2-25-1985	3-9-1985	49.033 	0.104 	7.426 	26.167 	0.840 	#N/A
	3-9-1985	3-15-1985	25.966 	0.095 	3.926 	13.976 	0.408 	#N/A
	3-15-1985	3-23-1985	19.142 	0.164 	3.054 	10.642 	0.375 	#N/A
	3-23-1985	3-31-1985	12.570 	0.045 	2.028 	6.790 	0.319 	#N/A
	3-31-1985	4-9-1985	18.649 	0.045 	3.071 	10.161 	0.513 	#N/A
	4-9-1985	4-15-1985	32.561 	0.125 	4.773 	17.326 	0.413 	#N/A
	4-15-1985	4-22-1985	12.310 	0.355 	2.100 	6.796 	0.390 	#N/A
	4-22-1985	4-28-1985	20.315 	0.229 	3.489 	10.931 	0.737 	#N/A
