
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_AL	_BR	_CA	_CL	_CU	_L	_MG	_MN	_NA	_V	_AG	_BA	_CO	_CR	_CS	_EU	_FE	_HF	_ND	_NI	_RB	_SB	_SC	_SE	_TA	_TB	YB	ZN
	9-10-1991	9-11-1991	22.471	8.604	17.723	13.225	14.395	0.0212	#N/A	4.406	2.930	9.07E-02	2.31E+00	1.92E+01	#N/A	7.75E-03	2.45E+00	5.36E-02	1.42E+01	1.43E-02	#N/A	#N/A	1.05E-03	6.30E-03	1.95E-04	6.76E-05	2.51E+00	1.63E-04	#N/A	#N/A	1.68E-03	1.65E-03	6.09E-04	1.80E-03	9.51E-05	#N/A	#N/A	6.67E-02
	9-11-1991	9-12-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-12-1991	9-13-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-13-1991	9-15-1991	119.636	1.495	18.385	73.897	-0.215	0.0139	#N/A	0.249	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.04E-05	3.04E-04	3.88E-05	1.38E-06	8.94E-02	6.41E-06	#N/A	#N/A	1.04E-03	2.83E-03	2.19E-05	5.79E-04	#N/A	#N/A	#N/A	6.11E-03
	9-15-1991	9-16-1991	47.775	1.420	7.904	25.874	1.392	0.0095	#N/A	0.368	0.107	1.06E-01	1.15E+00	4.00E+01	#N/A	#N/A	2.51E+00	#N/A	2.03E+01	9.57E-04	#N/A	#N/A	#N/A	1.26E-04	2.46E-05	#N/A	5.36E-02	#N/A	#N/A	#N/A	2.81E-04	1.66E-04	1.64E-05	5.74E-04	#N/A	#N/A	#N/A	4.50E-03
	9-16-1991	9-17-1991	49.679	1.326	8.458	28.030	1.403	0.0100	#N/A	0.252	0.064	1.40E-01	#N/A	4.56E+01	#N/A	#N/A	3.46E+00	#N/A	2.60E+01	1.07E-03	#N/A	#N/A	#N/A	3.41E-04	1.56E-05	#N/A	4.10E-02	#N/A	#N/A	#N/A	2.48E-04	1.59E-03	1.03E-05	6.79E-04	#N/A	#N/A	#N/A	5.21E-03
	9-17-1991	9-18-1991	52.545	1.941	9.804	30.606	2.101	0.0159	#N/A	0.428	0.052	1.66E-01	7.14E-01	5.87E+01	#N/A	#N/A	3.35E+00	#N/A	3.49E+01	6.36E-04	#N/A	#N/A	#N/A	4.09E-04	4.53E-05	#N/A	4.68E-02	#N/A	#N/A	#N/A	#N/A	5.92E-04	8.71E-06	7.45E-04	#N/A	#N/A	#N/A	8.32E-03
	9-18-1991	9-19-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-19-1991	9-20-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-20-1991	9-21-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
