
	BEGIN	END	AVG_CL	AVG_NO|	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_ASSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	2-27-1992	04-Mar-1992	7.677	0.134	1.349	4.625	15.041	0.185	#N/A	0.495	0.643	0.0809
	3-4-1992	08-Apr-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-8-1992	15-Apr-1992	5.469	0.435	1.482	3.512	11.421	0.598	#N/A	1.405	1.826	0.0643
	4-15-1992	22-Apr-1992	3.925	0.330	1.074	2.566	8.346	0.428	#N/A	0.632	0.822	0.1533
	4-22-1992	29-Apr-1992	9.291	0.488	1.985	5.665	18.422	0.559	#N/A	0.657	0.855	0.1127
	4-29-1992	06-May-1992	10.328	0.416	1.733	5.970	19.415	0.230	#N/A	0.688	0.895	0.1079
	5-6-1992	13-May-1992	5.091	1.172	2.220	3.584	11.654	1.318	#N/A	2.450	3.185	0.4136
	5-13-1992	20-May-1992	4.413	0.468	1.830	2.757	8.965	1.136	#N/A	2.042	2.655	0.3783
	5-20-1992	27-May-1992	12.751	0.180	2.038	7.497	24.379	0.151	#N/A	0.698	0.908	0.0333
	5-27-1992	03-Jun-1992	13.501	0.268	2.123	7.828	25.458	0.153	#N/A	0.650	0.845	0.0594
	6-3-1992	10-Jun-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-10-1992	17-Jun-1992	2.054	0.854	1.887	1.726	5.614	1.452	#N/A	1.758	2.285	0.4405
	6-17-1992	24-Jun-1992	15.485	0.400	2.415	8.886	28.898	0.178	#N/A	1.421	1.847	0.0591
	6-24-1992	01-Jul-1992	1.364	0.078	0.472	0.955	3.105	0.231	#N/A	0.353	0.458	0.0737
	7-1-1992	08-Jul-1992	8.439	0.642	1.642	5.180	16.845	0.338	#N/A	4.581	5.955	0.0615
	7-8-1992	15-Jul-1992	6.456	0.544	1.509	4.210	13.690	0.450	#N/A	#N/A	#N/A	0.1585
	7-15-1992	22-Jul-1992	1.852	0.320	1.023	1.507	4.899	0.644	#N/A	#N/A	#N/A	0.2533
	7-22-1992	29-Jul-1992	7.993	0.120	1.333	4.984	16.208	0.079	#N/A	#N/A	#N/A	0.0625
	7-29-1992	05-Aug-1992	4.006	0.899	1.310	2.865	9.318	0.589	#N/A	#N/A	#N/A	0.2735
	8-5-1992	12-Aug-1992	7.839	0.212	1.371	4.847	15.764	0.151	#N/A	#N/A	#N/A	0.0654
	8-12-1992	19-Aug-1992	2.430	0.856	1.234	1.741	5.660	0.795	#N/A	#N/A	#N/A	0.3710
	8-19-1992	26-Aug-1992	6.708	0.236	1.492	4.272	13.892	0.417	#N/A	#N/A	#N/A	0.1103
