
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	9-23-1983	9-30-1983	7.493	0.101	1.480	4.253	13.831	0.410	#N/A	#N/A	#N/A	0.0439
	9-30-1983	10-7-1983	3.137	0.045	0.561	2.115	6.879	0.028	#N/A	#N/A	#N/A	0.0241
	10-7-1983	10-14-1983	8.600	0.167	1.488	4.483	14.579	0.360	#N/A	#N/A	#N/A	0.0282
	10-14-1983	10-21-1983	3.685	0.087	0.985	2.502	8.136	0.355	#N/A	#N/A	#N/A	0.0859
	10-21-1983	10-28-1983	0.687	#N/A	0.377	0.528	1.718	0.244	#N/A	#N/A	#N/A	0.0447
	10-28-1983	11-4-1983	11.632	0.039	1.645	6.221	20.230	0.079	#N/A	#N/A	#N/A	0.0137
	11-4-1983	11-11-1983	6.853	0.131	1.560	3.807	12.381	0.602	#N/A	#N/A	#N/A	0.0820
	11-11-1983	11-18-1983	4.329	0.113	1.076	2.845	9.251	0.360	#N/A	#N/A	#N/A	0.0779
	11-18-1983	11-25-1983	5.013	0.062	1.104	3.372	10.966	0.255	#N/A	#N/A	#N/A	0.0522
	11-25-1983	12-2-1983	1.941	0.051	0.603	1.308	4.253	0.274	#N/A	#N/A	#N/A	0.0516
	12-2-1983	12-9-1983	4.216	0.087	1.230	2.851	9.273	0.512	#N/A	#N/A	#N/A	0.0912
	12-9-1983	12-16-1983	5.236	0.057	1.486	3.661	11.907	0.564	#N/A	#N/A	#N/A	0.0723
	12-16-1983	12-23-1983	9.367	0.087	1.769	5.104	16.598	0.484	#N/A	#N/A	#N/A	0.0621
	12-23-1983	12-30-1983	11.830	0.108	1.953	6.657	21.649	0.278	#N/A	#N/A	#N/A	0.0513
	12-30-1983	1-6-1984	7.865	0.060	1.417	4.587	14.917	0.262	#N/A	#N/A	#N/A	0.0623
	1-6-1984	1-13-1984	4.208	0.088	1.237	2.866	9.320	0.516	#N/A	#N/A	#N/A	0.1192
	1-13-1984	1-20-1984	5.631	0.085	1.286	3.860	12.553	0.314	#N/A	#N/A	#N/A	0.0773
	1-20-1984	1-27-1984	5.928	0.160	1.342	3.337	10.853	0.502	#N/A	#N/A	#N/A	0.1072
	1-27-1984	2-3-1984	6.322	0.085	1.470	3.571	11.613	0.572	#N/A	#N/A	#N/A	0.0992
	2-3-1984	2-10-1984	6.630	0.052	1.224	3.773	12.270	0.274	#N/A	#N/A	#N/A	0.0551
	2-10-1984	2-17-1984	6.757	0.093	1.444	3.951	12.850	0.450	#N/A	#N/A	#N/A	0.0719
	2-17-1984	2-24-1984	4.994	0.058	1.114	3.423	11.133	0.252	#N/A	#N/A	#N/A	0.0646
	2-24-1984	3-2-1984	5.037	0.110	1.309	3.369	10.955	0.461	#N/A	#N/A	#N/A	0.0655
	3-2-1984	3-9-1984	5.138	0.077	1.193	3.490	11.348	0.315	#N/A	#N/A	#N/A	0.0509
	3-9-1984	3-16-1984	9.114	0.167	2.102	4.949	16.096	0.856	#N/A	#N/A	#N/A	0.1242
	3-16-1984	3-23-1984	2.551	0.039	0.717	2.293	7.458	0.139	#N/A	#N/A	#N/A	0.0500
	3-23-1984	3-30-1984	2.819	0.046	0.653	1.872	6.089	0.181	#N/A	#N/A	#N/A	0.0195
	3-30-1984	4-6-1984	5.931	0.071	1.177	3.800	12.358	0.220	#N/A	#N/A	#N/A	0.0283
	4-6-1984	4-13-1984	11.006	0.120	1.770	6.022	19.583	0.254	#N/A	#N/A	#N/A	0.0302
	4-13-1984	4-20-1984	7.058	0.085	1.203	3.838	12.481	0.237	#N/A	#N/A	#N/A	0.0261
	4-20-1984	4-27-1984	4.729	0.068	1.024	3.336	10.847	0.184	#N/A	#N/A	#N/A	0.0282
	4-27-1984	5-4-1984	7.873	0.062	1.294	4.278	13.912	0.217	#N/A	#N/A	#N/A	0.0220
	5-4-1984	5-11-1984	7.501	0.158	1.318	4.077	13.259	0.291	#N/A	#N/A	#N/A	0.0562
	5-11-1984	5-18-1984	3.960	0.073	0.721	2.772	9.013	0.023	#N/A	#N/A	#N/A	0.0183
	5-18-1984	5-25-1984	7.496	0.071	1.218	3.941	12.816	0.226	#N/A	#N/A	#N/A	0.0131
