
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	_NA	_V	_AL	_BE7	_PB210
	2-27-1981	3-5-1981	54.48 	0.102 	6.607 	30.03 	-0.953 	24.0 	0.240 	82.00 	#N/A	0.120 
	3-5-1981	3-12-1981	47.53 	0.155 	6.123 	25.99 	-0.419 	19.0 	0.200 	150.00 	#N/A	0.145 
	3-12-1981	3-20-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-20-1981	3-26-1981	39.91 	0.400 	5.837 	22.75 	0.110 	20.0 	#N/A	28.00 	#N/A	0.333 
	3-26-1981	4-2-1981	51.97 	0.187 	4.356 	27.50 	-2.565 	18.0 	#N/A	4.40 	#N/A	0.183 
	4-2-1981	4-9-1981	48.64 	0.230 	7.710 	27.45 	0.801 	22.0 	#N/A	17.00 	#N/A	0.178 
	4-9-1981	4-16-1981	36.03 	0.223 	4.733 	21.12 	-0.583 	19.0 	#N/A	18.00 	#N/A	0.163 
	4-16-1981	4-23-1981	35.93 	0.486 	5.495 	21.99 	-0.041 	16.0 	0.240 	43.00 	#N/A	0.252 
	4-23-1981	4-30-1981	42.71 	0.741 	6.615 	26.10 	0.045 	18.0 	#N/A	47.00 	#N/A	0.170 
	4-30-1981	5-7-1981	40.90 	0.198 	5.731 	25.30 	-0.638 	17.0 	#N/A	44.00 	#N/A	0.155 
	5-7-1981	5-14-1981	22.30 	0.191 	3.570 	12.96 	0.308 	14.0 	#N/A	35.00 	#N/A	0.125 
	5-14-1981	5-21-1981	40.88 	0.170 	5.787 	23.20 	-0.052 	15.0 	#N/A	35.00 	#N/A	0.183 
	5-21-1981	5-28-1981	45.93 	0.624 	6.423 	25.57 	-0.012 	20.0 	0.320 	57.00 	#N/A	0.143 
	5-28-1981	6-4-1981	34.72 	0.258 	5.137 	20.50 	-0.024 	18.0 	0.340 	73.00 	#N/A	0.162 
	6-4-1981	6-11-1981	36.89 	0.191 	5.452 	21.31 	0.088 	16.0 	0.200 	55.00 	#N/A	0.138 
	6-11-1981	6-20-1981	41.07 	0.101 	5.839 	24.04 	-0.211 	16.0 	#N/A	41.00 	#N/A	0.127 
	6-20-1981	6-25-1981	42.36 	0.103 	5.235 	22.48 	-0.424 	15.0 	0.088 	9.40 	#N/A	0.107 
	6-25-1981	7-2-1981	33.70 	0.055 	4.348 	19.10 	-0.461 	10.0 	0.100 	6.40 	#N/A	0.058 
	7-2-1981	7-9-1981	49.33 	0.119 	7.091 	24.85 	0.836 	12.0 	#N/A	16.00 	#N/A	0.148 
	7-9-1981	7-16-1981	49.38 	0.047 	5.243 	25.12 	-1.080 	17.0 	0.035 	5.20 	#N/A	0.060 
	7-16-1981	7-24-1981	38.94 	0.037 	5.091 	20.34 	-0.029 	18.0 	#N/A	0.20 	#N/A	0.035 
	7-24-1981	7-30-1981	54.65 	0.096 	6.447 	28.22 	-0.656 	17.0 	#N/A	0.20 	#N/A	0.062 
	7-30-1981	8-6-1981	37.21 	0.090 	4.865 	20.15 	-0.206 	16.0 	#N/A	3.40 	#N/A	0.047 
	8-6-1981	8-13-1981	78.09 	0.859 	9.928 	40.22 	-0.196 	29.0 	#N/A	0.20 	#N/A	0.022 
	8-13-1981	8-20-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-20-1981	8-27-1981	28.52 	0.181 	4.091 	16.06 	0.048 	7.6 	#N/A	3.00 	#N/A	0.113 
	8-27-1981	9-4-1981	24.20 	0.083 	3.657 	13.45 	0.272 	16.0 	#N/A	0.20 	#N/A	0.057 
	9-4-1981	9-12-1981	61.32 	0.096 	8.596 	30.26 	0.979 	20.0 	#N/A	1.20 	#N/A	0.082 
	9-12-1981	9-21-1981	46.51 	0.074 	6.475 	25.03 	0.175 	16.0 	#N/A	3.90 	#N/A	0.113 
	9-21-1981	9-25-1981	53.26 	0.016 	6.654 	28.50 	-0.519 	18.0 	#N/A	3.80 	#N/A	0.092 
	9-25-1981	10-2-1981	29.11 	0.081 	4.206 	15.84 	0.219 	23.3 	#N/A	3.50 	#N/A	0.040 
	10-2-1981	10-8-1981	29.81 	0.067 	4.153 	15.64 	0.216 	8.0 	#N/A	1.00 	#N/A	#N/A
	10-8-1981	4-22-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-22-1982	4-29-1982	57.19 	0.290 	7.686 	30.92 	-0.096 	10.2 	#N/A	59.85 	#N/A	#N/A
	4-29-1982	5-6-1982	36.42 	0.137 	5.318 	20.43 	0.176 	13.6 	#N/A	19.71 	#N/A	#N/A
	5-6-1982	5-13-1982	23.18 	0.069 	2.535 	13.30 	-0.813 	14.9 	#N/A	65.59 	#N/A	#N/A
	5-13-1982	5-20-1982	31.51 	0.176 	4.468 	18.70 	-0.239 	13.4 	0.214 	87.18 	#N/A	#N/A
	5-20-1982	5-27-1982	40.46 	0.232 	5.845 	22.40 	0.208 	19.7 	#N/A	82.26 	#N/A	#N/A
	5-27-1982	6-3-1982	42.25 	0.149 	5.742 	22.09 	0.182 	24.4 	#N/A	21.64 	#N/A	#N/A
	6-3-1982	6-6-1982	65.87 	0.211 	8.347 	34.90 	-0.437 	24.3 	#N/A	17.07 	#N/A	#N/A
	6-6-1982	7-8-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-8-1982	7-15-1982	48.72 	0.046 	6.250 	25.94 	-0.280 	18.7 	#N/A	9.00 	#N/A	#N/A
	7-15-1982	7-22-1982	48.45 	0.066 	6.093 	26.16 	-0.491 	21.1 	#N/A	13.44 	#N/A	#N/A
	7-22-1982	7-31-1982	28.81 	0.021 	2.844 	15.74 	-1.117 	22.3 	#N/A	19.89 	#N/A	#N/A
	7-31-1982	8-5-1982	38.71 	0.085 	5.241 	20.81 	0.004 	15.4 	0.184 	1.95 	#N/A	#N/A
	8-5-1982	8-12-1982	32.84 	0.050 	4.438 	17.71 	-0.019 	16.0 	#N/A	10.87 	#N/A	#N/A
	8-12-1982	8-19-1982	44.23 	0.079 	6.167 	23.89 	0.154 	12.9 	#N/A	4.70 	#N/A	#N/A
	8-19-1982	8-26-1982	35.08 	0.022 	4.599 	19.15 	-0.221 	18.0 	#N/A	17.09 	#N/A	#N/A
	8-26-1982	9-2-1982	39.59 	0.034 	4.868 	21.29 	-0.490 	21.4 	#N/A	6.76 	#N/A	#N/A
	9-2-1982	9-9-1982	45.37 	-0.003 	6.457 	23.89 	0.444 	23.9 	0.304 	14.92 	#N/A	#N/A
	9-9-1982	9-16-1982	17.84 	0.095 	2.974 	8.03 	0.952 	7.8 	#N/A	7.53 	#N/A	#N/A
	9-16-1982	9-24-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1982	9-30-1982	18.60 	0.043 	2.738 	9.65 	0.310 	7.2 	#N/A	1.62 	#N/A	#N/A
	9-30-1982	10-7-1982	23.81 	0.061 	3.972 	13.13 	0.667 	9.5 	#N/A	18.92 	#N/A	#N/A
	10-7-1982	10-15-1982	26.26 	0.016 	3.827 	14.42 	0.197 	11.4 	#N/A	8.80 	#N/A	#N/A
	10-15-1982	10-21-1982	12.33 	0.118 	1.976 	6.65 	0.304 	8.1 	#N/A	3.33 	#N/A	#N/A
	10-21-1982	10-28-1982	11.65 	0.276 	2.161 	6.43 	0.542 	6.7 	0.055 	17.30 	#N/A	#N/A
	10-28-1982	11-5-1982	28.40 	0.083 	4.380 	15.43 	0.497 	14.5 	#N/A	3.86 	#N/A	#N/A
	11-5-1982	11-11-1982	41.82 	0.108 	4.648 	22.41 	-0.992 	32.4 	0.418 	52.95 	#N/A	#N/A
	11-11-1982	11-18-1982	22.16 	0.219 	3.317 	12.57 	0.152 	12.2 	#N/A	2.91 	#N/A	#N/A
	11-18-1982	11-25-1982	32.43 	0.068 	4.443 	18.27 	-0.156 	13.5 	#N/A	17.24 	#N/A	#N/A
	11-25-1982	11-26-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-26-1982	12-2-1982	60.56 	0.827 	6.918 	35.17 	-1.933 	27.4 	#N/A	34.69 	#N/A	#N/A
	12-2-1982	12-4-1982	70.11 	0.151 	9.102 	37.27 	-0.278 	26.3 	0.214 	5.75 	#N/A	#N/A
	12-4-1982	1-16-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1983	1-20-1983	29.11 	0.092 	4.027 	16.56 	-0.142 	18.0 	#N/A	42.80 	#N/A	#N/A
	1-20-1983	1-27-1983	32.99 	0.188 	4.889 	18.18 	0.312 	15.1 	0.125 	21.93 	#N/A	#N/A
	1-27-1983	2-3-1983	33.74 	0.069 	4.411 	18.74 	-0.306 	13.5 	#N/A	0.20 	#N/A	#N/A
	2-3-1983	2-10-1983	22.48 	0.223 	3.477 	12.86 	0.241 	13.6 	#N/A	6.02 	#N/A	#N/A
	2-10-1983	2-17-1983	55.11 	0.226 	7.703 	30.18 	0.108 	23.9 	#N/A	27.49 	#N/A	#N/A
	2-17-1983	2-24-1983	42.87 	0.314 	5.497 	22.98 	-0.286 	17.4 	#N/A	37.04 	#N/A	#N/A
	2-24-1983	3-3-1983	40.58 	0.221 	6.073 	22.49 	0.412 	17.6 	#N/A	28.70 	#N/A	#N/A
	3-3-1983	3-10-1983	34.54 	0.213 	4.856 	19.23 	0.015 	12.5 	#N/A	4.43 	#N/A	#N/A
	3-10-1983	3-17-1983	46.60 	0.152 	5.816 	25.71 	-0.656 	18.1 	0.190 	53.42 	#N/A	#N/A
	3-17-1983	3-24-1983	40.14 	0.235 	5.590 	22.39 	-0.046 	18.5 	0.248 	56.88 	#N/A	#N/A
	3-24-1983	3-31-1983	41.14 	0.322 	6.221 	23.19 	0.385 	11.0 	#N/A	15.57 	#N/A	#N/A
	3-31-1983	4-7-1983	43.16 	0.211 	6.236 	23.77 	0.253 	17.5 	#N/A	13.08 	#N/A	#N/A
	4-7-1983	4-15-1983	34.58 	0.413 	7.489 	19.74 	2.521 	13.5 	0.176 	47.82 	#N/A	#N/A
	4-15-1983	4-21-1983	49.85 	0.433 	6.119 	27.19 	-0.725 	20.8 	#N/A	46.08 	#N/A	#N/A
	4-21-1983	4-28-1983	47.22 	0.214 	5.661 	26.43 	-0.991 	21.8 	#N/A	23.65 	#N/A	#N/A
	4-28-1983	5-5-1983	45.07 	0.238 	6.429 	25.43 	0.028 	15.9 	#N/A	34.95 	#N/A	#N/A
	5-5-1983	5-12-1983	48.47 	0.178 	6.806 	26.75 	0.074 	20.5 	0.132 	19.48 	#N/A	#N/A
	5-12-1983	5-20-1983	46.66 	0.350 	6.341 	25.82 	-0.158 	23.8 	0.607 	47.12 	#N/A	#N/A
	5-20-1983	5-26-1983	38.99 	0.185 	5.494 	21.72 	0.026 	17.2 	#N/A	83.15 	#N/A	#N/A
	5-26-1983	6-2-1983	39.46 	0.169 	5.220 	22.29 	-0.390 	18.3 	#N/A	35.26 	#N/A	#N/A
	6-2-1983	6-9-1983	32.35 	0.150 	4.512 	18.35 	-0.108 	14.5 	#N/A	37.01 	#N/A	#N/A
	6-9-1983	6-16-1983	41.11 	0.100 	4.109 	23.60 	-1.833 	18.5 	#N/A	24.09 	#N/A	#N/A
	6-16-1983	2-20-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1985	2-28-1985	28.48 	0.195 	4.321 	15.65 	0.382 	16.5 	#N/A	27.38 	1.036 	#N/A
	2-28-1985	3-6-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-6-1985	3-13-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-13-1985	3-21-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
