
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	_NA	_V	_AL	_PB210
	4-2-1981	4-9-1981	3.826 	0.093 	0.979 	2.339 	0.391 	#N/A	2.6 	#N/A	5.50 	0.056 
	4-9-1981	4-16-1981	7.038 	0.033 	0.982 	3.838 	0.016 	#N/A	1.4 	0.096 	4.60 	0.014 
	4-16-1981	4-23-1981	13.548 	0.145 	2.526 	7.754 	0.575 	#N/A	2.1 	#N/A	9.60 	0.057 
	4-23-1981	4-30-1981	5.929 	0.132 	1.433 	3.443 	0.566 	39.30 	2.7 	#N/A	3.20 	0.113 
	4-30-1981	5-7-1981	12.095 	0.136 	2.148 	6.889 	0.414 	#N/A	5.9 	#N/A	6.40 	0.078 
	5-7-1981	5-14-1981	9.039 	0.149 	2.179 	5.393 	0.821 	#N/A	1.7 	#N/A	15.00 	0.080 
	5-14-1981	5-21-1981	7.979 	0.085 	1.694 	4.738 	0.501 	#N/A	1.4 	0.042 	5.50 	0.026 
	5-21-1981	5-29-1981	7.066 	0.120 	1.712 	4.164 	0.664 	46.00 	1.4 	#N/A	2.30 	0.050 
	5-29-1981	6-4-1981	5.233 	0.111 	1.357 	3.094 	0.579 	#N/A	2.8 	#N/A	8.20 	0.076 
	6-4-1981	6-11-1981	4.044 	0.132 	1.244 	2.428 	0.633 	#N/A	2.1 	#N/A	3.20 	0.048 
	6-11-1981	6-18-1981	4.138 	0.084 	1.125 	2.479 	0.501 	#N/A	1.0 	#N/A	5.20 	0.067 
	6-18-1981	6-25-1981	6.789 	0.132 	1.545 	4.043 	0.527 	48.40 	3.3 	#N/A	1.40 	0.065 
	6-25-1981	7-2-1981	5.162 	0.155 	1.408 	3.162 	0.612 	#N/A	2.7 	#N/A	1.20 	0.103 
	7-2-1981	7-9-1981	5.813 	0.123 	1.540 	3.448 	0.672 	#N/A	2.6 	#N/A	0.60 	0.072 
	7-9-1981	7-16-1981	5.108 	0.161 	1.399 	3.158 	0.604 	#N/A	3.0 	#N/A	1.70 	0.077 
	7-16-1981	7-23-1981	6.094 	0.190 	1.577 	3.860 	0.606 	46.20 	4.2 	#N/A	4.20 	0.182 
	7-23-1981	7-30-1981	7.688 	0.219 	1.696 	4.623 	0.533 	#N/A	4.2 	#N/A	2.90 	0.218 
	7-30-1981	8-8-1981	6.410 	0.226 	1.492 	3.925 	0.504 	#N/A	3.8 	#N/A	3.00 	0.143 
	8-8-1981	8-13-1981	4.880 	0.283 	1.405 	3.157 	0.611 	37.00 	3.2 	0.080 	3.60 	0.165 
	8-13-1981	8-22-1981	2.813 	0.164 	0.983 	1.742 	0.544 	#N/A	2.0 	#N/A	1.80 	0.062 
