
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	_NA	_AL	_BE7	_PB210	_PB210
	4-8-1983	4-15-1983	105.942 	0.051 	16.654 	60.928 	1.319 	63.57 	3.3 	#N/A	2.11 	0.035 
	4-15-1983	4-22-1983	130.065 	0.012 	19.287 	69.673 	1.750 	54.17 	12.9 	#N/A	2.35 	0.039 
	4-22-1983	4-29-1983	179.973 	0.172 	26.997 	102.537 	1.188 	67.20 	3.1 	#N/A	2.31 	0.039 
	4-29-1983	5-6-1983	114.281 	0.068 	15.609 	61.864 	0.038 	57.35 	0.2 	#N/A	1.83 	0.031 
	5-6-1983	5-13-1983	120.746 	0.073 	18.050 	66.064 	1.422 	39.36 	0.2 	#N/A	1.94 	0.032 
	5-13-1983	5-20-1983	121.016 	0.034 	17.067 	64.820 	0.752 	46.07 	0.2 	#N/A	0.79 	0.013 
	5-20-1983	5-27-1983	130.198 	0.069 	15.022 	66.453 	-1.704 	54.28 	26.7 	#N/A	1.26 	0.021 
	5-27-1983	6-3-1983	96.533 	0.068 	9.255 	51.219 	-3.637 	30.83 	11.6 	#N/A	1.11 	0.019 
	6-3-1983	6-10-1983	107.895 	0.194 	16.413 	58.258 	1.750 	#N/A	0.9 	#N/A	1.39 	0.023 
	6-10-1983	6-17-1983	82.887 	0.193 	11.734 	45.847 	0.194 	#N/A	3.7 	#N/A	2.99 	0.050 
	6-17-1983	6-24-1983	116.279 	0.107 	13.831 	63.064 	-2.043 	#N/A	4.5 	#N/A	2.33 	0.039 
	6-24-1983	7-1-1983	107.733 	0.159 	12.462 	56.644 	-1.796 	34.07 	56.0 	#N/A	3.17 	0.053 
	7-1-1983	7-8-1983	120.764 	0.146 	18.174 	66.210 	1.509 	#N/A	7.4 	#N/A	1.75 	0.029 
	7-8-1983	7-15-1983	113.638 	0.081 	16.563 	62.598 	0.807 	35.56 	2.8 	#N/A	1.38 	0.023 
	7-15-1983	7-22-1983	110.663 	0.068 	14.831 	61.238 	-0.583 	#N/A	5.4 	#N/A	1.47 	0.025 
	7-22-1983	7-29-1983	106.278 	0.123 	15.942 	59.712 	0.913 	40.23 	80.5 	#N/A	3.01 	0.050 
	7-29-1983	8-5-1983	117.604 	0.091 	17.415 	66.660 	0.637 	32.63 	8.6 	#N/A	2.90 	0.048 
	8-5-1983	8-12-1983	97.237 	0.072 	13.427 	54.645 	-0.328 	52.78 	92.3 	#N/A	1.98 	0.033 
	8-12-1983	8-19-1983	110.650 	0.056 	16.455 	60.423 	1.246 	60.81 	169.2 	#N/A	2.03 	0.034 
	8-19-1983	8-26-1983	129.982 	0.056 	18.774 	72.018 	0.647 	43.34 	5.1 	#N/A	1.64 	0.027 
	8-26-1983	9-2-1983	105.939 	0.124 	14.853 	56.486 	0.636 	29.04 	5.0 	#N/A	3.49 	0.058 
