
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	7-23-1987	7-30-1987	2.860	0.052	0.563	1.615	5.253	0.157	#N/A	#N/A	#N/A	0.0214
	7-30-1987	8-6-1987	2.523	0.095	0.708	1.463	4.758	0.340	#N/A	#N/A	#N/A	0.0759
	8-6-1987	8-13-1987	5.234	0.212	1.430	2.969	9.654	0.682	#N/A	#N/A	#N/A	0.2449
	8-13-1987	8-20-1987	2.266	0.054	0.570	1.578	5.130	0.173	#N/A	#N/A	#N/A	0.0725
	8-20-1987	8-27-1987	2.708	0.048	0.506	1.566	5.092	0.112	#N/A	#N/A	#N/A	0.0191
	8-27-1987	9-3-1987	4.682	0.116	0.943	2.656	8.636	0.275	#N/A	#N/A	#N/A	0.0404
	9-3-1987	9-10-1987	2.284	0.044	0.593	1.387	4.512	0.244	#N/A	#N/A	#N/A	0.0472
	9-10-1987	9-17-1987	4.283	0.071	0.947	2.448	7.962	0.331	#N/A	#N/A	#N/A	0.0484
	9-17-1987	9-24-1987	3.590	0.096	0.719	2.067	6.723	0.199	#N/A	#N/A	#N/A	0.0324
	9-24-1987	10-1-1987	3.012	0.070	0.705	1.766	5.742	0.261	#N/A	#N/A	#N/A	0.0482
	10-1-1987	10-8-1987	2.841	0.179	0.937	1.660	5.400	0.519	#N/A	#N/A	#N/A	0.1516
	10-8-1987	10-15-1987	2.237	0.223	0.744	1.688	5.488	0.319	#N/A	#N/A	#N/A	0.0502
	10-15-1987	10-23-1987	3.580	0.068	0.710	2.020	6.569	0.201	#N/A	#N/A	#N/A	0.0583
	10-23-1987	10-29-1987	4.580	0.084	1.082	2.679	8.712	0.408	#N/A	#N/A	#N/A	0.0728
	10-29-1987	11-5-1987	3.813	0.145	1.130	2.224	7.232	0.570	#N/A	#N/A	#N/A	0.1422
	11-5-1987	11-16-1987	4.613	0.080	1.128	2.696	8.768	0.449	#N/A	#N/A	#N/A	0.1186
