
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	2-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	3-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	5-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	6-1-1991	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	7-1-1991	11	5.158 	2.310 	4.661 	3.170 	7.930 	11	0.248 	0.166 	0.201 	0.093 	0.415 	11	1.340 	0.569 	1.379 	0.728 	1.920 	11	2.906 	1.303 	2.645 	1.821 	4.497 	11	0.608 	0.350 	0.570 	0.241 	1.047 	11	0.1555 	0.0700 	0.1890 	0.0799 	0.2156 	0	#N/A	#N/A	#N/A	#N/A	#N/A	11	0.5750 	0.2352 	0.6223 	0.3162 	0.7905 
	8-1-1991	25	8.450 	4.911 	8.043 	4.562 	12.560 	25	0.209 	0.381 	0.115 	0.054 	0.217 	25	1.666 	1.173 	1.319 	0.820 	2.198 	25	4.651 	2.716 	4.257 	2.438 	6.832 	25	0.495 	0.952 	0.217 	0.145 	0.361 	23	0.0470 	0.0146 	0.0485 	0.0334 	0.0584 	0	#N/A	#N/A	#N/A	#N/A	#N/A	25	0.4621 	0.3864 	0.3674 	0.2737 	0.4946 
	9-1-1991	19	8.584 	7.107 	7.857 	3.010 	12.993 	19	0.218 	0.252 	0.118 	0.066 	0.265 	19	1.690 	1.050 	1.429 	0.716 	2.724 	19	4.464 	3.806 	3.887 	1.577 	6.832 	19	0.567 	0.745 	0.296 	0.146 	0.653 	14	0.0182 	0.0141 	0.0118 	0.0074 	0.0274 	0	#N/A	#N/A	#N/A	#N/A	#N/A	19	1.2083 	1.9282 	0.6151 	0.2861 	1.3127 
	10-1-1991	15	17.292 	30.826 	9.110 	6.392 	13.743 	15	0.189 	0.257 	0.089 	0.047 	0.277 	15	2.773 	4.135 	1.751 	1.130 	2.503 	15	9.402 	17.620 	4.640 	3.295 	7.199 	14	0.491 	0.558 	0.378 	0.214 	0.603 	13	0.0048 	0.0033 	0.0039 	0.0017 	0.0071 	0	#N/A	#N/A	#N/A	#N/A	#N/A	15	0.2981 	0.2036 	0.2594 	0.1559 	0.4890 
