
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	4-22-1983	4-29-1983	5.245	0.072	0.939	2.990	9.723	0.187	#N/A	#N/A	#N/A	0.0243
	4-29-1983	5-6-1983	6.645	0.078	1.157	4.137	13.455	0.115	#N/A	#N/A	#N/A	0.0323
	5-6-1983	5-13-1983	6.760	0.042	1.071	3.866	12.573	0.098	#N/A	#N/A	#N/A	0.0191
	5-13-1983	5-20-1983	7.535	0.223	1.469	4.252	13.827	0.399	#N/A	#N/A	#N/A	0.0792
	5-20-1983	5-27-1983	4.368	0.121	1.003	2.520	8.195	0.369	#N/A	#N/A	#N/A	0.0634
	5-27-1983	6-3-1983	6.317	0.052	1.014	3.488	11.343	0.136	#N/A	#N/A	#N/A	0.0226
	6-3-1983	6-10-1983	3.720	0.379	1.239	2.054	6.678	0.723	#N/A	#N/A	#N/A	0.2733
	6-10-1983	6-17-1983	4.204	0.120	0.842	2.397	7.795	0.239	#N/A	#N/A	#N/A	0.0277
	6-17-1983	6-24-1983	8.117	0.068	1.247	4.498	14.626	0.115	#N/A	#N/A	#N/A	0.0356
	6-24-1983	7-1-1983	1.625	0.076	0.379	1.163	3.783	0.086	#N/A	#N/A	#N/A	0.0288
	7-1-1983	7-8-1983	2.951	0.030	0.463	1.698	5.521	0.035	#N/A	#N/A	#N/A	0.0070
	7-8-1983	7-15-1983	0.481	0.218	0.490	0.417	1.355	0.385	#N/A	#N/A	#N/A	0.0984
	7-15-1983	7-22-1983	0.979	0.098	0.738	1.184	3.849	0.440	#N/A	#N/A	#N/A	0.0127
	7-22-1983	7-29-1983	4.647	0.150	0.941	2.557	8.315	0.297	#N/A	#N/A	#N/A	0.0426
	7-29-1983	8-5-1983	4.325	0.144	0.883	2.565	8.341	0.237	#N/A	#N/A	#N/A	0.0171
	8-5-1983	8-12-1983	7.242	0.093	1.088	4.010	13.042	0.079	#N/A	#N/A	#N/A	0.0187
	8-12-1983	8-19-1983	8.315	0.133	1.594	4.873	15.847	0.368	#N/A	#N/A	#N/A	0.0321
	8-19-1983	8-26-1983	2.990	0.080	0.563	1.737	5.650	0.125	#N/A	#N/A	#N/A	0.0215
	8-26-1983	9-2-1983	2.203	0.185	0.824	1.414	4.599	0.468	#N/A	#N/A	#N/A	0.0343
	9-2-1983	9-9-1983	6.791	0.131	1.263	3.920	12.747	0.276	#N/A	#N/A	#N/A	0.0297
	9-9-1983	9-16-1983	4.554	0.039	0.746	2.635	8.568	0.083	#N/A	#N/A	#N/A	0.0168
	9-16-1983	9-23-1983	5.075	0.036	0.796	2.883	9.375	0.070	#N/A	#N/A	#N/A	0.0186
	9-23-1983	9-30-1983	3.509	0.056	0.655	1.989	6.469	0.154	#N/A	#N/A	#N/A	0.0280
	9-30-1983	10-7-1983	6.320	0.138	1.292	3.511	11.416	0.408	#N/A	#N/A	#N/A	0.0216
	10-7-1983	10-14-1983	4.901	0.136	1.004	2.932	9.535	0.266	#N/A	#N/A	#N/A	0.0285
	10-14-1983	10-21-1983	3.504	0.203	1.095	2.216	7.205	0.537	#N/A	#N/A	#N/A	0.0287
	10-21-1983	10-28-1983	3.537	0.087	1.376	2.396	7.792	0.773	#N/A	#N/A	#N/A	0.0313
	10-28-1983	11-4-1983	6.635	0.149	1.401	3.789	12.323	0.447	#N/A	#N/A	#N/A	0.0590
	11-4-1983	11-11-1983	4.562	0.125	1.102	2.761	8.979	0.407	#N/A	#N/A	#N/A	0.0375
	11-11-1983	11-18-1983	6.753	0.104	1.253	4.010	13.041	0.243	#N/A	#N/A	#N/A	0.0184
	11-18-1983	11-25-1983	4.401	0.061	1.049	2.664	8.663	0.378	#N/A	#N/A	#N/A	0.0370
	11-25-1983	12-2-1983	1.370	0.050	0.639	1.264	4.111	0.321	#N/A	#N/A	#N/A	0.0413
	12-2-1983	12-9-1983	3.663	0.077	1.742	2.459	7.998	1.123	#N/A	#N/A	#N/A	0.0481
	12-9-1983	12-16-1983	3.393	0.056	0.840	2.043	6.645	0.326	#N/A	#N/A	#N/A	0.0365
	12-16-1983	12-23-1983	5.871	0.075	1.135	3.387	11.015	0.282	#N/A	#N/A	#N/A	0.0319
	12-23-1983	12-30-1983	4.731	0.021	0.882	2.679	8.713	0.208	#N/A	#N/A	#N/A	0.0137
	12-30-1983	1-13-1984	5.840	0.090	1.528	3.410	11.090	0.670	#N/A	#N/A	#N/A	0.0378
	1-13-1984	1-20-1984	5.107	0.067	1.254	3.162	10.282	0.458	#N/A	#N/A	#N/A	0.0632
	1-20-1984	1-27-1984	3.366	0.042	0.773	2.046	6.655	0.258	#N/A	#N/A	#N/A	0.0394
	1-27-1984	2-3-1984	2.634	0.105	0.984	1.789	5.819	0.533	#N/A	#N/A	#N/A	0.0422
	2-3-1984	2-10-1984	2.167	0.118	1.114	1.787	5.812	0.664	#N/A	#N/A	#N/A	0.0603
