
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	_NSSSO4BIO	_NSSSO4NBIO	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1988	26	0.493	0.299	0.663	0.061	0.717	26	0.355	0.161	0.471	0.135	0.471	26	0.278	0.129	0.334	0.110	0.387	26	0.313	0.193	0.429	0.033	0.466	26	0.200			0.087	0.221	0.105	0.279	0						26	2.85	2.24	2.76	0.45	6.84	0					
	2-1-1988	20	0.213	0.137	0.187	0.094	0.293	20	0.238	0.090	0.196	0.172	0.362	20	0.242	0.095	0.222	0.150	0.359	20	0.142	0.093	0.126	0.065	0.156	20	0.206			0.098	0.182	0.124	0.327	0						20	4.48	2.74	4.99	0.95	7.10	0					
	3-1-1988	16	0.809	0.609	0.495	0.431	1.241	16	0.896	0.633	0.544	0.396	1.417	16	1.675	1.614	0.910	0.243	3.542	16	0.437	0.450	0.246	0.046	0.840	16	1.565			1.514	0.848	0.234	3.250	0						16	211.64	319.10	42.10	3.55	593.14	0					
	4-1-1988	30	0.441	0.168	0.444	0.273	0.570	30	0.641	0.370	0.504	0.327	0.960	30	0.470	0.226	0.503	0.226	0.693	30	0.084	0.094	0.053	0.026	0.116	30	0.449			0.226	0.479	0.200	0.662	0						30	2.05	1.37	1.76	0.80	3.40	0					
	5-1-1988	31	0.446	0.231	0.454	0.181	0.591	31	0.805	0.407	0.742	0.441	1.165	31	0.717	0.465	0.614	0.346	0.908	31	0.098	0.190	0.038	0.026	0.089	31	0.692			0.459	0.602	0.334	0.900	0						31	2.61	5.23	1.09	0.58	2.46	0					
	6-1-1988	30	0.547	0.375	0.490	0.301	0.622	30	0.894	0.415	0.770	0.559	1.393	30	0.888	0.634	0.676	0.321	1.734	30	0.144	0.211	0.054	0.015	0.257	30	0.852			0.607	0.665	0.317	1.703	0						30	14.18	27.29	1.46	0.56	26.38	0					
	7-1-1988	30	0.891	0.817	0.454	0.215	1.617	30	1.195	0.667	0.888	0.560	1.985	30	2.071	2.415	0.605	0.137	4.396	30	0.420	0.572	0.138	0.019	0.870	30	1.966			2.281	0.568	0.130	4.253	0						30	123.57	195.26	32.68	0.63	241.46	1	0.519	#DIV/0!	0.519	0.519	0.519
	8-1-1988	30	0.876	0.537	0.635	0.420	1.423	30	1.337	0.458	1.184	0.942	1.884	30	2.538	1.856	1.996	0.696	4.698	30	0.376	0.299	0.296	0.072	0.761	30	2.444			1.784	1.922	0.679	4.513	0						30	107.69	105.34	53.96	18.24	214.16	30	1.043	0.451	0.939	0.622	1.564
	9-1-1988	29	0.887	0.984	0.618	0.312	1.073	29	1.005	0.599	0.800	0.529	1.517	29	1.444	1.924	0.713	0.258	2.685	29	0.376	0.726	0.080	0.040	0.484	29	1.350	0.124	1.226	1.747	0.695	0.242	2.563	27	0.0068	0.0032	0.0064	0.0042	0.0084	29	109.03	226.21	25.44	1.33	179.30	29	0.591	0.197	0.559	0.407	0.778
	10-1-1988	28	0.527	0.384	0.532	0.152	0.843	28	0.582	0.454	0.497	0.115	0.976	28	0.444	0.592	0.254	0.065	0.736	28	0.138	0.148	0.096	0.037	0.184	28	0.410	0.103	0.307	0.557	0.234	0.043	0.659	28	0.0057	0.0027	0.0063	0.0016	0.0070	28	6.70	10.01	4.83	0.48	9.33	27	0.427	0.334	0.476	0.034	0.750
	11-1-1988	29	0.565	0.168	0.564	0.371	0.632	29	0.396	0.375	0.312	0.229	0.426	29	0.311	0.194	0.236	0.154	0.574	29	0.192	0.106	0.229	0.063	0.293	29	0.263	0.085	0.178	0.193	0.163	0.118	0.516	29	0.0047	0.0011	0.0049	0.0037	0.0059	29	1.59	2.43	0.74	0.25	3.38	29	0.346	0.226	0.265	0.122	0.561
	12-1-1988	30	0.687	0.536	0.517	0.318	0.976	30	0.876	1.004	0.555	0.397	0.888	30	0.886	1.104	0.574	0.156	1.348	30	0.282	0.420	0.125	0.029	0.381	30	0.815	0.093	0.723	1.001	0.516	0.147	1.204	30	0.0051	0.0017	0.0053	0.0032	0.0064	30	27.92	54.31	2.78	0.56	65.17	30	0.502	0.314	0.382	0.285	0.796
	1-1-1989	27	1.007	1.007	0.589	0.327	2.139	27	0.577	0.476	0.325	0.271	1.146	27	1.687	2.447	0.344	0.120	4.190	27	0.625	1.065	0.119	0.033	1.740	27	1.530	0.081	1.449	2.191	0.333	0.110	3.713	27	0.0045	0.0013	0.0042	0.0032	0.0064	0						27	0.503	0.621	0.334	0.304	0.494
	2-1-1989	17	0.902	0.491	0.735	0.426	1.354	17	0.676	0.523	0.405	0.204	1.192	17	1.809	1.852	1.359	0.112	3.718	17	0.483	0.440	0.427	0.011	0.930	17	1.688	0.092	1.596	1.747	1.230	0.090	3.484	17	0.0051	0.0018	0.0043	0.0039	0.0067	0						16	0.786	1.429	0.421	0.292	0.589
	3-1-1989	31	1.507	0.969	1.407	0.601	2.248	31	0.893	0.513	0.922	0.248	1.444	31	1.482	1.025	1.422	0.450	2.544	31	0.676	0.587	0.595	0.168	1.002	31	1.312	0.131	1.181	0.929	1.265	0.388	2.306	31	0.0072	0.0038	0.0068	0.0035	0.0087	0						30	0.632	0.287	0.536	0.351	0.913
	4-1-1989	21	0.898	0.737	0.495	0.255	1.847	21	0.466	0.207	0.427	0.299	0.618	21	0.421	0.322	0.289	0.128	0.677	21	0.275	0.451	0.035	0.012	1.003	21	0.351	0.096	0.255	0.235	0.285	0.125	0.584	20	0.0053	0.0016	0.0051	0.0034	0.0075	1	0.62	#DIV/0!	0.62	0.62	0.62	21	0.618	0.411	0.538	0.397	0.594
	5-1-1989	23	0.491	0.602	0.291	0.118	0.688	23	0.776	0.447	0.898	0.363	1.135	23	0.566	0.421	0.549	0.271	0.735	23	0.155	0.132	0.117	0.054	0.234	23	0.527	0.119	0.408	0.395	0.524	0.262	0.681	21	0.0066	0.0040	0.0056	0.0041	0.0076	19	11.28	14.87	2.83	0.90	31.39	23	0.576	0.513	0.480	0.211	0.857
	6-1-1989	13	0.156	0.147	0.129	0.050	0.230	13	1.091	0.317	1.047	0.868	1.504	13	0.589	0.382	0.575	0.279	1.043	13	0.229	0.163	0.175	0.064	0.449	13	0.531	0.094	0.437	0.376	0.559	0.210	0.925	12	0.0052	0.0027	0.0050	0.0029	0.0061	11	28.24	32.44	8.24	2.52	70.36	13	0.194	0.137	0.195	0.073	0.237
	7-1-1989	23	0.672	0.686	0.416	0.142	1.195	23	1.558	0.813	1.381	0.811	2.242	23	2.167	1.998	1.479	0.296	4.669	23	0.462	0.485	0.265	0.124	0.840	23	2.050	0.111	1.940	1.890	1.388	0.273	4.496	19	0.0061	0.0052	0.0041	0.0025	0.0092	23	70.51	92.62	46.98	0.54	159.17	23	0.545	0.470	0.361	0.107	0.986
	8-1-1989	21	0.459	0.383	0.502	0.114	0.610	21	1.319	0.410	1.258	1.027	1.613	21	1.657	1.251	1.642	0.309	2.550	21	0.324	0.285	0.257	0.063	0.447	21	1.575	0.078	1.497	1.193	1.641	0.293	2.443	17	0.0043	0.0018	0.0040	0.0030	0.0055	19	72.38	59.97	51.08	15.67	154.05	21	0.447	0.320	0.405	0.098	0.753
	9-1-1989	17	0.457	0.400	0.365	0.100	0.873	17	0.949	0.513	0.788	0.502	1.523	17	1.063	1.612	0.316	0.199	1.929	17	0.259	0.238	0.217	0.070	0.438	17	0.998	0.134	0.864	1.570	0.262	0.164	1.873	11	0.0074	0.0084	0.0047	0.0034	0.0076	14	20.86	35.44	1.41	0.27	57.78	17	0.339	0.396	0.088	0.042	0.852
	10-1-1989	17	0.540	0.564	0.320	0.075	0.983	16	0.416	0.245	0.364	0.195	0.673	17	0.678	0.677	0.417	0.130	1.548	17	0.244	0.341	0.187	-0.055	0.556	17	0.617	0.132	0.484	0.609	0.383	0.128	1.407	14	0.0073	0.0040	0.0076	0.0033	0.0114	14	8.03	16.77	1.06	0.23	11.24	17	0.200	0.158	0.156	0.096	0.368
	11-1-1989	17	0.598	0.474	0.491	0.176	1.173	17	0.410	0.344	0.343	0.169	0.467	17	0.609	0.645	0.386	0.185	0.932	17	0.270	0.323	0.137	0.014	0.560	17	0.541	0.104	0.437	0.609	0.362	0.095	0.863	14	0.0057	0.0036	0.0047	0.0032	0.0090	10	4.14	9.25	0.38	0.08	5.61	17	0.011	0.198	0.025	-0.065	0.069
	12-1-1989	21	0.312	0.565	0.194	-0.143	0.769	20	0.242	0.214	0.184	0.006	0.418	21	0.119	0.213	0.041	-0.049	0.269	21	0.047	0.328	-0.028	-0.085	0.176	21	0.107	0.051	0.056	0.158	0.093	-0.042	0.246	13	0.0028	0.0033	0.0021	0.0000	0.0047	6	1.62	3.33	0.30	0.09	2.14	21	-0.036	0.160	-0.031	-0.099	0.019
	1-1-1990	9	0.409	0.346	0.341	0.168	0.634	9	0.219	0.167	0.186	0.068	0.420	9	0.312	0.240	0.255	0.125	0.533	9	0.220	0.218	0.205	0.052	0.331	9	0.257	0.043	0.214	0.211	0.184	0.086	0.400	8	0.0024	0.0017	0.0028	0.0004	0.0039	8	0.54	0.51	0.47	0.13	0.74	9	0.100	0.135	0.041	0.033	0.122
	2-1-1990	6	1.016	0.486	0.884	0.678	1.241	6	1.105	0.989	0.861	0.359	1.656	6	1.492	1.159	1.140	0.724	2.322	6	0.673	0.325	0.633	0.419	0.788	6	1.323	0.066	1.256	1.168	0.898	0.572	2.204	4	0.0037	0.0026	0.0045	0.0019	0.0054	5	26.33	29.96	13.25	2.05	54.47	6	0.359	0.373	0.223	0.084	0.639
	3-1-1990	12	0.983	0.604	0.797	0.367	1.614	12	0.570	0.446	0.403	0.302	0.955	12	1.111	0.988	0.706	0.369	1.779	12	0.636	0.423	0.479	0.216	1.091	12	0.951	0.079	0.873	0.897	0.528	0.308	1.623	9	0.0044	0.0026	0.0039	0.0028	0.0070	12	14.63	24.11	1.51	0.48	40.41	12	0.248	0.177	0.167	0.125	0.445
	4-1-1990	15	0.613	0.500	0.459	0.299	0.871	15	0.543	0.364	0.489	0.191	0.936	15	0.692	0.548	0.447	0.205	1.421	15	0.360	0.362	0.287	0.070	0.500	15	0.601	0.065	0.536	0.478	0.432	0.174	1.244	13	0.0036	0.0020	0.0035	0.0023	0.0050	14	12.74	23.21	1.44	0.63	30.97	15	0.174	0.107	0.120	0.080	0.316
	5-1-1990	25	0.692	1.372	0.220	0.125	0.588	25	0.810	0.601	0.629	0.430	1.208	25	1.526	3.183	0.522	0.297	0.987	25	0.651	1.554	0.177	0.038	0.624	25	1.362	0.100	1.262	2.799	0.428	0.278	0.923	23	0.0055	0.0056	0.0036	0.0028	0.0080	14	0.88	0.61	0.73	0.34	1.35	25	0.267	0.346	0.149	0.066	0.331
	6-1-1990	29	0.533	0.621	0.257	0.126	1.017	29	0.855	0.418	0.732	0.496	1.285	29	0.714	0.690	0.386	0.273	1.110	29	0.293	0.351	0.182	0.098	0.440	29	0.641	0.101	0.539	0.647	0.345	0.244	1.028	21	0.0056	0.0036	0.0056	0.0021	0.0096	13	3.28	8.41	0.68	0.39	2.12	29	0.203	0.224	0.112	0.038	0.349
	7-1-1990	22	0.720	0.443	0.719	0.246	1.104	22	1.344	0.605	1.453	0.779	1.639	22	1.958	1.338	1.849	0.461	3.013	22	0.473	0.297	0.448	0.190	0.770	22	1.839	0.088	1.750	1.286	1.742	0.413	2.854	18	0.0049	0.0039	0.0039	0.0022	0.0069	21	44.81	40.26	52.00	1.62	87.28	22	0.599	0.882	0.499	0.086	0.650
	8-1-1990	21	1.054	0.774	0.751	0.470	1.695	21	1.402	0.335	1.375	1.044	1.725	21	2.347	1.288	2.035	1.116	3.477	21	0.685	0.556	0.484	0.261	1.187	21	2.174	0.065	2.109	1.163	1.912	1.040	3.258	17	0.0036	0.0021	0.0031	0.0024	0.0042	19	66.30	51.96	48.00	17.18	106.40	21	0.555	0.249	0.533	0.262	0.844
	9-1-1990	19	0.561	0.347	0.400	0.248	0.833	19	0.901	0.422	0.814	0.452	1.261	19	0.895	0.609	0.854	0.320	1.484	19	0.344	0.261	0.237	0.094	0.615	19	0.808	0.090	0.718	0.563	0.658	0.273	1.433	14	0.0050	0.0036	0.0035	0.0021	0.0076	16	23.35	40.95	2.20	0.79	48.63	19	0.305	0.261	0.232	0.115	0.495
	10-1-1990	26	0.300	0.308	0.155	0.095	0.578	26	0.526	0.396	0.331	0.237	0.966	26	0.503	0.523	0.272	0.141	0.982	26	0.233	0.303	0.131	0.016	0.280	26	0.444	0.088	0.357	0.471	0.241	0.128	0.805	19	0.0048	0.0033	0.0043	0.0023	0.0060	22	7.34	16.96	0.37	0.10	6.91	26	0.206	0.257	0.109	0.041	0.339
	11-1-1990	21	0.523	0.534	0.422	0.086	0.928	21	0.430	0.322	0.337	0.203	0.651	20	0.367	0.282	0.283	0.122	0.559	21	0.263	0.309	0.246	0.003	0.448	20	0.298	0.081	0.217	0.214	0.243	0.114	0.488	13	0.0045	0.0017	0.0045	0.0035	0.0061	14	3.58	9.36	0.76	0.22	2.47	21	0.232	0.204	0.155	0.077	0.422
	12-1-1990	19	0.668	0.693	0.362	0.076	1.231	19	0.506	0.373	0.432	0.146	0.784	19	0.628	0.489	0.531	0.126	1.167	19	0.283	0.288	0.142	0.035	0.600	19	0.556	0.049	0.507	0.446	0.488	0.115	1.028	11	0.0027	0.0019	0.0022	0.0009	0.0049	11	8.88	15.04	2.40	0.17	19.24	19	0.257	0.177	0.183	0.098	0.423
	1-1-1991	11	0.388	0.251	0.332	0.171	0.642	11	0.413	0.368	0.215	0.143	0.832	11	0.410	0.467	0.232	0.156	0.594	11	0.262	0.179	0.232	0.131	0.373	11	0.344	0.043	0.300	0.437	0.158	0.075	0.539	5	0.0024	0.0014	0.0022	0.0011	0.0038	4	4.69	6.93	1.64	0.59	9.04	10	0.167	0.158	0.112	0.025	0.334
	2-1-1991	17	0.355	0.263	0.268	0.203	0.481	17	0.315	0.179	0.239	0.180	0.424	17	0.380	0.299	0.339	0.146	0.520	17	0.271	0.251	0.226	0.128	0.287	17	0.312	0.047	0.266	0.244	0.265	0.136	0.428	14	0.0026	0.0018	0.0023	0.0011	0.0034	14	4.88	7.19	3.44	0.41	5.00	17	0.095	0.073	0.067	0.045	0.143
	3-1-1991	18	0.554	0.365	0.379	0.247	1.051	18	0.314	0.225	0.218	0.149	0.557	18	0.356	0.135	0.362	0.220	0.487	18	0.325	0.211	0.253	0.166	0.659	18	0.274	0.073	0.201	0.124	0.242	0.155	0.395	16	0.0040	0.0040	0.0030	0.0009	0.0070	10	1.52	1.51	0.76	0.34	3.66	18	0.127	0.065	0.108	0.081	0.171
	4-1-1991	24	0.766	0.688	0.523	0.204	1.366	24	0.626	0.416	0.492	0.355	0.799	24	0.797	0.497	0.624	0.457	1.063	24	0.476	0.436	0.350	0.153	0.789	24	0.677	0.109	0.568	0.408	0.540	0.356	0.934	15	0.0060	0.0037	0.0045	0.0034	0.0103	17	1.98	2.27	1.09	0.58	3.04	24	0.318	0.259	0.239	0.112	0.524
