
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	3-27-1990	3-28-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-28-1990	3-30-1990	1.456	0.002	0.234	0.870	2.828	0.015	0.0056	0.112	0.145	#N/A
	3-30-1990	4-4-1990	7.838	0.012	1.624	4.399	14.307	0.517	0.0429	1.191	1.548	0.0761
	4-4-1990	4-11-1990	9.024	0.000	1.348	5.017	16.316	0.085	0.0195	2.133	2.773	0.0088
	4-11-1990	4-18-1990	5.550	0.010	1.277	3.105	10.099	0.496	0.0254	1.716	2.231	0.0918
	4-18-1990	4-25-1990	6.204	0.002	1.179	3.535	11.496	0.289	0.0090	0.842	1.095	0.0261
	4-25-1990	5-2-1990	5.552	0.004	0.906	3.120	10.147	0.121	0.0103	0.328	0.426	0.0095
	5-2-1990	5-9-1990	1.334	0.013	0.270	0.826	2.687	0.062	0.0104	0.097	0.126	0.0084
	5-9-1990	5-16-1990	1.005	0.016	0.437	0.623	2.025	0.281	0.0112	-0.007	-0.009	0.0430
	5-16-1990	5-23-1990	5.427	0.003	0.930	3.041	9.888	0.165	0.0030	0.251	0.326	0.0100
	5-23-1990	5-30-1990	0.443	0.002	0.120	0.234	0.760	0.061	0.0012	0.200	0.260	0.0046
	5-30-1990	6-6-1990	6.373	0.005	1.057	3.642	11.845	0.140	0.0028	0.306	0.398	0.0126
	6-6-1990	6-13-1990	2.612	0.016	0.614	1.406	4.573	0.260	0.0019	0.038	0.049	0.0238
	6-13-1990	6-20-1990	5.040	0.007	1.166	2.819	9.168	0.456	0.0011	0.137	0.178	0.0515
	6-20-1990	6-27-1990	6.861	0.000	1.276	3.959	12.876	0.280	0.0005	0.384	0.499	0.0160
	6-27-1990	7-4-1990	1.212	0.003	0.371	0.701	2.281	0.194	0.0008	0.395	0.514	0.0129
	7-4-1990	7-11-1990	5.972	0.005	1.025	3.340	10.862	0.184	0.0006	0.313	0.408	0.0130
	7-11-1990	7-18-1990	4.008	0.028	0.577	2.220	7.220	0.019	0.0008	0.284	0.370	0.0051
	7-18-1990	7-25-1990	2.654	0.032	0.659	1.399	4.551	0.307	0.0038	0.066	0.086	0.0444
	7-25-1990	8-1-1990	4.668	0.006	1.377	2.592	8.429	0.725	0.0009	0.020	0.026	0.0748
	8-1-1990	8-8-1990	2.577	0.024	0.735	1.329	4.323	0.400	0.0006	-0.016	-0.021	0.0421
	8-8-1990	8-15-1990	10.313	0.005	1.983	5.776	18.783	0.530	0.0006	0.416	0.540	0.0715
	8-15-1990	8-22-1990	12.113	0.003	2.336	6.984	22.710	0.579	0.0013	0.269	0.349	0.0910
	8-22-1990	8-29-1990	7.490	0.005	1.533	4.269	13.882	0.459	0.0009	0.514	0.668	0.0647
	8-29-1990	9-5-1990	3.994	0.038	1.133	2.209	7.185	0.576	0.0144	-0.007	-0.009	0.0483
	9-5-1990	9-12-1990	4.038	0.012	1.344	2.350	7.644	0.752	0.0051	0.189	0.245	0.0624
	9-12-1990	9-19-1990	5.638	0.019	1.365	3.124	10.158	0.579	0.0153	0.182	0.236	0.0514
	9-19-1990	9-26-1990	1.452	0.009	0.521	0.886	2.882	0.298	0.0023	0.190	0.248	0.0248
