
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1989	26	5.000	1.930	5.270	2.933	6.328	26	1.581	2.120	0.944	0.623	1.978	26	1.764	0.490	1.584	1.363	2.400	26	3.053	1.097	3.400	1.763	3.789	26	0.996	0.438	1.114	0.508	1.509	23	0.0222	0.0051	0.0239	0.0185	0.0250	26	0.719	0.625	0.551	0.228	0.925	26	0.442	0.455	0.307	0.133	0.854
	2-1-1989	24	5.260	2.401	5.222	2.569	8.198	24	1.759	1.562	0.975	0.703	3.308	24	3.034	1.319	3.042	1.558	4.493	24	3.228	1.203	3.119	1.816	4.637	24	2.222	1.406	1.875	0.728	3.960	20	0.0368	0.0065	0.0382	0.0279	0.0423	24	1.168	0.915	0.909	0.394	2.358	24	0.677	0.712	0.289	0.158	1.243
	3-1-1989	25	4.232	1.902	4.587	1.808	6.128	25	1.705	1.828	1.181	0.772	2.185	25	2.567	1.150	2.698	1.535	3.190	25	2.828	0.938	2.717	1.603	3.841	25	1.855	1.234	1.668	0.927	2.455	23	0.0402	0.0080	0.0386	0.0335	0.0507	25	1.347	0.767	1.064	0.750	1.902	25	0.698	0.560	0.468	0.304	1.104
	4-1-1989	30	3.483	1.624	3.406	1.644	5.190	30	3.247	3.880	1.875	0.926	3.735	30	3.950	2.071	3.719	2.384	5.307	30	2.199	0.781	2.279	1.491	2.709	30	3.396	2.117	3.223	1.758	4.705	26	0.0485	0.0211	0.0469	0.0327	0.0646	30	1.595	1.165	1.450	0.553	2.812	30	1.550	1.855	1.066	0.714	1.752
	5-1-1989	30	2.695	1.640	2.098	1.259	4.276	30	2.441	1.257	2.167	1.869	3.532	30	4.418	2.006	4.464	2.455	5.643	29	1.983	0.739	1.630	1.418	2.548	29	3.932	2.104	4.153	1.827	5.233	27	0.0495	0.0245	0.0398	0.0283	0.0610	30	4.684	3.762	3.480	1.520	10.133	30	1.213	0.654	1.195	0.769	1.556
	6-1-1989	28	3.644	1.449	3.495	2.794	5.223	28	1.165	0.574	1.048	0.788	1.607	28	2.081	0.501	2.013	1.624	2.548	28	2.489	0.668	2.344	1.898	3.104	28	1.454	0.402	1.426	1.104	1.827	24	0.0781	0.0268	0.0788	0.0536	0.1006	28	9.555	13.210	3.525	0.624	23.321	28	0.435	0.244	0.436	0.187	0.578
	7-1-1989	29	3.513	1.001	3.322	2.841	4.442	29	1.341	0.796	1.182	0.763	1.687	29	2.023	0.675	1.869	1.546	2.286	29	2.172	0.502	2.232	1.678	2.652	29	1.476	0.705	1.346	0.841	1.857	29	0.0449	0.0142	0.0415	0.0377	0.0590	29	9.646	10.777	7.051	1.867	15.278	29	0.318	0.347	0.234	0.083	0.444
	8-1-1989	29	3.227	3.996	2.503	1.261	4.271	29	1.706	1.751	1.004	0.822	2.524	29	3.239	3.744	1.748	1.329	3.015	29	2.148	2.492	1.544	1.063	2.503	28	2.494	3.460	1.266	0.878	2.314	25	0.0426	0.0132	0.0410	0.0299	0.0597	29	5.254	3.903	4.271	1.716	8.214	29	0.428	0.424	0.292	0.139	0.770
	9-1-1989	28	3.179	0.994	3.379	2.299	4.136	28	1.512	1.283	1.106	0.701	2.896	28	1.836	0.514	1.833	1.415	2.110	28	2.101	0.537	2.080	1.565	2.728	28	1.307	0.540	1.322	0.879	1.509	26	0.0432	0.0112	0.0432	0.0356	0.0546	28	3.286	4.235	0.694	0.372	9.481	28	0.297	0.303	0.219	0.131	0.427
	10-1-1989	20	1.993	1.186	1.941	0.934	2.944	20	2.780	3.693	1.760	0.839	4.566	20	3.604	2.396	2.359	1.481	5.931	20	1.579	0.477	1.623	1.135	1.845	20	3.207	2.398	2.074	1.069	5.467	15	0.0529	0.0226	0.0614	0.0259	0.0738	20	0.771	0.650	0.641	0.269	1.335	20	0.439	0.589	0.170	0.085	1.000
