
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	1-18-1981	1-22-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-22-1981	1-29-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-29-1981	2-5-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-5-1981	2-12-1981	12.038	0.140	1.964	6.610	21.496	0.300	0.0191	#N/A	0.400	#N/A	1.50	0.440	32.0	#N/A	0.110
	2-12-1981	2-19-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-19-1981	2-26-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1981	3-5-1981	8.697	0.241	1.584	4.880	15.870	0.356	0.0220	#N/A	1.625	#N/A	6.70	0.290	130.0	#N/A	0.228
	3-5-1981	3-12-1981	10.011	0.462	2.352	5.713	18.579	0.914	0.0289	#N/A	1.875	#N/A	5.30	0.290	150.0	#N/A	0.320
	3-12-1981	3-19-1981	12.516	0.470	3.107	7.550	24.553	1.207	0.0252	#N/A	2.125	#N/A	6.60	0.230	170.0	#N/A	0.532
	3-19-1981	3-26-1981	7.688	0.342	1.917	4.317	14.040	0.830	0.0158	#N/A	1.375	#N/A	3.30	0.190	110.0	#N/A	0.355
	3-26-1981	4-2-1981	10.743	0.182	1.823	6.130	19.935	0.280	0.0230	#N/A	1.088	#N/A	4.50	0.120	87.0	#N/A	0.115
	4-2-1981	4-9-1981	10.785	0.436	2.541	6.297	20.478	0.956	0.0349	#N/A	0.550	#N/A	4.80	0.110	44.0	#N/A	0.233
	4-9-1981	4-16-1981	8.572	0.480	2.096	5.050	16.423	0.825	0.0401	#N/A	2.250	#N/A	4.00	0.290	180.0	#N/A	0.438
	4-16-1981	4-23-1981	9.431	0.474	2.134	5.449	17.721	0.762	0.0364	#N/A	1.225	#N/A	4.50	0.320	98.0	#N/A	0.288
	4-23-1981	4-30-1981	10.034	0.410	2.583	6.310	20.520	0.995	0.0328	#N/A	0.538	#N/A	4.70	0.170	43.0	#N/A	0.295
	4-30-1981	5-7-1981	12.766	0.178	1.536	6.919	22.500	-0.206	0.0233	#N/A	1.050	#N/A	4.70	0.200	84.0	#N/A	0.270
	5-7-1981	5-14-1981	10.389	0.161	2.633	6.390	20.780	1.025	0.0750	#N/A	0.863	#N/A	2.80	0.230	69.0	#N/A	0.065
	5-14-1981	5-21-1981	6.008	0.322	1.821	3.730	12.131	0.882	0.0691	#N/A	0.988	#N/A	3.30	0.260	79.0	#N/A	0.158
	5-21-1981	5-28-1981	6.300	0.427	4.002	4.680	15.219	2.824	0.0823	#N/A	3.625	#N/A	4.90	0.970	290.0	#N/A	0.277
	5-28-1981	6-4-1981	2.858	0.568	5.752	3.540	11.512	4.861	0.1110	#N/A	7.750	#N/A	3.60	1.600	620.0	#N/A	0.367
	6-4-1981	6-11-1981	5.388	0.309	1.362	3.280	10.667	0.536	0.0378	#N/A	1.500	#N/A	2.30	0.200	120.0	#N/A	0.300
	6-11-1981	6-18-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-18-1981	6-25-1981	4.996	0.182	1.438	3.620	11.772	0.527	0.0295	#N/A	0.238	#N/A	3.70	0.150	19.0	#N/A	0.177
	6-25-1981	7-2-1981	12.004	0.344	2.488	6.810	22.146	0.774	0.0299	#N/A	0.413	#N/A	7.60	0.250	33.0	#N/A	0.303
	7-2-1981	7-9-1981	7.294	0.206	1.688	4.050	13.171	0.668	0.0310	#N/A	0.175	#N/A	3.60	0.070	14.0	#N/A	0.140
	7-9-1981	7-16-1981	4.974	0.154	1.170	2.970	9.658	0.422	0.0244	#N/A	0.075	#N/A	3.10	0.032	6.0	#N/A	0.132
	7-16-1981	7-23-1981	6.853	0.198	1.451	4.110	13.366	0.417	0.0381	#N/A	0.088	#N/A	4.10	0.058	7.0	#N/A	0.142
	7-23-1981	7-30-1981	4.262	0.298	1.107	2.689	8.745	0.431	0.0224	#N/A	0.105	#N/A	2.60	#N/A	8.4	#N/A	0.132
	7-30-1981	8-6-1981	9.201	0.278	1.847	5.609	18.239	0.435	0.0211	#N/A	0.138	#N/A	4.80	#N/A	11.0	#N/A	0.128
	8-6-1981	8-13-1981	6.381	0.375	1.629	3.621	11.775	0.717	0.0247	#N/A	0.163	#N/A	1.10	0.085	13.0	#N/A	0.067
	8-13-1981	8-20-1981	13.285	0.311	2.543	7.423	24.140	0.675	0.0300	#N/A	0.060	#N/A	5.80	0.100	4.8	#N/A	0.138
	8-20-1981	8-27-1981	12.708	0.394	2.502	6.986	22.717	0.744	0.0568	#N/A	0.400	#N/A	4.70	0.064	32.0	#N/A	0.147
	8-27-1981	9-3-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1981	9-10-1981	8.077	0.265	1.789	4.399	14.307	0.681	0.0582	#N/A	0.055	#N/A	3.50	0.004	4.4	#N/A	0.135
	9-10-1981	9-18-1981	6.865	0.160	1.408	3.606	11.725	0.501	0.0279	#N/A	0.036	#N/A	2.40	0.046	2.9	#N/A	0.120
	9-18-1981	9-24-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1981	10-4-1981	2.154	0.083	0.282	1.201	3.906	-0.020	0.0069	#N/A	0.763	#N/A	1.10	0.071	61.0	#N/A	0.053
	10-4-1981	10-8-1981	5.194	0.194	0.943	2.994	9.736	0.189	0.0145	#N/A	0.225	#N/A	3.00	#N/A	18.0	#N/A	0.123
	10-8-1981	10-15-1981	5.289	0.319	1.573	3.321	10.799	0.737	0.0253	#N/A	0.563	#N/A	4.80	0.300	45.0	#N/A	0.283
	10-15-1981	10-22-1981	9.922	0.409	2.168	6.048	19.670	0.646	0.0325	#N/A	0.588	#N/A	6.10	0.130	47.0	#N/A	0.220
	10-22-1981	10-29-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1981	11-5-1981	10.012	0.343	1.815	6.121	19.904	0.274	0.0153	#N/A	0.413	#N/A	4.70	0.061	33.0	#N/A	0.198
	11-5-1981	11-12-1981	4.976	0.369	1.166	3.175	10.324	0.367	0.0199	#N/A	1.163	#N/A	2.80	0.190	93.0	#N/A	0.377
	11-12-1981	11-19-1981	5.403	0.305	1.048	3.360	10.926	0.202	0.0140	#N/A	0.115	#N/A	3.20	#N/A	9.2	#N/A	0.092
	11-19-1981	11-26-1981	14.736	0.152	2.266	8.813	28.660	0.048	0.0106	#N/A	0.188	#N/A	8.30	0.066	15.0	#N/A	0.160
