
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P18_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P18_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P18_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P18_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P18_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P18_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P18_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P18_NH4	P84_NH4
	1-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	2-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	3-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	5-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	6-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	7-1-1988	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A
	8-1-1988	18	10.115 	2.571 	10.294 	8.030 	12.607 	18	0.248 	0.178 	0.161 	0.105 	0.456 	18	1.824 	0.222 	1.794 	1.595 	2.077 	18	5.527 	1.368 	5.409 	4.464 	6.836 	18	0.433 	0.328 	0.438 	0.143 	0.717 	16	0.0432 	0.0233 	0.0449 	0.0189 	0.0692 	18	0.923 	0.750 	0.740 	0.277 	1.472 	18	0.3060 	0.1807 	0.2338 	0.1676 	0.4935 
	9-1-1988	21	10.604 	4.533 	12.099 	5.450 	14.025 	21	0.539 	0.681 	0.294 	0.149 	0.645 	21	2.642 	1.694 	2.188 	1.816 	2.863 	21	5.860 	2.368 	6.425 	3.467 	7.696 	21	1.167 	1.868 	0.470 	0.195 	1.608 	21	0.0238 	0.0126 	0.0218 	0.0117 	0.0373 	21	1.219 	1.563 	0.888 	0.399 	1.352 	5	0.3489 	0.2825 	0.1679 	0.1558 	0.5954 
	10-1-1988	10	13.908 	5.035 	13.186 	10.360 	15.346 	10	0.299 	0.182 	0.284 	0.136 	0.447 	10	2.283 	0.801 	2.081 	1.715 	2.652 	10	7.535 	2.726 	7.159 	5.554 	8.533 	10	0.386 	0.263 	0.286 	0.195 	0.590 	9	0.0103 	0.0050 	0.0087 	0.0059 	0.0150 	10	1.044 	0.663 	1.055 	0.363 	1.692 	0	#N/A	#N/A	#N/A	#N/A	#N/A
