
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	3-25-1992	3-27-1992	4.459	0.021	0.795	3.131	10.181	0.007	0.0704	#N/A	#N/A	0.0489
	4-1-1992	4-8-1992	3.824	0.023	0.673	2.171	7.059	0.127	0.0380	#N/A	#N/A	0.0255
	4-8-1992	4-15-1992	2.302	0.037	0.477	1.597	5.194	0.075	0.0169	#N/A	#N/A	0.0335
	4-15-1992	4-22-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-22-1992	4-29-1992	6.128	0.035	0.977	3.494	11.361	0.098	0.0191	#N/A	#N/A	0.0261
	4-29-1992	5-6-1992	7.267	0.045	1.255	4.183	13.604	0.202	0.0242	#N/A	#N/A	0.0290
	5-6-1992	5-13-1992	6.302	0.025	1.020	3.621	11.774	0.109	0.0106	#N/A	#N/A	0.0200
	5-13-1992	5-20-1992	5.961	0.016	0.922	3.297	10.722	0.092	0.0070	#N/A	#N/A	0.0115
	5-20-1992	5-27-1992	3.540	0.013	0.576	2.288	7.439	0.000	0.0059	#N/A	#N/A	0.0078
	5-27-1992	6-3-1992	6.039	0.024	1.061	3.339	10.857	0.221	0.0053	#N/A	#N/A	0.0056
	6-3-1992	6-10-1992	2.380	0.013	0.430	1.508	4.905	0.051	0.0036	#N/A	#N/A	0.0044
	6-10-1992	6-17-1992	4.177	0.045	0.688	2.458	7.993	0.069	0.0031	#N/A	#N/A	0.0132
	6-17-1992	6-24-1992	3.920	0.026	0.830	2.277	7.406	0.256	0.0033	#N/A	#N/A	0.0277
	6-24-1992	7-1-1992	3.530	0.012	0.555	2.066	6.719	0.035	0.0030	#N/A	#N/A	0.0046
	7-1-1992	7-8-1992	2.608	0.012	0.504	1.682	5.470	0.080	0.0026	#N/A	#N/A	0.0047
	7-8-1992	7-15-1992	3.032	0.020	0.611	1.647	5.357	0.196	0.0030	#N/A	#N/A	0.0079
