
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	2-18-1987	2-20-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1987	2-27-1987	0.087	0.007	0.129	0.073	0.095	0.111	0.0225	0.312	0.405	0.0198
	2-28-1987	3-6-1987	0.023	#N/A	0.134	0.027	0.035	0.128	0.0212	0.020	0.026	0.0285
	3-6-1987	3-13-1987	0.025	#N/A	0.029	0.005	0.007	0.028	0.0033	0.134	0.175	#N/A
	3-13-1987	3-20-1987	0.131	0.006	0.141	0.101	0.131	0.116	0.0397	0.081	0.106	0.0364
	3-20-1987	3-27-1987	0.019	0.002	0.089	0.033	0.043	0.081	0.0208	0.086	0.112	0.0154
	3-27-1987	4-3-1987	0.012	#N/A	0.067	0.017	0.022	0.062	0.0131	0.000	0.000	0.0110
	4-3-1987	4-10-1987	0.048	0.004	0.100	0.049	0.064	0.087	0.0218	0.040	0.052	0.0207
	4-10-1987	4-17-1987	0.073	#N/A	0.049	0.042	0.054	0.038	0.0124	0.080	0.104	#N/A
	4-17-1987	4-24-1987	0.017	0.002	0.050	0.016	0.021	0.046	0.0108	0.029	0.038	0.0143
	4-24-1987	5-1-1987	0.124	0.011	0.054	0.092	0.119	0.031	0.0133	0.010	0.013	0.0074
	5-1-1987	5-8-1987	0.022	0.005	0.039	0.010	0.013	0.036	0.0067	0.019	0.024	#N/A
	5-8-1987	5-15-1987	0.077	0.005	0.027	0.051	0.066	0.014	0.0054	0.000	0.000	0.0048
	5-15-1987	5-22-1987	0.055	0.005	0.024	0.038	0.049	0.015	0.0050	0.030	0.038	0.0037
	5-22-1987	5-29-1987	0.023	#N/A	0.024	0.016	0.021	0.020	0.0019	-0.010	-0.013	0.0038
	5-29-1987	6-5-1987	0.039	0.007	0.024	0.029	0.038	0.017	0.0032	0.000	0.000	0.0056
