
	BEGIN	END	AVG_CL	AVG_NO'	AVG_SO4	AVG_NA	AVG_EXSO4	_NA	_AL	_BE7	_PB210	_PB210
	3-16-1983	3-23-1983	17.08 	0.008 	2.329 	10.818 	-0.394 	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1983	4-1-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1983	4-8-1983	#N/A	#N/A	#N/A	#N/A	#N/A	129.7 	#N/A	#N/A	8.25 	0.1375 
	4-8-1983	4-15-1983	#N/A	#N/A	#N/A	#N/A	#N/A	112.6 	#N/A	#N/A	16.44 	0.2741 
	4-15-1983	4-22-1983	#N/A	#N/A	#N/A	#N/A	#N/A	58.5 	#N/A	#N/A	6.10 	0.1018 
	4-22-1983	4-29-1983	91.87 	0.164 	13.223 	50.319 	0.557 	46.0 	3.7 	#N/A	3.23 	0.0539 
	4-29-1983	5-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	66.5 	#N/A	#N/A	3.21 	0.0535 
	5-6-1983	5-20-1983	116.43 	0.092 	12.928 	61.620 	-2.582 	40.7 	1.0 	#N/A	2.58 	0.0430 
	5-20-1983	5-30-1983	111.19 	0.138 	15.080 	58.272 	0.413 	64.8 	9.6 	#N/A	3.73 	0.0622 
	5-30-1983	6-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	39.3 	#N/A	#N/A	1.95 	0.0325 
	6-6-1983	6-13-1983	96.49 	0.088 	13.316 	51.392 	0.381 	76.6 	0.2 	#N/A	0.85 	0.0142 
	6-13-1983	6-21-1983	94.24 	0.106 	13.508 	50.817 	0.717 	43.8 	0.2 	#N/A	2.03 	0.0338 
	6-21-1983	6-27-1983	#N/A	#N/A	#N/A	#N/A	#N/A	62.9 	#N/A	#N/A	1.35 	0.0225 
	6-27-1983	7-4-1983	98.86 	0.075 	13.546 	54.111 	-0.074 	66.6 	3.8 	#N/A	1.13 	0.0188 
	7-4-1983	7-11-1983	#N/A	#N/A	#N/A	#N/A	#N/A	78.2 	#N/A	#N/A	2.66 	0.0443 
	7-11-1983	7-18-1983	122.54 	0.074 	16.870 	65.804 	0.307 	50.8 	0.2 	#N/A	#N/A	#N/A
	7-18-1983	7-22-1983	126.46 	0.096 	16.947 	65.469 	0.468 	61.9 	2.8 	#N/A	1.89 	0.0315 
	7-22-1983	7-29-1983	102.78 	0.090 	13.970 	53.676 	0.460 	58.5 	0.2 	#N/A	1.70 	0.0283 
	7-29-1983	8-5-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-5-1983	8-12-1983	#N/A	#N/A	#N/A	#N/A	#N/A	154.4 	#N/A	#N/A	2.98 	0.0497 
	8-12-1983	8-19-1983	#N/A	#N/A	#N/A	#N/A	#N/A	275.5 	#N/A	#N/A	3.60 	0.0601 
	8-19-1983	8-26-1983	#N/A	#N/A	#N/A	#N/A	#N/A	739.4 	#N/A	#N/A	3.60 	0.0600 
	8-26-1983	9-2-1983	#N/A	#N/A	#N/A	#N/A	#N/A	106.6 	#N/A	#N/A	4.78 	0.0797 
	9-2-1983	9-9-1983	#N/A	#N/A	#N/A	#N/A	#N/A	97.9 	#N/A	#N/A	4.20 	0.0700 
	9-9-1983	9-16-1983	#N/A	#N/A	#N/A	#N/A	#N/A	634.4 	#N/A	#N/A	3.00 	0.0500 
	9-16-1983	9-23-1983	#N/A	#N/A	#N/A	#N/A	#N/A	3114.8 	#N/A	#N/A	#N/A	#N/A
	9-23-1983	9-30-1983	#N/A	#N/A	#N/A	#N/A	#N/A	3605.4 	#N/A	#N/A	#N/A	#N/A
	9-30-1983	10-14-1983	#N/A	#N/A	#N/A	#N/A	#N/A	5673.0 	#N/A	#N/A	#N/A	#N/A
	10-14-1983	10-21-1983	90.15 	0.177 	13.368 	49.529 	0.902 	40.2 	0.2 	#N/A	3.22 	0.0537 
	10-21-1983	10-28-1983	108.17 	0.165 	15.833 	58.779 	1.038 	48.5 	3.0 	#N/A	2.63 	0.0438 
	10-28-1983	11-4-1983	98.41 	0.191 	14.474 	53.641 	0.973 	39.0 	3.4 	#N/A	3.28 	0.0547 
	11-4-1983	11-11-1983	78.23 	0.126 	11.552 	43.994 	0.479 	43.4 	0.2 	#N/A	2.73 	0.0455 
	11-11-1983	11-18-1983	81.11 	0.175 	12.272 	45.266 	0.879 	33.5 	2.6 	#N/A	4.24 	0.0707 
	11-18-1983	11-25-1983	84.94 	0.156 	12.538 	45.691 	1.038 	41.7 	2.3 	#N/A	2.71 	0.0452 
	11-25-1983	12-2-1983	62.99 	0.112 	9.074 	35.206 	0.213 	34.8 	1.1 	#N/A	2.57 	0.0428 
	12-2-1983	12-9-1983	84.24 	0.106 	8.531 	45.537 	-2.931 	26.8 	0.8 	#N/A	1.84 	0.0307 
	12-9-1983	12-16-1983	81.14 	0.108 	11.773 	45.620 	0.290 	47.3 	2.6 	#N/A	1.77 	0.0295 
	12-16-1983	12-23-1983	97.56 	0.189 	14.467 	55.486 	0.502 	48.9 	0.2 	#N/A	3.22 	0.0537 
	12-23-1983	12-30-1983	70.67 	0.129 	10.292 	39.698 	0.300 	41.9 	1.2 	#N/A	2.59 	0.0432 
	12-30-1983	1-6-1984	95.97 	0.160 	13.579 	53.117 	0.209 	41.9 	0.2 	#N/A	3.50 	0.0583 
	1-6-1984	1-13-1984	90.90 	0.172 	12.947 	49.638 	0.454 	47.2 	0.2 	#N/A	3.24 	0.0540 
	1-13-1984	1-20-1984	89.71 	0.215 	11.542 	50.590 	-1.191 	34.4 	2.1 	#N/A	3.27 	0.0545 
	1-20-1984	1-27-1984	93.01 	0.257 	13.480 	52.618 	0.236 	38.2 	8.3 	#N/A	2.79 	0.0465 
	1-27-1984	2-3-1984	88.47 	0.290 	11.539 	49.727 	-0.977 	42.0 	10.4 	#N/A	3.49 	0.0582 
