
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_NA	_AL	_BE7	_PB210
	5-27-1983	6-3-1983	24.370 	0.516	3.762	12.632	0.583	0.0177	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-3-1983	6-10-1983	29.954 	0.048	4.161	15.205	0.334	0.0062	#N/A	#N/A	14.28	11.7	#N/A	0.013
	6-10-1983	6-17-1983	17.672 	0.121	2.447	8.766	0.241	0.0053	#N/A	#N/A	10.86	8.4	#N/A	0.040
	6-17-1983	6-24-1983	22.163 	0.127	3.079	11.066	0.293	0.0048	#N/A	#N/A	12.15	10.5	#N/A	0.032
	6-24-1983	7-1-1983	15.363 	0.100	2.152	7.949	0.151	0.0061	#N/A	#N/A	7.63	6.4	#N/A	0.044
	7-1-1983	7-8-1983	13.409 	0.034	1.872	6.969	0.118	0.0040	#N/A	#N/A	6.41	5.3	#N/A	0.021
	7-8-1983	7-15-1983	15.947 	0.119	2.293	8.308	0.202	0.0049	#N/A	#N/A	11.41	15.9	#N/A	0.048
	7-15-1983	7-22-1983	16.225 	0.089	2.200	8.144	0.150	0.0045	#N/A	#N/A	6.25	3.3	#N/A	0.033
	7-22-1983	7-29-1983	16.409 	0.086	2.312	7.925	0.317	0.0062	#N/A	#N/A	9.07	5.2	#N/A	0.028
	7-29-1983	8-5-1983	26.812 	0.192	3.931	14.074	0.389	0.0058	#N/A	#N/A	12.67	15.9	#N/A	0.129
	8-5-1983	8-12-1983	13.921 	0.109	2.156	7.381	0.298	0.0090	#N/A	#N/A	7.28	8.8	#N/A	0.042
	8-12-1983	8-19-1983	10.791 	0.073	1.656	5.692	0.223	0.0107	#N/A	#N/A	5.18	5.6	#N/A	0.054
	8-19-1983	8-26-1983	12.723 	0.100	2.017	6.960	0.265	0.0101	#N/A	#N/A	6.78	4.2	#N/A	0.021
	8-26-1983	9-2-1983	13.553 	0.137	2.053	6.971	0.299	0.0077	#N/A	#N/A	7.64	5.2	#N/A	0.045
