
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	1-21-1981	1-29-1981	8.952	0.233	1.463	5.093	0.181	#N/A	#N/A	0.925	#N/A	6.3	0.190	74.0	#N/A	0.103
	1-29-1981	2-5-1981	7.906	0.996	1.878	4.478	0.751	#N/A	#N/A	0.825	#N/A	4.7	0.460	66.0	#N/A	0.203
	2-5-1981	2-12-1981	8.155	0.556	1.652	4.802	0.443	#N/A	#N/A	1.313	#N/A	4.4	0.930	105.0	#N/A	0.143
	2-12-1981	2-16-1981	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-16-1981	2-19-1981	6.482	1.032	1.884	4.133	0.843	#N/A	#N/A	0.600	#N/A	4.1	0.820	48.0	#N/A	0.156
	2-19-1981	2-26-1981	20.671	0.208	2.745	11.906	-0.252	#N/A	#N/A	4.625	#N/A	6.6	0.660	370.0	#N/A	0.273
	2-26-1981	3-5-1981	13.415	0.184	2.507	9.339	0.156	#N/A	#N/A	1.625	#N/A	6.3	0.320	130.0	#N/A	0.165
	3-5-1981	3-12-1981	7.200	0.682	1.584	4.300	0.501	#N/A	#N/A	1.088	#N/A	3.5	0.480	87.0	#N/A	0.203
	3-12-1981	3-19-1981	6.592	0.551	1.389	3.939	0.397	#N/A	#N/A	1.138	#N/A	2.8	0.470	91.0	#N/A	0.235
	3-19-1981	3-26-1981	4.987	0.666	1.315	3.112	0.531	#N/A	#N/A	0.525	#N/A	3.4	0.300	42.0	#N/A	0.245
	3-26-1981	4-2-1981	13.133	0.267	1.990	7.569	0.085	#N/A	#N/A	0.513	#N/A	6.0	0.270	41.0	#N/A	0.185
	4-2-1981	4-9-1981	11.001	0.238	1.837	6.305	0.250	#N/A	#N/A	0.488	#N/A	5.1	0.260	39.0	#N/A	0.116
	4-9-1981	4-16-1981	7.698	0.428	1.473	4.467	0.349	#N/A	#N/A	0.313	#N/A	2.9	0.240	25.0	#N/A	0.172
