
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_AL	_BR	_CA	_CL	_CU	_I	_MG	_MN	_NA	_V	_AG	_BA	_CO	_CR	_CS	_EU	_FE	_HF	_ND	_NI	_RB	_SB	_SC	_SE	_TA	_TB	_TH	_YB	_ZN
	9-1-1991	9-9-1991	0.368	0.655	1.662	0.262	1.596	0.0038	#N/A	0.400	1.09E-01 	2.79E-03 	#N/A	4.09E-01 	#N/A	#N/A	#N/A	3.03E-03 	2.58E-01 	4.05E-04 	#N/A	#N/A	6.48E-05 	3.63E-04 	1.66E-05 	#N/A	7.50E-02 	#N/A	#N/A	#N/A	#N/A	#N/A	1.75E-05 	1.91E-04 	#N/A	#N/A	1.63E-05 	#N/A	7.83E-03 
	9-9-1991	9-16-1991	10.643	1.310	3.217	5.718	1.778	0.0212	#N/A	0.858	2.86E-01 	2.91E-02 	1.23E+00 	8.92E+00 	#N/A	3.16E-03 	6.27E-01 	#N/A	5.95E+00 	2.30E-03 	#N/A	#N/A	9.74E-05 	3.55E-04 	2.04E-05 	#N/A	2.03E-01 	#N/A	#N/A	#N/A	#N/A	#N/A	7.56E-05 	4.13E-04 	#N/A	#N/A	3.32E-05 	#N/A	7.25E-03 
	9-16-1991	9-23-1991	28.880	3.007	10.166	16.425	6.031	0.0099	#N/A	1.271	2.16E-02 	2.46E-02 	1.49E-01 	7.36E+00 	#N/A	#N/A	#N/A	#N/A	3.98E+00 	2.18E-04 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.67E-03 
	9-23-1991	9-30-1991	7.787	0.997	3.661	3.447	2.794	0.0221	#N/A	3.038	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-30-1991	10-7-1991	4.214	3.276	5.041	2.492	4.414	0.0284	#N/A	1.130	1.37E-01 	1.42E-02 	1.04E-01 	4.05E+00 	1.23E-02 	2.68E-03 	4.77E-01 	#N/A	2.59E+00 	2.40E-03 	#N/A	#N/A	2.52E-05 	#N/A	#N/A	#N/A	5.13E-02 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.29E-04 	#N/A	#N/A	#N/A	#N/A	7.73E-03 
	10-7-1991	10-14-1991	26.915	2.739	8.131	15.932	4.121	0.0198	#N/A	0.789	1.14E-01 	5.14E-02 	4.45E-01 	1.74E+01 	#N/A	#N/A	1.12E+00 	7.52E-03 	1.10E+01 	9.77E-04 	#N/A	1.88E-03 	6.65E-05 	4.94E-04 	4.36E-05 	3.15E-06 	1.27E-01 	1.47E-05 	#N/A	#N/A	8.23E-04 	4.73E-04 	3.22E-05 	8.31E-04 	#N/A	#N/A	4.53E-05 	8.81E-06 	1.19E-02 
	10-14-1991	10-21-1991	12.542	2.138	5.951	8.939	3.701	0.0109	#N/A	1.382	7.00E-01 	4.89E-02 	7.97E-01 	1.44E+01 	2.85E-02 	3.22E-03 	1.04E+00 	1.54E-02 	8.35E+00 	1.40E-03 	#N/A	1.90E-02 	1.77E-04 	1.29E-03 	1.78E-04 	2.01E-05 	3.56E-01 	8.42E-05 	#N/A	#N/A	2.83E-03 	#N/A	1.23E-04 	9.34E-04 	#N/A	#N/A	1.61E-04 	3.18E-05 	1.82E-02 
	10-21-1991	10-28-1991	18.222	2.542	7.941	9.013	5.672	0.0145	#N/A	1.445	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-28-1991	11-1-1991	19.131	2.411	6.400	10.464	3.766	0.0136	#N/A	1.337	4.17E-01 	8.14E-02 	1.01E+00 	2.35E+01 	#N/A	5.69E-03 	1.38E+00 	#N/A	1.31E+01 	2.04E-03 	#N/A	#N/A	8.40E-05 	#N/A	5.35E-05 	#N/A	2.18E-01 	#N/A	#N/A	#N/A	#N/A	#N/A	6.72E-05 	1.35E-03 	#N/A	#N/A	7.33E-05 	#N/A	1.62E-02 
	11-1-1991	11-8-1991	19.314	2.887	7.049	11.571	4.136	0.0141	#N/A	1.009	6.70E-01 	6.74E-02 	7.88E-01 	2.46E+01 	#N/A	5.25E-03 	1.73E+00 	9.13E-03 	1.53E+01 	2.36E-03 	#N/A	#N/A	1.49E-04 	#N/A	1.19E-04 	#N/A	3.27E-01 	1.87E-05 	#N/A	#N/A	1.44E-03 	4.11E-04 	1.19E-04 	1.51E-03 	#N/A	#N/A	9.40E-05 	1.29E-05 	1.80E-02 
	11-8-1991	11-15-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.13E-01 	1.68E-01 	1.91E+00 	5.30E+01 	#N/A	#N/A	3.41E+00 	#N/A	3.14E+01 	3.09E-03 	#N/A	#N/A	1.08E-04 	#N/A	#N/A	#N/A	2.80E-01 	#N/A	#N/A	#N/A	#N/A	#N/A	8.14E-05 	1.18E-03 	#N/A	#N/A	#N/A	#N/A	1.27E-02 
	11-15-1991	11-23-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.33E+00 	9.65E-02 	1.48E+00 	2.58E+01 	#N/A	#N/A	9.91E-01 	1.76E-02 	1.48E+01 	3.03E-03 	#N/A	#N/A	2.82E-04 	#N/A	2.69E-04 	#N/A	5.99E-01 	4.06E-05 	#N/A	#N/A	3.14E-03 	#N/A	2.22E-04 	2.72E-03 	#N/A	#N/A	2.01E-04 	#N/A	4.45E-02 
	11-23-1991	11-29-1991	11.289	0.956	2.392	6.370	0.788	0.0062	#N/A	0.421	6.99E-02 	3.91E-02 	3.38E-01 	1.29E+01 	#N/A	#N/A	9.86E-01 	#N/A	7.57E+00 	7.92E-04 	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.39E-04 
	11-29-1991	12-6-1991	12.254	2.895	7.029	7.460	5.151	0.0097	#N/A	1.128	1.11E+00 	4.66E-02 	1.22E+00 	1.32E+01 	#N/A	#N/A	9.88E-01 	1.78E-02 	8.43E+00 	3.33E-03 	#N/A	#N/A	2.36E-04 	5.55E-04 	1.53E-04 	1.51E-05 	6.31E-01 	4.44E-05 	#N/A	#N/A	1.79E-03 	3.03E-04 	2.45E-04 	1.47E-03 	#N/A	#N/A	1.37E-04 	4.65E-05 	2.07E-02 
	12-6-1991	12-13-1991	10.801	1.655	5.566	6.649	3.892	0.0087	#N/A	0.963	2.71E-01 	3.47E-02 	4.33E-01 	1.08E+01 	#N/A	1.90E-03 	7.22E-01 	3.71E-03 	7.10E+00 	9.14E-04 	#N/A	#N/A	6.67E-05 	#N/A	6.64E-05 	#N/A	1.51E-01 	1.01E-05 	#N/A	#N/A	7.60E-04 	5.01E-04 	4.82E-05 	8.44E-04 	#N/A	#N/A	4.53E-05 	1.03E-05 	1.34E-02 
	12-13-1991	12-20-1991	11.352	0.936	3.232	6.365	1.630	0.0032	#N/A	0.406	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.66E-05 	#N/A	2.71E-05 	#N/A	1.46E-01 	8.10E-06 	#N/A	#N/A	#N/A	2.93E-04 	3.52E-05 	3.87E-04 	#N/A	#N/A	2.76E-05 	#N/A	6.58E-03 
	12-20-1991	12-27-1991	20.474	1.417	5.038	10.916	2.290	0.0019	#N/A	0.768	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8.52E-04 
	12-27-1991	1-3-1992	14.075	0.744	5.632	8.247	3.556	0.0031	#N/A	0.537	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.24E-05 	#N/A	3.12E-05 	#N/A	5.33E-02 	7.02E-06 	#N/A	#N/A	4.02E-04 	1.44E-04 	2.21E-05 	6.00E-04 	#N/A	#N/A	2.56E-05 	#N/A	1.09E-02 
