
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	4-3-1990	4-6-1990	0.626	0.009	0.159	0.428	1.392	0.051	0.0286	0.030	0.039	0.0180
	4-6-1990	4-13-1990	0.707	0.022	0.199	0.469	1.524	0.081	0.0252	0.214	0.278	0.0263
	4-13-1990	4-20-1990	2.705	0.007	0.435	1.504	4.891	0.057	0.0120	2.742	3.565	0.0050
	4-20-1990	4-27-1990	1.781	0.004	0.284	1.057	3.436	0.018	0.0095	0.247	0.322	0.0047
	4-27-1990	5-4-1990	1.278	0.006	0.199	0.824	2.681	-0.009	0.0079	0.073	0.095	0.0044
	5-4-1990	5-11-1990	0.459	0.009	0.096	0.301	0.977	0.020	0.0097	0.005	0.007	0.0100
	5-11-1990	5-18-1990	0.485	0.035	0.109	0.327	1.064	0.027	0.0072	0.066	0.086	0.0100
	5-18-1990	5-25-1990	1.214	0.004	0.178	0.734	2.386	-0.007	0.0135	0.758	0.985	0.0010
	5-25-1990	6-1-1990	0.934	0.005	0.126	0.531	1.726	-0.007	0.0126	-0.085	-0.110	0.0005
	6-1-1990	6-8-1990	1.497	0.007	0.217	0.898	2.920	-0.009	0.0010	0.196	0.255	0.0010
	6-8-1990	6-15-1990	1.790	0.010	0.262	1.032	3.355	0.002	0.0011	0.237	0.308	0.0017
	6-15-1990	6-22-1990	5.668	0.010	0.904	3.182	10.347	0.104	0.0006	1.589	2.066	0.0030
	6-22-1990	6-29-1990	6.478	0.003	1.050	3.649	11.868	0.132	0.0013	2.192	2.849	0.0030
	6-29-1990	7-6-1990	4.376	0.012	0.613	2.532	8.233	-0.024	0.0004	0.416	0.541	0.0013
	7-6-1990	7-13-1990	2.069	0.008	0.309	1.129	3.673	0.025	0.0029	0.129	0.168	0.0003
	7-13-1990	7-20-1990	0.822	0.018	0.131	0.502	1.633	0.004	0.0006	-0.045	-0.059	0.0025
	7-20-1990	7-27-1990	1.643	0.015	0.245	0.875	2.845	0.025	0.0024	0.158	0.205	0.0010
	7-27-1990	8-3-1990	2.075	0.006	0.310	1.146	3.727	0.021	0.0014	0.050	0.065	0.0022
	8-3-1990	8-10-1990	1.406	0.010	0.222	0.770	2.503	0.028	0.0019	-0.038	-0.050	0.0022
	8-10-1990	8-17-1990	2.779	0.014	0.406	1.524	4.957	0.023	0.0006	0.324	0.421	0.0014
	8-17-1990	8-24-1990	1.954	0.013	0.272	1.071	3.483	0.003	0.0006	0.111	0.144	0.0014
	8-24-1990	8-31-1990	1.479	0.024	0.167	0.755	2.455	-0.023	0.0023	0.049	0.063	0.0023
	8-31-1990	9-8-1990	0.653	0.015	0.119	0.407	1.325	0.016	0.0025	-0.028	-0.036	0.0035
	9-8-1990	9-14-1990	1.314	0.023	0.210	0.795	2.586	0.010	0.0044	0.298	0.388	0.0039
	9-14-1990	9-21-1990	1.481	0.026	0.287	0.806	2.622	0.084	0.0074	0.409	0.532	0.0025
	9-21-1990	9-28-1990	1.191	0.023	0.191	0.629	2.044	0.033	0.0077	-0.009	-0.012	0.0042
