
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_NA	_AL	_DUST	_BE7	_PB210	_PB210
	3-23-1983	3-31-1983	68.415	0.145	9.840	36.661	0.613	#N/A	#N/A	#N/A	29.2	6.5	81.3	#N/A	3.04	0.0507
	3-31-1983	4-7-1983	64.563	0.134	8.826	32.626	0.614	#N/A	#N/A	#N/A	22.9	0.6	7.5	#N/A	4.42	0.0737
	4-7-1983	4-14-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-14-1983	4-21-1983	82.351	0.030	11.045	40.371	0.884	#N/A	#N/A	#N/A	39.9	3.8	47.5	#N/A	1.39	0.0232
	4-21-1983	4-28-1983	82.278	0.105	13.185	47.618	1.200	#N/A	#N/A	#N/A	29.9	0.2	2.5	#N/A	1.53	0.0255
	4-28-1983	5-5-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	41.9	#N/A	#N/A	#N/A	1.79	0.0298
	5-5-1983	5-12-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	137.7	#N/A	#N/A	#N/A	3.08	0.0513
	5-12-1983	5-19-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	69.2	#N/A	#N/A	#N/A	3.07	0.0512
	5-19-1983	5-26-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	59.7	#N/A	#N/A	#N/A	1.62	0.0270
	5-26-1983	6-2-1983	56.901	0.099	7.681	29.024	0.376	#N/A	#N/A	#N/A	29.1	2.2	27.5	#N/A	2.60	0.0433
	6-2-1983	6-9-1983	62.386	0.120	8.733	31.335	0.846	#N/A	#N/A	#N/A	#N/A	4.3	53.8	#N/A	2.81	0.0468
	6-9-1983	6-16-1983	89.288	0.110	12.012	43.487	1.066	#N/A	#N/A	#N/A	41.0	3.0	37.5	#N/A	2.98	0.0497
	6-16-1983	6-23-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5.21	0.0869
	6-23-1983	6-30-1983	78.883	0.088	11.268	42.295	0.623	#N/A	#N/A	#N/A	#N/A	3.1	38.8	#N/A	4.80	0.0800
	6-30-1983	7-7-1983	117.403	0.100	16.349	58.231	1.692	#N/A	#N/A	#N/A	#N/A	0.9	11.3	#N/A	#N/A	#N/A
	7-7-1983	7-14-1983	59.761	0.077	8.346	29.917	0.816	#N/A	#N/A	#N/A	#N/A	2.3	28.8	#N/A	#N/A	#N/A
	7-14-1983	7-21-1983	101.047	0.058	13.212	50.429	0.519	#N/A	#N/A	#N/A	#N/A	5.7	71.3	#N/A	#N/A	#N/A
	7-21-1983	7-28-1983	80.022	0.120	11.336	40.077	1.249	#N/A	#N/A	#N/A	30.3	1.2	15.0	#N/A	#N/A	#N/A
	7-28-1983	8-4-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	88.2	#N/A	#N/A	#N/A	#N/A	#N/A
	8-4-1983	8-11-1983	67.308	0.040	9.113	33.947	0.568	#N/A	#N/A	#N/A	34.1	1.3	16.3	#N/A	#N/A	#N/A
	8-11-1983	8-18-1983	96.576	0.026	12.952	48.158	0.830	#N/A	#N/A	#N/A	31.7	4.9	61.0	#N/A	#N/A	#N/A
	8-18-1983	8-25-1983	59.959	0.084	8.301	31.442	0.387	#N/A	#N/A	#N/A	23.5	7.6	95.0	#N/A	3.15	0.0525
	8-25-1983	9-1-1983	64.637	0.152	9.097	33.385	0.694	#N/A	#N/A	#N/A	34.0	2.7	33.8	#N/A	5.20	0.0867
	9-1-1983	9-9-1983	60.526	0.158	8.394	30.615	0.688	#N/A	#N/A	#N/A	30.0	6.5	81.3	#N/A	5.75	0.0959
	9-9-1983	9-15-1983	70.401	0.165	10.098	37.453	0.671	#N/A	#N/A	#N/A	33.1	7.0	87.5	#N/A	6.13	0.1022
	9-15-1983	9-22-1983	93.812	0.159	13.376	49.680	0.871	#N/A	#N/A	#N/A	42.6	7.3	91.3	#N/A	4.92	0.0820
	9-22-1983	9-29-1983	119.225	0.118	16.624	63.534	0.633	#N/A	#N/A	#N/A	39.9	3.8	47.5	#N/A	3.06	0.0510
	9-29-1983	10-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.78	0.1130
	10-6-1983	10-13-1983	34.535	0.119	5.021	18.919	0.259	#N/A	#N/A	#N/A	18.8	14.5	181.3	#N/A	4.19	0.0698
	10-13-1983	10-20-1983	59.750	0.138	8.480	32.437	0.315	#N/A	#N/A	#N/A	28.5	9.8	122.5	#N/A	3.20	0.0533
	10-20-1983	10-27-1983	71.169	0.102	10.271	38.846	0.493	#N/A	#N/A	#N/A	37.2	52.6	657.5	#N/A	2.56	0.0427
	10-27-1983	11-3-1983	81.906	0.261	11.374	44.308	0.222	#N/A	#N/A	#N/A	26.3	20.3	253.8	#N/A	3.90	0.0650
	11-3-1983	11-10-1983	58.420	0.084	8.198	32.283	0.072	#N/A	#N/A	#N/A	28.0	6.6	82.5	#N/A	3.35	0.0558
	11-10-1983	11-17-1983	68.216	0.124	9.612	36.677	0.380	#N/A	#N/A	#N/A	31.9	3.8	47.5	#N/A	3.73	0.0622
	11-17-1983	11-24-1983	74.914	0.076	10.546	40.404	0.377	#N/A	#N/A	#N/A	31.5	3.9	48.8	#N/A	2.43	0.0405
	11-24-1983	12-1-1983	78.333	0.160	10.606	42.531	-0.099	#N/A	#N/A	#N/A	27.5	13.2	165.0	#N/A	2.09	0.0348
	12-1-1983	12-8-1983	48.407	0.139	6.852	25.890	0.336	#N/A	#N/A	#N/A	22.1	12.9	161.3	#N/A	3.53	0.0588
	12-8-1983	12-15-1983	57.211	0.092	7.934	30.624	0.226	#N/A	#N/A	#N/A	19.5	7.5	93.8	#N/A	2.68	0.0447
	12-15-1983	12-22-1983	61.580	0.122	8.852	34.809	0.090	#N/A	#N/A	#N/A	22.6	1.1	13.8	#N/A	2.96	0.0493
	12-22-1983	12-29-1983	81.838	0.066	11.477	44.022	0.396	#N/A	#N/A	#N/A	32.6	1.7	21.3	#N/A	2.10	0.0350
	12-29-1983	1-5-1984	75.630	0.075	10.312	41.404	-0.110	#N/A	#N/A	#N/A	23.6	3.7	46.3	#N/A	2.20	0.0367
	1-5-1984	1-12-1984	56.231	0.114	7.922	30.121	0.341	#N/A	#N/A	#N/A	21.3	3.1	38.8	#N/A	3.66	0.0610
	1-12-1984	1-19-1984	76.910	0.116	10.986	41.836	0.456	#N/A	#N/A	#N/A	27.2	6.3	78.8	#N/A	2.22	0.0370
	1-19-1984	1-26-1984	36.775	0.080	5.313	19.352	0.442	#N/A	#N/A	#N/A	13.2	1.7	21.3	#N/A	2.74	0.0457
	1-26-1984	2-2-1984	58.101	0.114	8.365	31.309	0.485	#N/A	#N/A	#N/A	21.5	5.4	67.5	#N/A	3.99	0.0665
	2-2-1984	2-9-1984	45.646	0.038	5.728	24.854	-0.527	#N/A	#N/A	#N/A	14.7	10.5	131.3	#N/A	2.15	0.0358
	2-9-1984	2-16-1984	79.133	0.074	10.937	41.505	0.491	#N/A	#N/A	#N/A	46.2	37.2	465.0	#N/A	2.20	0.0367
	2-16-1984	2-23-1984	80.118	0.086	11.281	42.613	0.555	#N/A	#N/A	#N/A	31.6	24.0	300.0	#N/A	3.41	0.0568
	2-23-1984	3-1-1984	60.291	0.075	8.612	32.432	0.448	#N/A	#N/A	#N/A	21.7	25.6	320.0	#N/A	1.78	0.0297
	3-1-1984	3-8-1984	59.564	0.087	8.436	32.313	0.303	#N/A	#N/A	#N/A	34.7	12.2	152.5	#N/A	2.38	0.0397
	3-8-1984	3-15-1984	65.744	0.071	9.160	34.376	0.508	#N/A	#N/A	#N/A	25.4	4.8	60.0	#N/A	2.01	0.0335
	3-15-1984	3-22-1984	72.670	0.028	10.285	38.231	0.662	#N/A	#N/A	#N/A	29.9	6.4	80.0	#N/A	2.11	0.0352
	3-22-1984	3-29-1984	82.445	0.160	11.251	45.937	-0.311	#N/A	#N/A	#N/A	33.8	12.8	160.0	#N/A	1.45	0.0242
	3-29-1984	4-5-1984	48.454	0.117	6.794	27.059	-0.016	#N/A	#N/A	#N/A	19.7	15.1	188.8	#N/A	2.00	0.0333
	4-5-1984	4-12-1984	57.866	0.129	8.143	31.975	0.095	#N/A	#N/A	#N/A	18.1	15.2	190.0	#N/A	1.79	0.0298
	4-12-1984	4-19-1984	72.402	0.122	9.951	38.500	0.261	#N/A	#N/A	#N/A	26.6	0.7	8.8	#N/A	0.63	0.0105
	4-19-1984	4-26-1984	55.899	0.122	7.906	30.636	0.195	#N/A	#N/A	#N/A	26.2	14.6	182.5	#N/A	11.41	0.1902
	4-26-1984	5-3-1984	67.072	0.092	9.540	35.184	0.684	#N/A	#N/A	#N/A	31.5	7.1	88.8	#N/A	1.18	0.0197
	5-3-1984	5-11-1984	70.890	0.100	8.255	38.354	-1.398	#N/A	#N/A	#N/A	27.8	14.1	176.3	#N/A	1.55	0.0258
	5-11-1984	5-17-1984	60.056	0.246	8.401	31.981	0.352	#N/A	#N/A	#N/A	21.3	8.7	108.8	#N/A	3.68	0.0613
	5-17-1984	5-24-1984	63.635	0.160	8.735	33.869	0.210	#N/A	#N/A	#N/A	30.8	7.8	97.5	#N/A	5.05	0.0842
	5-24-1984	5-31-1984	57.719	0.171	8.016	31.310	0.136	#N/A	#N/A	#N/A	24.6	10.9	136.3	#N/A	3.46	0.0577
	5-31-1984	6-7-1984	55.482	#N/A	7.803	30.633	0.093	#N/A	#N/A	#N/A	32.5	2.7	33.8	#N/A	3.67	0.0612
	6-7-1984	6-14-1984	78.210	#N/A	10.762	42.006	0.189	#N/A	#N/A	#N/A	26.2	5.0	62.5	#N/A	2.05	0.0342
	6-14-1984	6-21-1984	62.150	0.143	8.643	33.517	0.206	#N/A	#N/A	#N/A	28.2	6.9	86.3	#N/A	2.25	0.0375
	6-21-1984	6-28-1984	60.861	#N/A	8.668	33.938	0.126	#N/A	#N/A	#N/A	28.5	16.5	206.3	#N/A	3.91	0.0652
	6-28-1984	7-5-1984	54.981	#N/A	7.554	30.412	-0.101	#N/A	#N/A	#N/A	25.2	11.6	145.0	#N/A	2.85	0.0475
	7-5-1984	7-12-1984	94.998	#N/A	13.156	51.412	0.215	#N/A	#N/A	#N/A	34.6	11.5	143.8	#N/A	4.73	0.0788
	7-12-1984	7-19-1984	76.617	0.177	10.356	40.489	0.165	#N/A	#N/A	#N/A	29.2	0.2	2.5	#N/A	1.57	0.0262
	7-19-1984	7-27-1984	80.359	0.197	11.188	42.401	0.515	#N/A	#N/A	#N/A	32.7	3.1	38.8	#N/A	2.65	0.0442
	7-27-1984	8-2-1984	64.062	#N/A	8.845	35.101	0.010	#N/A	#N/A	#N/A	33.1	13.3	166.3	#N/A	1.90	0.0317
	8-2-1984	8-8-1984	87.644	0.165	12.375	44.829	1.092	#N/A	#N/A	#N/A	26.2	3.1	38.8	#N/A	2.00	0.0333
	8-8-1984	8-16-1984	102.288	0.213	13.429	54.686	-0.335	#N/A	#N/A	#N/A	31.3	7.3	91.3	#N/A	4.33	0.0722
	8-16-1984	8-23-1984	101.357	0.183	13.476	55.416	-0.472	#N/A	#N/A	#N/A	35.0	18.8	235.0	#N/A	2.16	0.0360
	8-23-1984	8-30-1984	81.690	0.263	10.456	44.267	-0.686	#N/A	#N/A	#N/A	28.9	4.9	61.3	#N/A	5.10	0.0850
	8-30-1984	9-6-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.7	#N/A	#N/A	#N/A	6.69	0.1115
	9-6-1984	9-13-1984	38.278	0.142	5.496	20.970	0.218	#N/A	#N/A	#N/A	12.3	4.7	58.8	#N/A	3.07	0.0512
	9-13-1984	9-20-1984	71.470	0.056	8.884	37.123	-0.460	#N/A	#N/A	#N/A	21.3	2.9	36.3	#N/A	1.07	0.0178
	9-20-1984	9-27-1984	37.874	0.383	5.599	21.006	0.311	#N/A	#N/A	#N/A	19.6	15.5	193.8	#N/A	8.10	0.1350
