
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	11-5-1990	11-7-1990	5.797	0.320	1.471	4.305	14.001	0.388	#N/A	#N/A	#N/A	0.1614
	11-7-1990	11-14-1990	4.480	0.188	0.960	3.124	10.159	0.174	#N/A	#N/A	#N/A	0.0830
	11-14-1990	11-21-1990	6.594	0.250	1.432	4.540	14.762	0.289	#N/A	#N/A	#N/A	0.1460
	11-21-1990	11-28-1990	2.653	0.288	1.199	2.064	6.713	0.680	#N/A	#N/A	#N/A	0.2724
	11-28-1990	12-5-1990	4.109	0.109	0.971	2.870	9.333	0.249	#N/A	#N/A	#N/A	0.1746
	12-5-1990	12-12-1990	1.708	0.355	0.864	1.707	5.551	0.435	#N/A	#N/A	#N/A	0.1903
	12-12-1990	12-19-1990	3.647	0.142	0.836	2.632	8.559	0.173	#N/A	#N/A	#N/A	0.0911
	12-19-1990	12-26-1990	6.854	0.287	1.475	4.946	16.084	0.230	#N/A	#N/A	#N/A	0.1442
	12-26-1990	1-2-1991	2.761	0.269	0.786	2.122	6.900	0.252	#N/A	#N/A	#N/A	0.1115
	1-2-1991	1-9-1991	3.387	0.138	0.829	2.383	7.749	0.229	#N/A	#N/A	#N/A	0.0985
	1-9-1991	1-17-1991	3.852	0.171	1.019	3.031	9.857	0.256	#N/A	#N/A	#N/A	0.1239
	1-17-1991	1-23-1991	5.641	0.144	1.067	3.987	12.967	0.064	#N/A	#N/A	#N/A	0.1514
	1-23-1991	1-30-1991	5.583	0.089	1.162	3.594	11.686	0.258	#N/A	#N/A	#N/A	0.0932
	1-30-1991	2-6-1991	8.566	0.280	1.584	5.489	17.850	0.202	#N/A	#N/A	#N/A	0.0890
	2-6-1991	2-13-1991	3.315	0.275	0.880	2.232	7.259	0.318	#N/A	#N/A	#N/A	0.0849
	2-13-1991	2-20-1991	4.408	0.175	1.046	2.751	8.945	0.353	#N/A	#N/A	#N/A	0.1093
	2-20-1991	2-27-1991	6.171	0.127	1.282	3.919	12.745	0.295	#N/A	#N/A	#N/A	0.0842
	2-27-1991	3-6-1991	9.999	0.174	1.819	6.339	20.614	0.224	#N/A	#N/A	#N/A	0.0945
	3-6-1991	3-13-1991	4.086	0.155	0.794	2.562	8.330	0.150	#N/A	#N/A	#N/A	0.0480
	3-13-1991	3-20-1991	2.132	0.179	0.528	1.625	5.286	0.119	#N/A	#N/A	#N/A	0.0956
	3-20-1991	3-27-1991	3.004	0.170	0.669	1.828	5.944	0.209	#N/A	#N/A	#N/A	0.0821
	3-27-1991	4-3-1991	5.754	0.230	1.129	3.356	10.915	0.284	#N/A	#N/A	#N/A	0.0667
	4-3-1991	4-10-1991	10.235	0.173	1.609	6.191	20.132	0.051	#N/A	#N/A	#N/A	0.0539
	4-10-1991	4-17-1991	7.021	0.106	1.175	4.405	14.324	0.066	#N/A	#N/A	#N/A	0.0657
	4-17-1991	4-24-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-24-1991	5-2-1991	7.442	0.095	1.174	4.602	14.966	0.016	#N/A	#N/A	#N/A	0.0461
	5-2-1991	5-9-1991	3.501	0.178	0.745	2.057	6.688	0.227	#N/A	#N/A	#N/A	0.0572
	5-9-1991	5-17-1991	5.493	0.174	1.185	3.649	11.868	0.267	#N/A	#N/A	#N/A	0.0616
	5-17-1991	5-23-1991	5.521	0.078	0.923	3.562	11.583	0.026	#N/A	#N/A	#N/A	0.0337
	5-23-1991	5-30-1991	3.236	0.169	0.707	2.158	7.017	0.164	#N/A	#N/A	#N/A	0.0524
	5-30-1991	6-6-1991	9.481	0.213	1.513	6.071	19.741	-0.015	#N/A	#N/A	#N/A	0.0405
	6-6-1991	6-13-1991	6.434	0.173	1.123	4.046	13.156	0.104	#N/A	#N/A	#N/A	0.0378
	6-13-1991	6-20-1991	4.532	0.163	0.860	2.638	8.578	0.196	#N/A	#N/A	#N/A	0.0387
	6-20-1991	6-27-1991	11.164	0.093	1.573	6.431	20.914	-0.046	#N/A	#N/A	#N/A	0.0264
	6-27-1991	7-4-1991	10.478	0.087	1.495	6.074	19.752	-0.034	#N/A	#N/A	#N/A	0.0244
	7-4-1991	7-11-1991	5.396	0.157	1.057	3.202	10.413	0.251	#N/A	#N/A	#N/A	0.0438
	7-11-1991	7-18-1991	3.547	0.198	0.793	2.092	6.803	0.266	#N/A	#N/A	#N/A	0.0599
	7-18-1991	7-25-1991	7.521	0.086	1.137	4.362	14.185	0.040	#N/A	#N/A	#N/A	0.0425
	7-25-1991	8-1-1991	9.311	0.171	1.610	5.554	18.062	0.212	#N/A	#N/A	#N/A	0.0520
	8-1-1991	8-8-1991	6.680	0.269	1.932	3.958	12.871	0.936	#N/A	#N/A	#N/A	0.0571
	8-8-1991	8-15-1991	4.760	0.174	1.011	2.798	9.100	0.307	#N/A	#N/A	#N/A	0.0356
	8-15-1991	8-22-1991	6.049	0.188	2.654	3.669	11.931	1.731	#N/A	#N/A	#N/A	0.1704
	8-22-1991	8-30-1991	6.703	0.162	1.412	3.945	12.828	0.419	#N/A	#N/A	#N/A	0.0845
	8-30-1991	9-5-1991	7.014	0.175	1.530	4.270	13.887	0.455	#N/A	#N/A	#N/A	0.1243
	9-5-1991	9-13-1991	8.239	0.371	1.976	5.134	16.696	0.684	#N/A	#N/A	#N/A	0.1847
	9-13-1991	9-20-1991	8.336	0.317	1.740	5.450	17.723	0.368	#N/A	#N/A	#N/A	0.1130
	9-20-1991	9-26-1991	4.336	1.000	2.254	3.003	9.764	1.498	#N/A	#N/A	#N/A	0.3851
	9-26-1991	10-3-1991	6.372	0.489	1.799	4.028	13.100	0.785	#N/A	#N/A	#N/A	0.2211
	10-3-1991	10-10-1991	3.263	0.408	1.189	2.099	6.825	0.661	#N/A	#N/A	#N/A	0.1575
	10-10-1991	10-18-1991	9.179	0.132	1.589	5.388	17.522	0.233	#N/A	#N/A	#N/A	0.0874
	10-18-1991	10-25-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-25-1991	11-1-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-1-1991	11-8-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-8-1991	11-16-1991	6.576	0.149	1.359	3.863	12.562	0.387	#N/A	#N/A	#N/A	0.0660
	11-16-1991	11-22-1991	3.807	0.318	1.160	2.329	7.573	0.574	#N/A	#N/A	#N/A	0.1041
	11-22-1991	11-30-1991	6.932	0.188	1.484	4.533	14.743	0.343	#N/A	#N/A	#N/A	0.0828
	11-30-1991	12-5-1991	2.992	0.388	1.106	2.160	7.025	0.562	#N/A	#N/A	#N/A	0.1890
	12-5-1991	1-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-2-1992	1-9-1992	2.650	0.169	0.958	1.607	5.226	0.553	#N/A	#N/A	#N/A	0.1478
	1-9-1992	1-17-1992	2.113	0.236	0.789	1.291	4.200	0.464	#N/A	#N/A	#N/A	0.1150
	1-17-1992	1-23-1992	7.066	0.254	1.553	4.124	13.413	0.514	#N/A	#N/A	#N/A	0.1568
	1-23-1992	1-30-1992	1.549	0.266	0.806	1.173	3.816	0.510	#N/A	#N/A	#N/A	0.1486
	1-30-1992	2-6-1992	1.642	0.219	0.741	1.360	4.422	0.399	#N/A	#N/A	#N/A	0.1384
	2-6-1992	2-13-1992	5.153	0.095	0.840	2.940	9.561	0.100	#N/A	#N/A	#N/A	0.0249
	2-13-1992	2-20-1992	6.679	0.056	1.073	3.839	12.484	0.107	#N/A	#N/A	#N/A	0.0443
	2-20-1992	2-27-1992	10.224	0.104	1.718	5.957	19.372	0.219	#N/A	#N/A	#N/A	0.0965
	2-27-1992	3-5-1992	8.106	0.083	1.380	4.887	15.893	0.150	#N/A	#N/A	#N/A	0.0280
	3-5-1992	3-12-1992	4.639	0.180	0.919	2.918	9.488	0.185	#N/A	#N/A	#N/A	0.0549
	3-12-1992	3-19-1992	5.556	0.120	1.073	3.311	10.766	0.239	#N/A	#N/A	#N/A	0.0392
	3-19-1992	3-26-1992	5.913	0.190	1.222	3.568	11.602	0.324	#N/A	#N/A	#N/A	0.0532
	3-26-1992	4-2-1992	1.455	0.407	0.645	1.197	3.892	0.344	#N/A	#N/A	#N/A	0.0803
	4-2-1992	4-9-1992	3.369	0.213	0.818	1.914	6.223	0.336	#N/A	#N/A	#N/A	0.0694
	4-9-1992	4-16-1992	5.110	0.113	0.889	2.929	9.526	0.152	#N/A	#N/A	#N/A	0.0329
	4-16-1992	4-23-1992	8.151	0.167	1.474	4.872	15.843	0.248	#N/A	#N/A	#N/A	0.0477
