
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	AVG_CA	AVG_MG	AVG_K	_NA	_AL	_BE7	_PB210
	3-19-1983	3-24-1983	11.813	0.063	1.940	6.666	0.262	0.0104	#N/A	0.038	#N/A	#N/A	#N/A	#N/A	6.48	3.06	#N/A	0.043
	3-24-1983	3-31-1983	11.921	0.077	1.904	6.614	0.239	#N/A	#N/A	0.035	#N/A	#N/A	#N/A	#N/A	6.74	2.82	#N/A	0.037
	3-31-1983	4-7-1983	11.170	0.077	1.920	6.340	0.324	0.0098	#N/A	0.141	#N/A	#N/A	#N/A	#N/A	6.36	11.30	#N/A	0.051
	4-7-1983	4-14-1983	12.014	0.070	1.905	6.664	0.227	0.0113	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	7.33	0.25	#N/A	0.041
	4-14-1983	4-21-1983	11.320	0.065	1.833	6.387	0.225	#N/A	#N/A	0.020	#N/A	#N/A	#N/A	#N/A	6.02	1.63	#N/A	0.032
	4-21-1983	4-28-1983	11.315	0.049	1.878	6.270	0.300	#N/A	#N/A	0.023	#N/A	#N/A	#N/A	#N/A	6.08	1.84	#N/A	0.026
	4-28-1983	5-5-1983	10.623	0.090	1.886	6.006	0.375	0.0291	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	8.58	2.03	#N/A	0.038
	5-5-1983	5-12-1983	10.228	0.062	1.773	5.622	0.358	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	5.76	0.84	#N/A	0.033
	5-12-1983	5-19-1983	10.721	0.092	1.947	6.081	0.416	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	6.12	0.45	#N/A	0.043
	5-19-1983	5-26-1983	8.226	0.099	1.652	4.754	0.455	0.0354	#N/A	0.041	#N/A	#N/A	#N/A	#N/A	5.15	3.28	#N/A	0.044
	5-26-1983	6-3-1983	10.749	0.060	1.820	6.133	0.276	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	5.63	0.09	#N/A	0.030
	6-3-1983	6-9-1983	9.457	0.171	1.658	5.240	0.339	0.0175	#N/A	-0.011	#N/A	#N/A	#N/A	#N/A	6.64	-0.88	#N/A	0.041
	6-9-1983	6-16-1983	11.078	0.126	1.857	6.274	0.277	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	5.69	-0.11	#N/A	0.068
	6-16-1983	6-23-1983	10.735	0.103	1.878	6.083	0.347	0.0213	#N/A	0.039	#N/A	#N/A	#N/A	#N/A	5.98	3.13	#N/A	0.046
	6-23-1983	6-30-1983	12.383	0.099	2.188	6.851	0.464	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7.05	#N/A	#N/A	0.055
	6-30-1983	7-7-1983	11.816	0.190	2.196	6.761	0.494	0.0454	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	7.77	0.14	#N/A	0.088
	7-7-1983	7-14-1983	12.465	0.070	1.970	6.934	0.225	0.0163	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	6.03	1.96	#N/A	0.041
	7-14-1983	7-21-1983	7.569	0.070	1.599	4.423	0.486	0.0431	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	5.50	0.55	#N/A	0.041
	7-21-1983	7-28-1983	9.507	0.073	1.764	5.388	0.407	#N/A	#N/A	0.030	#N/A	#N/A	#N/A	#N/A	5.60	2.42	#N/A	0.034
	7-28-1983	8-4-1983	12.206	0.081	2.030	6.861	0.303	#N/A	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	7.53	0.99	#N/A	0.075
	8-4-1983	8-11-1983	9.137	0.100	1.676	5.125	0.386	0.0221	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	5.50	1.20	#N/A	0.065
	8-11-1983	8-18-1983	17.930	0.098	2.825	10.057	0.294	#N/A	#N/A	0.040	#N/A	#N/A	#N/A	#N/A	8.23	3.23	#N/A	0.081
	8-18-1983	8-25-1983	12.429	0.088	2.019	6.836	0.298	0.0122	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	8.39	0.94	#N/A	0.077
	8-25-1983	9-1-1983	8.195	0.164	1.695	4.841	0.476	#N/A	#N/A	0.026	#N/A	#N/A	#N/A	#N/A	4.84	2.04	#N/A	0.093
	9-1-1983	9-8-1983	10.670	0.179	2.063	6.246	0.491	0.0392	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	7.16	1.06	#N/A	0.104
	9-8-1983	9-15-1983	14.361	0.133	2.381	7.913	0.389	0.0238	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	8.86	0.74	#N/A	0.061
	9-15-1983	9-22-1983	13.189	0.142	2.585	7.387	0.726	0.0451	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	8.20	-0.05	#N/A	0.066
	9-22-1983	9-29-1983	7.373	0.105	1.700	4.346	0.606	0.0394	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	5.07	0.67	#N/A	0.061
	9-29-1983	10-6-1983	9.983	0.079	1.916	5.143	0.621	#N/A	#N/A	0.046	#N/A	#N/A	#N/A	#N/A	5.92	3.64	#N/A	0.059
	10-6-1983	10-13-1983	9.572	0.133	1.874	5.486	0.494	0.0290	#N/A	0.076	#N/A	#N/A	#N/A	#N/A	5.92	6.08	#N/A	0.086
	10-13-1983	10-20-1983	8.854	0.093	1.658	5.047	0.388	#N/A	#N/A	0.031	#N/A	#N/A	#N/A	#N/A	5.49	2.47	#N/A	0.045
	10-20-1983	10-27-1983	10.970	0.099	2.029	6.150	0.481	#N/A	#N/A	0.024	#N/A	#N/A	#N/A	#N/A	7.05	1.91	#N/A	0.047
	10-27-1983	11-3-1983	7.918	0.173	1.944	4.585	0.790	0.0421	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	4.57	1.23	#N/A	0.061
	11-3-1983	11-10-1983	7.009	0.113	1.316	3.976	0.315	0.0229	#N/A	0.059	#N/A	#N/A	#N/A	#N/A	4.50	4.70	#N/A	0.056
	11-10-1983	11-17-1983	7.753	0.121	1.458	4.369	0.358	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	4.91	1.53	#N/A	0.061
