
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4
	1-5-1989	1-12-1989	42.173	0.106	6.939	24.055	0.884	0.0021	#N/A	#N/A
	1-12-1989	1-19-1989	11.823	0.072	2.201	6.578	0.545	0.0010	#N/A	#N/A
	1-19-1989	1-26-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-26-1989	2-2-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-2-1989	2-9-1989	36.972	0.089	5.644	20.716	0.430	0.0037	#N/A	#N/A
	2-9-1989	2-16-1989	59.326	0.083	9.278	35.137	0.434	0.0039	#N/A	#N/A
	2-16-1989	2-23-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-23-1989	3-2-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-2-1989	3-9-1989	33.840	0.237	6.549	19.979	1.520	0.0167	#N/A	0.2355
	3-9-1989	3-16-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1989	3-23-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1989	3-30-1989	50.840	0.284	8.827	32.134	0.739	0.0085	#N/A	0.0572
	3-30-1989	4-6-1989	34.563	0.523	9.203	21.345	3.831	0.0207	#N/A	0.4449
	4-6-1989	4-13-1989	32.565	0.263	5.909	21.576	0.479	0.0145	#N/A	0.1503
	4-13-1989	4-20-1989	17.112	0.212	3.684	10.684	0.995	0.0235	#N/A	0.1346
	4-20-1989	4-27-1989	21.129	0.061	3.215	13.744	-0.245	0.0163	#N/A	-0.0277
	4-27-1989	5-4-1989	38.148	0.161	6.128	23.507	0.212	0.0439	#N/A	-0.0234
	5-4-1989	5-11-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-11-1989	5-18-1989	10.966	0.205	1.904	6.781	0.197	0.0212	#N/A	0.0536
	5-18-1989	5-25-1989	33.667	0.172	4.507	23.419	-1.388	0.0364	#N/A	-0.0310
	5-25-1989	6-1-1989	4.860	0.455	1.792	3.174	0.993	0.0781	#N/A	0.1964
	6-8-1989	6-15-1989	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
