
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	10-20-1987	10-23-1987	1.992	0.810	2.753	1.542	5.016	2.365	#N/A	#N/A	#N/A	0.7525
	10-23-1987	10-30-1987	1.511	0.367	0.937	1.117	3.634	0.656	#N/A	#N/A	#N/A	0.1686
	10-30-1987	11-6-1987	6.723	0.311	1.476	3.851	12.523	0.506	#N/A	#N/A	#N/A	0.0388
	11-6-1987	11-13-1987	2.471	0.289	0.996	1.431	4.653	0.636	#N/A	#N/A	#N/A	0.1072
	11-13-1987	11-20-1987	3.093	0.129	1.428	1.854	6.029	0.961	#N/A	#N/A	#N/A	0.0729
	11-20-1987	11-27-1987	2.238	0.395	1.352	1.665	5.416	0.933	#N/A	#N/A	#N/A	0.1562
	11-27-1987	12-4-1987	7.568	0.152	1.426	4.076	13.256	0.400	#N/A	#N/A	#N/A	0.0505
	12-4-1987	12-11-1987	4.968	0.215	1.195	2.887	9.388	0.468	#N/A	#N/A	#N/A	0.0537
	12-11-1987	12-18-1987	1.938	0.627	1.194	1.555	5.057	0.803	#N/A	#N/A	#N/A	0.2015
	12-18-1987	12-24-1987	4.123	0.356	1.112	2.373	7.716	0.515	#N/A	#N/A	#N/A	0.1009
	12-31-1987	1-8-1988	4.531	0.184	0.992	2.566	8.343	0.346	#N/A	#N/A	#N/A	0.0644
	1-8-1988	1-15-1988	9.305	0.283	1.882	5.264	17.118	0.558	#N/A	#N/A	#N/A	0.0897
	1-15-1988	1-22-1988	8.790	0.304	1.778	5.088	16.546	0.498	#N/A	#N/A	#N/A	0.0747
	1-22-1988	1-29-1988	2.571	0.480	1.346	1.719	5.590	0.913	#N/A	#N/A	#N/A	0.2082
	1-29-1988	2-5-1988	4.012	0.514	1.859	2.391	7.775	1.257	#N/A	#N/A	#N/A	0.2168
	2-5-1988	2-12-1988	1.660	0.523	1.007	1.178	3.832	0.711	#N/A	#N/A	#N/A	0.0890
	2-12-1988	2-19-1988	2.987	0.330	1.488	1.721	5.596	1.055	#N/A	#N/A	#N/A	0.1798
	2-19-1988	2-26-1988	9.745	0.177	1.730	5.508	17.911	0.344	#N/A	#N/A	#N/A	0.0308
	2-26-1988	3-4-1988	8.501	0.594	1.901	4.887	15.894	0.671	#N/A	#N/A	#N/A	0.1050
	3-4-1988	3-11-1988	6.445	0.321	1.662	3.704	12.044	0.729	#N/A	#N/A	#N/A	0.0701
	3-11-1988	3-18-1988	7.251	0.216	1.281	4.184	13.605	0.228	#N/A	#N/A	#N/A	0.0302
	3-18-1988	3-25-1988	5.327	0.609	1.899	3.215	10.454	1.090	#N/A	#N/A	#N/A	0.1668
	3-25-1988	3-31-1988	6.650	0.339	1.416	3.760	12.228	0.469	#N/A	#N/A	#N/A	0.0443
	3-31-1988	4-8-1988	6.910	0.333	1.395	4.014	13.052	0.385	#N/A	#N/A	#N/A	0.0572
	4-8-1988	4-15-1988	5.622	0.324	1.845	3.347	10.885	1.002	#N/A	#N/A	#N/A	0.0969
	4-15-1988	4-22-1988	5.648	0.335	1.591	3.210	10.439	0.783	#N/A	#N/A	#N/A	0.0922
	4-22-1988	4-29-1988	1.656	0.623	1.408	1.303	4.236	1.080	#N/A	#N/A	#N/A	0.2682
	4-29-1988	5-6-1988	5.358	0.301	1.135	2.936	9.548	0.396	#N/A	#N/A	#N/A	0.0395
	5-6-1988	5-13-1988	4.562	0.201	0.941	2.470	8.032	0.320	#N/A	#N/A	#N/A	0.0213
	5-13-1988	5-20-1988	9.440	0.320	1.898	5.194	16.890	0.591	#N/A	#N/A	#N/A	0.0465
	5-20-1988	5-27-1988	2.481	0.513	0.760	1.359	4.420	0.418	#N/A	#N/A	#N/A	0.0793
	5-27-1988	6-3-1988	2.953	0.705	1.523	1.717	5.582	1.091	#N/A	#N/A	#N/A	0.2021
	6-3-1988	6-10-1988	5.392	0.396	1.116	2.791	9.076	0.414	#N/A	#N/A	#N/A	0.2123
	6-10-1988	6-17-1988	2.664	0.310	1.519	1.606	5.224	1.115	#N/A	#N/A	#N/A	0.2070
	6-17-1988	6-24-1988	3.150	0.483	0.881	1.798	5.847	0.429	#N/A	#N/A	#N/A	0.0387
	6-24-1988	7-1-1988	8.054	0.254	1.512	4.427	14.396	0.398	#N/A	#N/A	#N/A	0.0553
	7-1-1988	7-8-1988	5.788	0.233	1.404	3.222	10.477	0.593	#N/A	#N/A	#N/A	0.0631
	7-8-1988	7-15-1988	6.040	0.464	1.397	3.287	10.691	0.570	#N/A	#N/A	#N/A	0.2158
	7-15-1988	7-25-1988	2.646	0.275	1.022	1.630	5.300	0.612	#N/A	#N/A	#N/A	0.0685
	7-25-1988	7-29-1988	6.823	0.264	1.469	3.829	12.452	0.505	#N/A	#N/A	#N/A	0.0359
	7-29-1988	8-5-1988	5.610	0.353	1.214	2.936	9.547	0.475	#N/A	#N/A	#N/A	0.2347
	8-5-1988	8-12-1988	3.054	0.182	1.560	1.919	6.240	1.077	#N/A	#N/A	#N/A	0.1085
	8-12-1988	8-19-1988	5.774	0.331	1.498	3.366	10.947	0.651	#N/A	#N/A	#N/A	0.0474
	8-19-1988	8-26-1988	4.738	0.331	1.297	2.741	8.913	0.607	#N/A	#N/A	#N/A	0.0594
	8-26-1988	9-2-1988	4.025	0.346	1.023	2.309	7.510	0.442	#N/A	#N/A	#N/A	0.0364
	9-2-1988	9-9-1988	6.534	0.183	1.433	3.698	12.027	0.502	#N/A	#N/A	#N/A	0.0282
	9-9-1988	9-16-1988	7.744	0.179	1.391	4.364	14.192	0.293	#N/A	#N/A	#N/A	0.0419
	9-16-1988	9-23-1988	2.461	0.495	0.772	1.489	4.843	0.397	#N/A	#N/A	#N/A	0.0650
	9-23-1988	9-30-1988	3.493	0.371	1.191	2.026	6.588	0.682	#N/A	#N/A	#N/A	0.1469
	9-30-1988	10-7-1988	9.095	0.268	1.692	4.997	16.252	0.434	#N/A	#N/A	#N/A	0.0395
	10-7-1988	10-14-1988	8.790	0.174	1.469	4.922	16.007	0.230	#N/A	#N/A	#N/A	0.0184
	10-14-1988	10-21-1988	11.760	0.187	1.929	6.436	20.930	0.309	#N/A	#N/A	#N/A	0.0203
	10-21-1988	10-28-1988	10.329	0.313	1.834	5.722	18.609	0.394	#N/A	#N/A	#N/A	0.0475
	10-28-1988	11-4-1988	8.875	0.339	1.943	4.971	16.165	0.692	#N/A	#N/A	#N/A	0.0762
	11-4-1988	11-11-1988	4.484	0.413	1.682	2.646	8.605	1.016	#N/A	#N/A	#N/A	0.0941
	11-11-1988	11-18-1988	7.038	0.430	1.564	3.906	12.701	0.581	#N/A	#N/A	#N/A	0.0950
	11-18-1988	11-25-1988	3.064	0.507	1.241	1.788	5.816	0.791	#N/A	#N/A	#N/A	0.1033
	11-25-1988	12-2-1988	1.870	0.457	1.432	1.384	4.500	1.084	#N/A	#N/A	#N/A	0.2307
	12-2-1988	12-9-1988	4.675	0.428	1.675	2.630	8.552	1.013	#N/A	#N/A	#N/A	0.1805
	12-9-1988	12-16-1988	7.501	0.402	2.043	4.050	13.169	1.024	#N/A	#N/A	#N/A	0.0958
	12-16-1988	12-22-1988	5.120	1.164	2.605	3.136	10.200	1.815	#N/A	#N/A	#N/A	0.2817
	12-22-1988	1-4-1989	3.695	0.407	1.875	2.244	7.297	1.310	#N/A	#N/A	#N/A	0.1777
	1-4-1989	1-13-1989	4.349	0.320	1.463	2.366	7.693	0.867	#N/A	#N/A	#N/A	0.1474
	1-13-1989	1-20-1989	3.203	0.550	1.211	2.022	6.574	0.702	#N/A	#N/A	#N/A	0.1467
	1-20-1989	1-27-1989	4.254	0.223	1.352	2.507	8.152	0.721	#N/A	#N/A	#N/A	0.0920
	1-27-1989	2-3-1989	2.112	1.112	1.654	1.588	5.165	1.254	#N/A	#N/A	#N/A	0.3495
	2-3-1989	2-10-1989	6.901	0.295	1.820	4.115	13.383	0.784	#N/A	#N/A	#N/A	0.0604
	2-10-1989	2-17-1989	5.145	0.371	1.657	3.073	9.992	0.883	#N/A	#N/A	#N/A	0.1806
	2-17-1989	2-24-1989	5.326	0.513	1.719	3.203	10.416	0.913	#N/A	#N/A	#N/A	0.1509
	2-24-1989	3-3-1989	4.319	0.555	1.419	2.553	8.302	0.776	#N/A	#N/A	#N/A	0.1654
	3-3-1989	3-10-1989	2.977	0.687	1.650	1.847	6.006	1.185	#N/A	#N/A	#N/A	0.2622
	3-10-1989	3-17-1989	5.284	0.309	1.283	3.054	9.932	0.515	#N/A	#N/A	#N/A	0.0937
	3-17-1989	3-23-1989	5.421	0.297	1.084	3.005	9.772	0.328	#N/A	#N/A	#N/A	0.0446
	3-23-1989	3-31-1989	4.498	0.439	1.058	2.597	8.444	0.404	#N/A	#N/A	#N/A	0.0540
	3-31-1989	4-7-1989	4.611	0.822	1.587	2.734	8.891	0.899	#N/A	#N/A	#N/A	0.1337
	4-7-1989	4-14-1989	6.827	0.382	1.464	3.853	12.530	0.495	#N/A	#N/A	#N/A	0.0480
	4-14-1989	4-21-1989	4.021	0.441	0.985	2.365	7.691	0.389	#N/A	#N/A	#N/A	0.0654
	4-21-1989	4-28-1989	5.257	0.396	1.051	2.890	9.400	0.323	#N/A	#N/A	#N/A	0.0268
	4-28-1989	5-5-1989	1.656	0.370	0.833	1.230	3.999	0.523	#N/A	#N/A	#N/A	0.0675
	5-5-1989	5-12-1989	3.712	0.310	0.854	1.947	6.331	0.364	#N/A	#N/A	#N/A	0.0372
	5-12-1989	5-19-1989	2.800	0.314	0.794	1.615	5.250	0.387	#N/A	#N/A	#N/A	0.0434
	5-19-1989	5-26-1989	4.222	0.308	1.128	2.390	7.771	0.527	#N/A	#N/A	#N/A	0.0529
	5-26-1989	6-2-1989	5.999	0.196	1.173	3.390	11.024	0.320	#N/A	#N/A	#N/A	0.0257
	6-2-1989	6-9-1989	5.117	0.309	1.047	2.905	9.446	0.316	#N/A	#N/A	#N/A	0.0571
	6-9-1989	6-16-1989	4.826	0.205	0.947	2.804	9.120	0.242	#N/A	#N/A	#N/A	0.0301
	6-16-1989	6-23-1989	4.188	0.266	0.916	2.317	7.535	0.333	#N/A	#N/A	#N/A	0.0343
	6-23-1989	6-30-1989	4.209	0.375	0.965	2.375	7.724	0.368	#N/A	#N/A	#N/A	0.0277
	6-30-1989	7-7-1989	1.942	0.391	0.686	1.362	4.429	0.344	#N/A	#N/A	#N/A	0.0647
	7-7-1989	7-14-1989	3.354	0.381	0.867	1.855	6.034	0.400	#N/A	#N/A	#N/A	0.0761
	7-14-1989	7-21-1989	3.972	0.149	0.891	2.197	7.146	0.338	#N/A	#N/A	#N/A	0.0248
	7-21-1989	7-28-1989	2.235	0.675	0.848	1.393	4.529	0.497	#N/A	#N/A	#N/A	0.2445
	7-28-1989	8-4-1989	1.086	0.770	0.702	0.744	2.419	0.515	#N/A	#N/A	#N/A	0.0957
	8-4-1989	8-11-1989	1.657	0.449	1.162	1.239	4.030	0.850	#N/A	#N/A	#N/A	0.1383
	8-11-1989	8-18-1989	3.768	0.104	1.173	2.124	6.908	0.638	#N/A	#N/A	#N/A	0.0506
	8-18-1989	8-25-1989	1.068	0.311	0.625	0.710	2.309	0.446	#N/A	#N/A	#N/A	0.0489
	8-25-1989	9-1-1989	2.850	0.321	0.992	1.660	5.397	0.574	#N/A	#N/A	#N/A	0.0740
	9-1-1989	9-8-1989	2.479	0.682	0.948	1.347	4.379	0.609	#N/A	#N/A	#N/A	0.1456
	9-8-1989	9-15-1989	1.335	0.072	0.550	0.964	3.136	0.307	#N/A	#N/A	#N/A	0.0315
	9-15-1989	9-22-1989	1.502	0.407	0.897	1.162	3.777	0.605	#N/A	#N/A	#N/A	0.1567
	9-22-1989	9-29-1989	1.742	0.474	1.199	1.244	4.045	0.886	#N/A	#N/A	#N/A	0.2228
	9-29-1989	10-6-1989	3.462	0.294	1.750	2.044	6.646	1.235	#N/A	#N/A	#N/A	0.2823
	10-6-1989	10-13-1989	5.281	0.263	1.153	3.018	9.816	0.394	#N/A	#N/A	#N/A	0.0428
	10-13-1989	10-20-1989	8.932	0.288	1.747	5.072	16.494	0.470	#N/A	#N/A	#N/A	0.0525
	10-20-1989	10-27-1989	5.084	0.356	1.109	2.914	9.478	0.376	#N/A	#N/A	#N/A	0.0456
	10-27-1989	11-3-1989	4.614	0.371	1.319	2.691	8.751	0.641	#N/A	#N/A	#N/A	0.0845
	11-3-1989	11-10-1989	4.695	0.584	1.471	2.852	9.276	0.754	#N/A	#N/A	#N/A	0.1428
	11-10-1989	11-17-1989	5.174	0.294	1.178	2.926	9.515	0.441	#N/A	#N/A	#N/A	0.0469
	11-17-1989	11-24-1989	5.197	0.272	1.256	3.018	9.814	0.496	#N/A	#N/A	#N/A	0.0549
	11-24-1989	12-1-1989	4.373	0.248	1.098	2.647	8.607	0.432	#N/A	#N/A	#N/A	0.0500
	12-1-1989	12-8-1989	5.412	0.152	1.393	3.307	10.755	0.561	#N/A	#N/A	#N/A	0.0721
	12-8-1989	12-15-1989	3.414	0.276	1.694	2.179	7.085	1.145	#N/A	#N/A	#N/A	0.2201
	12-15-1989	12-22-1989	6.148	0.241	1.535	3.618	11.766	0.624	#N/A	#N/A	#N/A	0.0827
	12-22-1989	1-5-1990	5.829	0.153	1.238	3.479	11.314	0.363	#N/A	#N/A	#N/A	0.0687
	1-5-1990	1-12-1990	5.598	0.268	1.283	3.429	11.151	0.420	#N/A	#N/A	#N/A	0.0704
	1-12-1990	1-19-1990	7.254	0.191	1.412	4.289	13.947	0.332	#N/A	#N/A	#N/A	0.0565
	1-19-1990	1-26-1990	2.398	0.676	1.297	1.676	5.452	0.875	#N/A	#N/A	#N/A	0.1648
	1-26-1990	2-2-1990	2.700	0.640	1.542	1.788	5.814	1.092	#N/A	#N/A	#N/A	0.1817
	2-2-1990	2-9-1990	2.091	0.560	1.400	1.429	4.646	1.040	#N/A	#N/A	#N/A	0.2108
