"date","site","avg_cl","avg_na","avg_so4","avg_dust","avg_no3","avg_msa","avg_nh4","avg_ncl","avg_nssSO4","total_aerosol","month"
1984-01-01,"Bar_84-01_M_ng",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"JAN"
1984-02-01,"Bar_84-01_M_ng",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FEB"
1984-03-01,"Bar_84-01_M_ng",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"MAR"
1984-04-01,"Bar_84-01_M_ng",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APR"
1984-05-01,"Bar_84-01_M_ng",10.435,5.668,2.42,15.066,0.581,NA,NA,16.9506333499306,0.9939312,33.0105645499306,"MAY"
1984-06-01,"Bar_84-01_M_ng",11.635,6.374,2.963,43.782,0.833,NA,NA,19.0619860572438,1.3593016,64.2032876572438,"JUN"
1984-07-01,"Bar_84-01_M_ng",11.888,6.714,4.129,44.35,0.751,NA,NA,20.0787848114739,2.4397576,66.8685424114739,"JUL"
1984-08-01,"Bar_84-01_M_ng",8.21,4.49,2.743,26.078,0.597,NA,NA,13.4277247249803,1.613316,41.1190407249803,"AUG"
1984-09-01,"Bar_84-01_M_ng",6.556,3.483,2.002,21.026,0.495,NA,NA,10.4162060617164,1.1256772,32.5678832617164,"SEP"
1984-10-01,"Bar_84-01_M_ng",7.846,4.146,2.075,26.968,0.54,NA,NA,12.3989636324651,1.0318664,40.3988300324651,"OCT"
1984-11-01,"Bar_84-01_M_ng",10.587,5.489,1.981,8.22,0.542,NA,NA,16.4153187116742,0.5999676,25.2352863116742,"NOV"
1984-12-01,"Bar_84-01_M_ng",7.639,3.982,1.573,7.135,0.477,NA,NA,11.9085077627777,0.5711288,19.6146365627777,"DEC"
1985-01-01,"Bar_84-01_M_ng",5.959,3.093,1.176,1.351,0.285,0.0141,NA,9.24987807892298,0.3978012,10.998679278923,"JAN"
1985-02-01,"Bar_84-01_M_ng",9.257,4.891,1.814,4.304,0.389,0.0187,NA,14.6269491380576,0.5834244,19.5143735380576,"FEB"
1985-03-02,"Bar_84-01_M_ng",8.188,4.264,1.694,15.179,0.374,0.0176,NA,12.7518526118744,0.6211776,28.5520302118744,"MAR"
1985-04-02,"Bar_84-01_M_ng",9.93,5.108,2.2,16.354,0.611,NA,NA,15.2759059900222,0.9148272,32.5447331900222,"APR"
1985-05-02,"Bar_84-01_M_ng",7.718,4.256,2.002,16.328,0.696,0.0282,NA,12.7279279353043,0.9311904,29.9871183353043,"MAY"
1985-06-02,"Bar_84-01_M_ng",8.05,4.495,2.416,34.859,0.807,0.0325,NA,13.4426776478367,1.285058,49.5867356478367,"JUN"
1985-07-02,"Bar_84-01_M_ng",6.737,3.514,1.784,26.179,0.446,0.0208,NA,10.5089141834256,0.8998776,37.5877917834256,"JUL"
1985-08-02,"Bar_84-01_M_ng",6.242,3.206,1.612,21.201,0.463,0.0164,NA,9.58781413547594,0.8053704,31.5941845354759,"AUG"
1985-09-02,"Bar_84-01_M_ng",7.184,3.943,1.829,19.257,0.421,0.0186,NA,11.7918749644983,0.8369412,31.8858161644983,"SEP"
1985-10-02,"Bar_84-01_M_ng",6.291,3.632,1.794,21.268,0.444,0.0163,NA,10.8618031628349,0.8801888,33.0099919628349,"OCT"
1985-11-02,"Bar_84-01_M_ng",7.683,4.472,1.534,3.441,0.315,0.0172,NA,13.3738942026976,0.4088448,17.2237390026976,"NOV"
1985-12-02,"Bar_84-01_M_ng",7.191,4.144,1.525,7.836,0.517,0.0126,NA,12.3929824633226,0.4823696,20.7113520633226,"DEC"
1986-01-01,"Bar_84-01_M_ng",8.796,4.857,1.619,8.639,0.333,NA,NA,14.5252692626346,0.3969788,23.5612480626346,"JAN"
1986-02-01,"Bar_84-01_M_ng",6.3,3.518,1.224,1.896,0.304,0.0151,NA,10.5208765217107,0.3388712,12.7557477217107,"FEB"
1986-03-02,"Bar_84-01_M_ng",9.704,5.257,1.548,6.672,0.252,0.013,NA,15.7215030911407,0.2253388,22.6188418911407,"MAR"
1986-04-02,"Bar_84-01_M_ng",8.48,4.907,1.881,15.076,0.606,NA,NA,14.6747984911979,0.6463988,30.3971972911979,"APR"
1986-05-02,"Bar_84-01_M_ng",7.379,3.964,1.407,13.584,0.503,NA,NA,11.8546772404949,0.4096576,25.8483348404949,"MAY"
1986-06-02,"Bar_84-01_M_ng",5.938,3.093,1.221,13.284,0.371,NA,NA,9.24987807892298,0.4428012,22.976679278923,"JUN"
1986-07-02,"Bar_84-01_M_ng",3.121,1.884,0.933,10.385,0.245,NA,NA,5.63426133226346,0.4589856,16.4782469322635,"JUL"
1986-08-02,"Bar_84-01_M_ng",5.963,3.437,1.723,15.879,0.449,NA,NA,10.2786391714382,0.8582508,27.0158899714382,"AUG"
1986-09-02,"Bar_84-01_M_ng",6.04,3.455,1.773,24.3,0.456,NA,NA,10.332469693721,0.903722,35.536191693721,"SEP"
1986-10-02,"Bar_84-01_M_ng",5.818,3.379,1.523,9.052,0.39,NA,NA,10.1051852663048,0.6728436,19.8300288663048,"OCT"
