"station","month","OC","lbnd","ubnd"
"west of Portugal",7,700,NA,NA
"west of Namibia",9,890,NA,NA
"La Reunion Island",3,400,250,560
"Bermuda",1,570,NA,NA
"Bermuda",8,770,NA,NA
"Amsterdam Island",1,260,NA,NA
"Amsterdam Island",2,190,NA,NA
"Amsterdam Island",3,560,NA,NA
"Amsterdam Island",4,130,NA,NA
"Amsterdam Island",5,120,NA,NA
"Amsterdam Island",6,100,NA,NA
"Amsterdam Island",7,100,NA,NA
"Amsterdam Island",8,110,NA,NA
"Amsterdam Island",9,100,NA,NA
"Amsterdam Island",10,100,NA,NA
"Amsterdam Island",11,120,NA,NA
"Amsterdam Island",12,210,NA,NA
"Gulf of Mexico (north)",7,480,NA,NA
"Gulf of Mexico (north)",8,190,NA,NA
"Gulf of Mexico (west)",1,3070,NA,NA
"Gulf of Mexico (west)",2,3290,NA,NA
"Gulf of Mexico (west)",3,3030,2820,3250
"Gulf of Mexico (west)",4,2860,NA,NA
"Gulf of Mexico (west)",5,2680,NA,NA
"Gulf of Mexico (west)",6,2820,NA,NA
"Gulf of Mexico (west)",7,2650,NA,NA
"Gulf of Mexico (west)",8,100,NA,NA
"Gulf of Mexico (west)",9,4080,NA,NA
"Gulf of Mexico (west)",10,4000,NA,NA
"Gulf of Mexico (west)",11,4450,NA,NA
"Gulf of Mexico (west)",12,3580,NA,NA
"southwest of Australia",6,480,NA,NA
"Philippines",7,650,NA,NA
"south of South Korea",4,1770,1240,2300
"New Caledonia",6,480,NA,NA
"Finokalia",1,1400,700,2110
"Finokalia",2,1430,890,1970
"Finokalia",3,1490,780,2200
"Finokalia",4,1900,1000,2800
"Finokalia",5,1660,950,2380
"Finokalia",6,1340,670,2030
"Finokalia",7,2120,1280,2990
"Finokalia",8,2100,1530,2690
"Finokalia",9,1800,1060,2560
"Finokalia",10,1620,920,2340
"Finokalia",11,1880,1180,2610
"Finokalia",12,1650,960,2290
"Azores",1,282.57,199.96,367.36
"Azores",2,264.99,186.73,338.9
"Azores",3,171.33,121.33,221.33
"Azores",4,273.31,195.05,349.4
"Azores",5,318.77,225.29,414.42
"Azores",6,459.88,322.92,596.84
"Azores",7,798.82,557.51,1031.43
"Azores",8,396.45,279.06,513.84
"Azores",9,296.26,207.12,383.21
"Azores",10,465.63,328.68,602.59
"Azores",11,291.53,204.57,376.31
"Azores",12,243.51,243.51,310.9
